state_id,state_abbr,county_state_name,county_id,county_name,latitude,longitude,consolidated_city-county,population,population_cohort,employment,employment_cohort,doe_climate_zone,cohort,consumption (MWh),expenditures in Millions,consumption (MWh/capita),expenditures in Millions,utility customers,GHG emissions mtons CO2e,consumption (TcF),expenditures in Millions,consumption (TcF/capita),expenditures in Millions,utility customers,occuped housing units,consumption (MWh),expenditures in Millions,consumption (MWh/capita),expenditures in Millions,consumption (MWh),expenditures in Millions,utility customers,consumption (TcF),expenditures in Millions,consumption (TcF/capita),expenditures in Millions,consumption (TcF),expenditures in Millions,utility customers,buildings,area (sq. ft.),consumption (gallons),consumption (gallons/capita),consumption (gallons),consumption (gallons/capita),vehicle miles traveled (miles),vehicle miles traveled (miles/capita),consumption (MWh),expenditures in Millions,consumption (MWh/capita),consumption (TcF),expenditures in Millions,consumption (TcF/capita),expenditures in Millions,establishments,consumption (MWh),expenditures in Millions
1,AL,"Autauga County, AL",1001,Autauga County,32.532237,-86.64644,,55049,7,21580,5,3,30705,"315,398","39,864",6,1,"22,120","156,670","316,920","4,185",6,0,"9,750","20,800","128,186","14,821",2,0,"130,821","14,633","2,415","170,669","1,703",3,0,"152,812","1,627",468,,,"25,332,114",460,"11,506,887",209,"740,266,187","13,447","33,506","2,025",1,"3,263,590","12,369",59,0,,"2,511",152
1,AL,"Baldwin County, AL",1003,Baldwin County,30.659218,-87.746067,,199510,11,122682,9,2,21109,"1,064,843","126,826",5,1,"127,891","528,947","273,012","5,989",1,0,"21,862","75,149","1,122,222","117,677",6,1,"978,878","109,489","19,816","407,181","6,532",2,0,"1,843,506","19,633","2,375",,,"116,066,055",582,"42,975,312",215,"3,239,817,322","16,239","389,609","23,543",2,"1,663,962","6,306",8,0,,"15,731",951
1,AL,"Barbour County, AL",1005,Barbour County,31.870253,-85.405104,,26614,6,13613,4,3,30604,"136,098","17,085",5,1,"11,494","67,605","40,062",668,2,0,724,"9,122","87,199","10,128",3,0,"92,666","10,365","1,920","85,081","1,092",3,0,"123,970","1,320",369,,,"14,909,195",560,"4,016,334",151,"391,131,704","14,696","334,420","20,208",13,"1,526,156","5,784",57,0,,"4,625",279
1,AL,"Bibb County, AL",1007,Bibb County,33.015893,-87.127148,,22572,5,6699,2,3,30502,"117,401","14,858",5,1,"8,738","58,318","99,056","1,306",4,0,"1,441","7,048","44,056","5,106",2,0,"44,744","5,005","1,121","53,863",533,2,0,"47,445",505,217,,,"11,806,243",523,"3,776,567",167,"320,513,006","14,200","11,471",693,1,"3,742",14,0,0,,"1,572",95
1,AL,"Blount County, AL",1009,Blount County,33.977358,-86.56644,,57704,8,12557,4,3,30804,"328,466","41,577",6,1,"23,227","177,690","193,482","2,576",3,0,"4,634","20,619","123,154","14,273",2,0,"125,064","13,989","2,909","6,049",60,0,0,"5,287",56,336,,,"23,520,539",408,"9,996,834",173,"673,272,458","11,668","129,611","7,832",2,"136,813",519,2,0,,"6,148",371
1,AL,"Bullock County, AL",1011,Bullock County,32.101759,-85.717261,,10552,3,3422,1,3,30301,"53,059","6,709",5,1,"4,345","26,357","31,638",419,3,0,627,"3,556","18,976","2,199",2,0,"19,444","2,175",504,8,0,0,0,7,0,106,,,"6,186,642",586,"1,975,072",187,"167,836,840","15,906","56,343","3,405",5,"201,530",764,19,0,,"2,055",124
1,AL,"Butler County, AL",1013,Butler County,31.751667,-86.681969,,20280,5,12211,4,3,30504,"117,812","14,944",6,1,"9,655","58,522","32,256",570,2,0,"1,607","7,675","75,713","8,777",4,0,"76,907","8,602","1,459","62,576",841,3,0,"99,134","1,056",281,,,"22,568,262","1,113","13,011,949",642,"689,255,139","33,987","65,106","3,934",3,"40,235",152,2,0,,"2,690",163
1,AL,"Calhoun County, AL",1015,Calhoun County,33.771706,-85.822513,,115883,9,71664,8,3,30908,"648,757","82,123",6,1,"51,932","350,959","788,725","10,399",7,0,"19,397","45,071","539,145","62,504",5,1,"519,946","58,157","9,789","585,983","5,804",5,0,"515,685","5,492","1,768",,,"53,512,407",462,"16,543,137",143,"1,453,111,884","12,539","610,312","36,879",5,"1,920,892","7,280",17,0,,"4,792",290
1,AL,"Chambers County, AL",1017,Chambers County,32.915504,-85.394032,,34018,6,12279,4,3,30604,"207,888","26,283",6,1,"16,463","103,266","153,560","2,025",5,0,"3,334","13,851","125,283","14,515",4,0,"127,190","14,226","2,258","115,461","1,144",3,0,"101,760","1,084",412,,,"20,775,028",611,"7,101,580",209,"566,425,834","16,651","172,442","10,420",5,"1,312,672","4,975",39,0,,"1,258",76
1,AL,"Cherokee County, AL",1019,Cherokee County,34.069515,-85.654242,,25897,6,7709,3,3,30603,"162,897","20,819",6,1,"15,835","88,122","86,644","1,274",3,0,"2,080","10,999","75,847","9,914",3,0,"68,694","7,684","2,993","133,379","1,378",5,0,"79,196",843,421,,,"13,580,194",524,"4,218,086",163,"362,839,833","14,011","307,649","18,590",12,"486,007","1,842",19,0,,"7,183",434
