ProductID,Month,BudgetUnits,ForecastUnits,BudgetRevenue,ForecastRevenue
1000,2022-01,100,107.0,9451.72,8317.67
1000,2022-02,90,75.0,9108.26,10012.9
1000,2022-03,90,84.0,9881.72,9149.46
1000,2022-04,102,76.0,10140.33,8921.08
1000,2022-05,73,88.0,4524.21,5963.02
1000,2022-06,63,94.0,4703.02,10037.47
1000,2022-07,103,95.0,5115.47,8220.6
1000,2022-08,99,102.0,6870.33,8981.73
1000,2022-09,80,79.0,9697.44,6305.12
1000,2022-10,99,122.0,8744.47,11859.31
1000,2022-11,102,101.0,7700.89,10292.25
1000,2022-12,127,61.0,14882.83,6282.01
1000,2023-01,87,150.0,10026.33,10502.67
1000,2023-02,101,114.0,9718.66,13346.29
1000,2023-03,98,116.0,12619.5,9640.58
1000,2023-04,104,88.0,10664.72,6188.17
1000,2023-05,88,95.0,10381.82,12219.9
1000,2023-06,73,80.0,8244.48,4015.16
1000,2023-07,90,97.0,11262.63,11371.8
1000,2023-08,93,90.0,8834.64,12427.94
1000,2023-09,91,92.0,9741.71,8922.23
1000,2023-10,96,72.0,9577.88,6401.55
1000,2023-11,123,116.0,12240.61,13538.3
1000,2023-12,93,126.0,9289.96,14437.65
1000,2024-01,74,108.0,4901.46,5304.61
1000,2024-02,93,77.0,9605.14,12021.16
1000,2024-03,83,,8640.97,9435.33
1000,2024-04,96,94.0,10948.73,10621.78
1000,2024-05,79,98.0,7955.75,7216.51
1000,2024-06,105,78.0,12541.34,8175.85
1000,2024-07,101,85.0,9860.41,4254.79
1000,2024-08,77,109.0,4422.01,13207.01
1000,2024-09,65,118.0,5400.85,14098.02
1000,2024-10,102,61.0,12748.26,8298.6
1000,2024-11,98,93.0,9486.66,7032.77
1000,2024-12,121,86.0,11976.12,6894.41
1000,2025-01,87,68.0,10887.3,6538.05
1000,2025-02,119,100.0,10247.32,9183.29
1000,2025-03,88,100.0,8139.53,9250.2
1000,2025-04,72,79.0,9581.84,6574.31
1000,2025-05,78,108.0,9995.34,6874.13
1000,2025-06,95,84.0,6154.06,9943.35
1000,2025-07,99,101.0,8410.42,11248.33
1000,2025-08,89,96.0,6927.3,6681.35
1000,2025-09,126,87.0,13335.03,8626.51
1000,2025-10,91,87.0,10246.75,8043.44
1000,2025-11,96,100.0,11858.9,11701.28
1000,2025-12,107,85.0,7742.59,10517.75
1001,2022-01,119,96.0,13189.68,11475.46
1001,2022-02,116,123.0,10542.97,16958.54
1001,2022-03,75,,8240.9,14742.7
1001,2022-04,137,137.0,10562.22,7916.3
1001,2022-05,116,74.0,11571.22,8953.5
1001,2022-06,67,47.0,7047.46,4752.15
1001,2022-07,95,100.0,7865.02,6216.26
1001,2022-08,96,75.0,6444.52,8448.15
1001,2022-09,98,110.0,7860.98,9190.34
1001,2022-10,80,77.0,8312.65,6192.77
1001,2022-11,107,108.0,15033.84,7039.47
