Campaign,Date,ProductID,Spend
Spring Sale,2025-05-03,1154,636.42
Spring Sale,2025-10-04,1107,826.9
Spring Sale,2025-12-08,1164,829.48
Spring Sale,2025-06-10,1019,703.69
Spring Sale,2025-08-25,1117,1158.7
Spring Sale,2025-07-24,1189,1246.38
Spring Sale,2025-11-13,1085,302.36
Spring Sale,2025-04-15,1063,683.59
Spring Sale,2025-01-03,1091,1167.89
Spring Sale,2025-09-09,1175,492.74
Spring Sale,2025-11-27,1118,547.27
Spring Sale,2025-03-22,1077,1220.66
Spring Sale,2025-02-06,1151,1355.06
Spring Sale,2025-06-24,1154,898.4
Spring Sale,2025-12-02,1111,799.31
Spring Sale,2025-09-26,1015,1114.37
Spring Sale,2025-02-20,1086,985.68
Spring Sale,2025-11-26,1149,1203.09
Spring Sale,2025-12-20,1131,816.85
Spring Sale,2025-03-11,1168,1141.91
Spring Sale,2025-11-04,1115,1266.04
Spring Sale,2025-11-25,1110,1065.04
Spring Sale,2025-02-16,1014,1041.45
Spring Sale,2025-12-14,1159,1043.05
Spring Sale,2025-01-13,1072,319.38
Spring Sale,2025-12-17,1117,1149.23
Spring Sale,2025-06-12,1004,1022.02
Spring Sale,2025-07-02,1031,910.19
Spring Sale,2025-05-03,1110,836.38
Spring Sale,2025-12-20,1154,342.35
Spring Sale,2025-09-17,1041,828.87
Spring Sale,2025-11-16,1184,933.01
Spring Sale,2025-08-14,1095,754.23
Spring Sale,2025-02-17,1006,1374.33
Spring Sale,2025-08-20,1134,991.47
Spring Sale,2025-04-21,1028,880.96
Spring Sale,2025-01-11,1126,1050.56
Spring Sale,2025-03-10,1084,880.88
Spring Sale,2025-03-24,1190,549.81
Spring Sale,2025-11-12,1196,1030.9
Spring Sale,2025-10-11,1006,1157.05
Spring Sale,2025-03-16,1014,389.89
Spring Sale,2025-10-06,1151,1542.86
Spring Sale,2025-12-13,1129,584.71
Spring Sale,2025-07-06,1069,1017.81
Spring Sale,2025-02-14,1134,1008.03
Spring Sale,2025-06-17,1059,1089.01
