campaign,date,productid,spend
Winter Promo,2023-09-25,1193,1135.3
Winter Promo,2023-10-06,1193,1295.83
Winter Promo,2023-04-02,1084,1240.68
Winter Promo,2023-01-14,1165,1191.56
Winter Promo,2023-08-02,1111,1085.36
Winter Promo,2023-08-06,1100,984.67
Winter Promo,2023-08-01,1162,1144.8
Winter Promo,2023-02-04,1199,930.19
Winter Promo,2023-01-19,1142,1037.01
Winter Promo,2023-04-21,1176,1322.68
Winter Promo,2023-04-24,1155,1289.46
Winter Promo,2023-12-13,1119,1004.18
Winter Promo,2023-09-28,1122,1243.21
Winter Promo,2023-10-01,1058,539.17
Winter Promo,2023-11-11,1000,1059.37
Winter Promo,2023-07-22,1197,1113.64
Winter Promo,2023-04-11,1186,888.58
Winter Promo,2023-08-24,1052,360.3
Winter Promo,2023-03-01,1132,794.69
Winter Promo,2023-11-26,1140,843.24
Winter Promo,2023-10-23,1058,973.51
Winter Promo,2023-02-24,1146,948.21
Winter Promo,2023-11-23,1198,1100.08
Winter Promo,2023-11-17,1188,1013.42
Winter Promo,2023-09-28,1041,1111.81
Winter Promo,2023-03-18,1117,831.93
Winter Promo,2023-06-10,1110,867.17
Winter Promo,2023-11-21,1070,757.45
Winter Promo,2023-09-10,1004,983.43
Winter Promo,2023-04-02,1131,1045.03
Winter Promo,2023-07-06,1031,1445.88
Winter Promo,2023-06-26,1132,1114.79
Winter Promo,2023-01-08,1093,677.97
Winter Promo,2023-06-07,1169,1282.5
Winter Promo,2023-08-21,1043,1363.4
Winter Promo,2023-10-27,1113,1139.73
Winter Promo,2023-12-11,1155,1563.67
Winter Promo,2023-01-08,1194,908.9
Winter Promo,2023-06-12,1099,1148.5
Winter Promo,2023-12-01,1151,747.19
Winter Promo,2023-03-15,1178,463.89
Winter Promo,2023-05-08,1145,1072.3
Winter Promo,2023-10-24,1026,1368.02
Winter Promo,2023-03-22,1000,1268.3
Winter Promo,2023-01-05,1066,880.72
Winter Promo,2023-03-25,1084,1090.61
Winter Promo,2023-05-22,1055,1026.18
Winter Promo,2023-03-10,1134,1032.7
Winter Promo,2023-05-14,1010,799.86
Winter Promo,2023-03-01,1049,694.15
Winter Promo,2023-06-01,1124,1344.75
Winter Promo,2023-04-13,1152,1583.05
Winter Promo,2023-11-23,1172,678.15
Winter Promo,2023-05-19,1105,735.85
Winter Promo,2023-01-05,1107,1716.56
Winter Promo,2023-12-01,1193,1261.43
Winter Promo,2023-11-09,1094,669.46
Winter Promo,2023-07-22,1118,1350.26
Winter Promo,2023-04-20,1063,1100.2
Winter Promo,2023-04-25,1168,1284.32
Winter Promo,2023-09-12,1041,1183.82
Winter Promo,2023-01-19,1033,1602.85
Winter Promo,2023-09-03,1087,689.39
Winter Promo,2023-02-01,1149,1016.57
Winter Promo,2023-02-06,1182,773.2
Winter Promo,2023-02-13,1097,1038.69
Winter Promo,2023-08-15,1089,1292.96
Winter Promo,2023-04-07,1196,1067.11
Winter Promo,2023-02-19,1080,1095.08
Winter Promo,2023-10-27,1138,467.28
Winter Promo,2023-08-25,1030,1166.94
Winter Promo,2023-12-23,1068,1023.51
Winter Promo,2023-06-08,1148,1265.73
Winter Promo,2023-08-09,1057,1166.99
Winter Promo,2023-02-11,1140,1381.6
Winter Promo,2023-08-26,1006,875.37
Winter Promo,2023-02-07,1081,1036.76
Winter Promo,2023-07-16,1047,1553.86
Winter Promo,2023-04-05,1147,838.6
Winter Promo,2023-10-26,1170,1794.45
Winter Promo,2023-08-14,1012,663.18
Winter Promo,2023-10-09,1086,455.57
Winter Promo,2023-02-23,1192,1099.04
Winter Promo,2023-08-04,1131,865.99
Winter Promo,2023-05-25,1113,1080.33
Winter Promo,2023-02-06,1133,1306.28
Winter Promo,2023-07-18,1048,1004.06
Winter Promo,2023-03-08,1154,659.04
Winter Promo,2023-05-18,1026,1066.85
Winter Promo,2023-06-17,1054,972.36
Winter Promo,2023-10-19,1145,1052.83
Winter Promo,2023-10-13,1166,867.61
Winter Promo,2023-01-13,1126,1516.71
Winter Promo,2023-03-05,1092,750.94
Winter Promo,2023-08-19,1129,476.71
Winter Promo,2023-09-06,1191,1131.03
Winter Promo,2023-03-01,1032,607.6
Winter Promo,2023-12-20,1135,579.62
Winter Promo,2023-06-09,1060,544.6
Winter Promo,2023-08-19,1078,878.95
Winter Promo,2023-10-09,1069,1586.79
Winter Promo,2023-10-26,1177,647.77
Winter Promo,2023-08-26,1146,1201.69
Winter Promo,2023-02-22,1165,950.37
Winter Promo,2023-01-06,1049,906.5
Winter Promo,2023-09-15,1029,1294.64
Winter Promo,2023-07-15,1168,502.82
Winter Promo,2023-07-03,1118,852.78
Winter Promo,2023-08-11,1096,1365.97
Winter Promo,2023-08-06,1058,844.32
Winter Promo,2023-07-26,1124,700.54
Winter Promo,2023-07-15,1106,1432.14
Winter Promo,2023-05-25,1076,-531.18
Winter Promo,2023-05-08,1168,974.56
Winter Promo,2023-11-19,1049,1074.98
Winter Promo,2023-12-12,1045,1196.7
Winter Promo,2023-12-23,1009,817.69
Winter Promo,2023-11-04,1080,1088.95
Winter Promo,2023-02-08,1011,578.96
Winter Promo,2023-04-23,1140,1421.99
Winter Promo,2023-12-17,1139,844.71
Winter Promo,2023-10-08,1118,925.98
Winter Promo,2023-06-25,1052,1385.76
Winter Promo,2023-06-11,1135,716.21
Winter Promo,2023-09-08,1198,1178.08
Winter Promo,2023-11-22,1071,1105.35
Winter Promo,2023-06-07,1157,545.75
Winter Promo,2023-08-06,1086,1332.85
Winter Promo,2023-07-10,1145,901.03
Winter Promo,2023-10-28,1183,1135.51
Winter Promo,2023-05-01,1018,1178.99
Winter Promo,2023-11-20,1135,1459.0
Winter Promo,2023-08-03,1088,1344.94
Winter Promo,2023-03-08,1190,810.91
Winter Promo,2023-09-06,1067,1474.42
Winter Promo,2023-03-09,1072,1311.69
Winter Promo,2023-05-08,1164,936.71
Winter Promo,2023-11-06,1198,1049.84
Winter Promo,2023-12-19,1155,750.13
Winter Promo,2023-01-09,1011,593.98
Winter Promo,2023-10-21,1179,586.55
Winter Promo,2023-07-05,1082,1058.87
Winter Promo,2023-02-14,1049,1081.89
Winter Promo,2023-02-07,1062,1215.74
Winter Promo,2023-10-21,1068,1714.82
Winter Promo,2023-08-20,1102,1056.38
Winter Promo,2023-05-04,1065,865.38
Winter Promo,2023-11-19,1100,1013.48
Winter Promo,2023-11-08,1027,785.48
Winter Promo,2023-10-19,1056,-821.68
Winter Promo,2023-02-02,1144,1545.29
Winter Promo,2023-08-04,1196,941.72
Winter Promo,2023-04-02,1184,1284.1
Winter Promo,2023-05-17,1196,1385.58
Winter Promo,2023-01-19,1008,978.66
Winter Promo,2023-08-17,1100,904.28
Winter Promo,2023-07-17,1096,706.83
Winter Promo,2023-09-23,1122,633.24
Winter Promo,2023-12-10,1052,1076.7
Winter Promo,2023-12-14,1070,1170.97
Winter Promo,2023-09-23,1011,1041.75
Winter Promo,2023-02-19,1047,911.35
Winter Promo,2023-07-28,1188,532.45
Winter Promo,2023-09-01,1175,1075.57
Winter Promo,2023-09-15,1078,1046.07
Winter Promo,2023-12-24,1079,814.14
Winter Promo,2023-12-16,1141,1259.61
Winter Promo,2023-08-11,1114,602.94
Winter Promo,2023-07-06,1008,1206.22
Winter Promo,2023-04-18,1156,893.81
Winter Promo,2023-08-16,1039,1241.16
Winter Promo,2023-10-18,1049,626.43
Winter Promo,2023-04-19,1191,911.65
Winter Promo,2023-09-15,1078,1144.02
Winter Promo,2023-01-08,1109,1209.01
Winter Promo,2023-04-05,1171,1038.24
Winter Promo,2023-03-20,1079,1637.75
Winter Promo,2023-11-14,1101,1434.38
Winter Promo,2023-10-16,1188,1084.41
Winter Promo,2023-09-17,1177,916.3
Winter Promo,2023-03-02,1133,1494.34
Winter Promo,2023-04-22,1060,883.4
Winter Promo,2023-12-02,1126,520.55
Winter Promo,2023-02-12,1056,1446.26
Winter Promo,2023-02-03,1179,1122.42
Winter Promo,2023-08-12,1137,784.94
Winter Promo,2023-08-24,1076,1151.85
Winter Promo,2023-06-18,1153,-779.71
Winter Promo,2023-04-12,1103,520.2
Winter Promo,2023-05-28,1098,1062.17
Winter Promo,2023-04-20,1127,1118.18
Winter Promo,2023-07-14,1077,1042.52
Winter Promo,2023-01-25,1178,1036.79
Winter Promo,2023-11-06,1195,1145.55
Winter Promo,2023-09-18,1092,807.7
Winter Promo,2023-12-22,1189,1003.62
Winter Promo,2023-03-04,1120,1084.42
Winter Promo,2023-04-24,1109,756.22
Winter Promo,2023-11-28,1194,1438.42
Winter Promo,2023-05-04,1009,896.78
Winter Promo,2023-12-13,1148,1084.61
Winter Promo,2023-07-10,1103,1027.07
Winter Promo,2023-06-21,1087,989.15
Winter Promo,2023-01-08,1098,-918.38
Winter Promo,2023-11-26,1178,980.55
Winter Promo,2023-01-27,1046,1040.1
Winter Promo,2023-01-28,1125,974.08
Winter Promo,2023-09-11,1101,562.55
Winter Promo,2023-02-26,1008,888.4
Winter Promo,2023-02-07,1099,587.3
Winter Promo,2023-04-26,1174,1276.78
Winter Promo,2023-12-05,1105,957.1
Winter Promo,2023-04-16,1022,761.9
Winter Promo,2023-01-12,1171,1104.34
Winter Promo,2023-12-21,1115,1220.01
Winter Promo,2023-04-16,1131,640.2
Winter Promo,2023-05-20,1018,1021.97
Winter Promo,2023-10-28,1046,1447.63
Winter Promo,2023-05-20,1112,1086.03
Winter Promo,2023-06-21,1176,1382.27
Winter Promo,2023-02-07,1118,547.09
Winter Promo,2023-01-11,1123,1179.69
Winter Promo,2023-10-25,1034,1126.99
Winter Promo,2023-03-16,1195,1043.04
Winter Promo,2023-12-24,1183,772.06
Winter Promo,2023-02-25,1004,396.1
Winter Promo,2023-11-06,1023,802.76
Winter Promo,2023-12-22,1147,1221.74
Winter Promo,2023-05-27,1077,1050.9
Winter Promo,2023-04-18,1105,1448.36
Winter Promo,2023-03-28,1185,746.17
Winter Promo,2023-06-10,1085,1221.86
Winter Promo,2023-06-04,1014,884.44
Winter Promo,2023-12-08,1147,834.28
Winter Promo,2023-08-12,1036,1238.75
Winter Promo,2023-03-26,1034,1341.4
Winter Promo,2023-11-28,1093,741.66
Winter Promo,2023-09-05,1000,1146.48
Winter Promo,2023-01-20,1092,1104.98
Winter Promo,2023-09-25,1094,985.06
Winter Promo,2023-03-06,1051,1392.63
