CustomerID,CustomerName,Segment
2000,Customer 2000,Enterprise
2001,Customer 2001,Corporate
2002,Customer 2002,Small Business
2003,Customer 2003,Small Business
2004,Customer 2004,Corporate
2005,Customer 2005,Small Business
2006,Customer 2006,Corporate
2007,Customer 2007,Small Business
2008,Customer 2008,
2009,Customer 2009,Small Business
2010,Customer 2010,Small Business
2011,Customer 2011,Enterprise
2012,Customer 2012,Consumer
2013,Customer 2013,Consumer
2014,Customer 2014,Consumer
2015,Customer 2015,Small Business
2016,Customer 2016,Consumer
2017,Customer 2017,Corporate
2018,Customer 2018,Corporate
2019,Customer 2019,Enterprise
2020,Customer 2020,Enterprise
2021,Customer 2021,Corporate
2022,Customer 2022,Consumer
2023,Customer 2023,Consumer
2024,Customer 2024,Enterprise
2025,Customer 2025,Small Business
2026,Customer 2026,Corporate
2027,Customer 2027,Consumer
2028,Customer 2028,Consumer
2029,Customer 2029,Corporate
2030,Customer 2030,Small Business
2031,Customer 2031,Corporate
2032,Customer 2032,Enterprise
2033,Customer 2033,
2034,Customer 2034,Consumer
2035,Customer 2035,Consumer
2036,Customer 2036,Corporate
2037,Customer 2037,Consumer
2038,Customer 2038,Enterprise
2039,Customer 2039,Enterprise
2040,Customer 2040,
2041,Customer 2041,Consumer
2042,Customer 2042,Corporate
2043,Customer 2043,Small Business
2044,Customer 2044,Corporate
2045,Customer 2045,Enterprise
2046,Customer 2046,Corporate
2047,Customer 2047,Enterprise
2048,Customer 2048,Enterprise
2049,Customer 2049,Enterprise
2050,Customer 2050,Small Business
2051,Customer 2051,Enterprise
2052,Customer 2052,Enterprise
2053,Customer 2053,Enterprise
2054,Customer 2054,Consumer
2055,Customer 2055,Enterprise
2056,Customer 2056,Small Business
2057,Customer 2057,Enterprise
2058,Customer 2058,Consumer
2059,Customer 2059,Enterprise
2060,Customer 2060,Corporate
2061,Customer 2061,Consumer
2062,Customer 2062,Enterprise
2063,Customer 2063,Small Business
2064,Customer 2064,Consumer
2065,Customer 2065,Corporate
2066,Customer 2066,Small Business
2067,Customer 2067,Enterprise
2068,Customer 2068,Corporate
2069,Customer 2069,Consumer
2070,Customer 2070,Small Business
2071,Customer 2071,Consumer
2072,Customer 2072,Consumer
2073,Customer 2073,Small Business
2074,Customer 2074,Consumer
2075,Customer 2075,Consumer
2076,Customer 2076,Consumer
2077,Customer 2077,Corporate
2078,Customer 2078,Enterprise
2079,Customer 2079,Consumer
2080,Customer 2080,Corporate
2081,Customer 2081,Small Business
2082,Customer 2082,Consumer
2083,Customer 2083,Small Business
2084,Customer 2084,Consumer
2085,Customer 2085,Consumer
2086,Customer 2086,Small Business
2087,Customer 2087,Small Business
2088,Customer 2088,Consumer
2089,Customer 2089,Small Business
2090,Customer 2090,Corporate
2091,Customer 2091,Small Business
2092,Customer 2092,Enterprise
2093,Customer 2093,
2094,Customer 2094,Small Business
2095,Customer 2095,
2096,Customer 2096,Corporate
2097,Customer 2097,Enterprise
2098,Customer 2098,Corporate
2099,Customer 2099,Consumer
2100,Customer 2100,Small Business
2101,Customer 2101,Enterprise
2102,Customer 2102,Small Business
2103,Customer 2103,Small Business
2104,Customer 2104,Corporate
2105,Customer 2105,
2106,Customer 2106,Small Business
2107,Customer 2107,
2108,Customer 2108,Consumer
2109,Customer 2109,Small Business
2110,Customer 2110,Small Business
2111,Customer 2111,Enterprise
2112,Customer 2112,Consumer
2113,Customer 2113,Corporate
2114,Customer 2114,Small Business
2115,Customer 2115,Consumer
2116,Customer 2116,Enterprise
2117,Customer 2117,
