DateKey,Date,Year,Quarter,Month,Day,DayOfWeek,MonthName
20220101,2022-01-01,2022,1,1,1,6,January
20220102,2022-01-02,2022,1,1,2,7,January
20220103,2022-01-03,2022,1,1,3,1,January
20220104,2022-01-04,2022,1,1,4,2,January
20220105,2022-01-05,2022,1,1,5,3,January
20220106,2022-01-06,2022,1,1,6,4,January
20220107,2022-01-07,2022,1,1,7,5,January
20220108,2022-01-08,2022,1,1,8,6,January
20220109,2022-01-09,2022,1,1,9,7,January
20220110,2022-01-10,2022,1,1,10,1,January
20220111,2022-01-11,2022,1,1,11,2,January
20220112,2022-01-12,2022,1,1,12,3,January
20220113,2022-01-13,2022,1,1,13,4,January
20220114,2022-01-14,2022,1,1,14,5,January
20220115,2022-01-15,2022,1,1,15,6,January
20220116,2022-01-16,2022,1,1,16,7,January
20220117,2022-01-17,2022,1,1,17,1,January
20220118,2022-01-18,2022,1,1,18,2,January
20220119,2022-01-19,2022,1,1,19,3,January
20220120,2022-01-20,2022,1,1,20,4,January
20220121,2022-01-21,2022,1,1,21,5,January
20220122,2022-01-22,2022,1,1,22,6,January
20220123,2022-01-23,2022,1,1,23,7,January
20220124,2022-01-24,2022,1,1,24,1,January
20220125,2022-01-25,2022,1,1,25,2,January
20220126,2022-01-26,2022,1,1,26,3,January
20220127,2022-01-27,2022,1,1,27,4,January
20220128,2022-01-28,2022,1,1,28,5,January
20220129,2022-01-29,2022,1,1,29,6,January
20220130,2022-01-30,2022,1,1,30,7,January
20220131,2022-01-31,2022,1,1,31,1,January
20220201,2022-02-01,2022,1,2,1,2,February
20220202,2022-02-02,2022,1,2,2,3,February
20220203,2022-02-03,2022,1,2,3,4,February
20220204,2022-02-04,2022,1,2,4,5,February
20220205,2022-02-05,2022,1,2,5,6,February
20220206,2022-02-06,2022,1,2,6,7,February
20220207,2022-02-07,2022,1,2,7,1,February
20220208,2022-02-08,2022,1,2,8,2,February
20220209,2022-02-09,2022,1,2,9,3,February
20220210,2022-02-10,2022,1,2,10,4,February
20220211,2022-02-11,2022,1,2,11,5,February
20220212,2022-02-12,2022,1,2,12,6,February
20220213,2022-02-13,2022,1,2,13,7,February
20220214,2022-02-14,2022,1,2,14,1,February
20220215,2022-02-15,2022,1,2,15,2,February
