TransactionID,TransactionDate,StoreID,ProductID,CustomerID,ChannelID,Quantity,UnitPrice,Discount,Revenue,Cost,GST,TransactionTime,State
TXN00039947,2023-08-07,STR036,PRD00448,CUST014079,CH001,10,77.82,0.05,739.29,489.5,,10:44:00,Vic
TXN00022243,2023-02-05,STR028,PRD00386,,CH003,2,56.79,0.05,107.9,74.2,10.79,14:25:00,VIC
TXN00029799,2023-03-15,STR017,PRD01067,CUST006727,CH002,9,61.59,0.0,554.31,337.68,55.43,07:37:00,Nsw
TXN00019919,2022-11-29,STR019,PRD01730,CUST011050,CH003,8,81.63,0.0,653.04,364.48,65.3,18:45:00,NSW
TXN00009042,2023-06-25,STR005,PRD00470,CUST007278,CH003,2,20.79,0.0,41.58,21.68,4.16,16:35:00,NSW
TXN00010149,2022-08-01,STR036,PRD01463,CUST006884,CH002,2,25.41,0.05,48.28,29.4,4.83,19:00:00,vic
TXN00016721,2023-05-30,STR016,PRD01277,CUST016410,CH001,8,35.04,0.0,280.32,159.76,28.03,21:25:00,nsw
TXN00027498,2024-02-15,STR022,PRD01613,CUST014741,CH002,6,26.56,0.0,159.36,107.88,15.94,12:10:00,VIC
TXN00045716,2024-02-12,STR003,PRD00550,CUST012835,CH003,1,61.37,0.0,61.37,26.3,6.14,15:48:00,nsw
TXN00046513,2023-01-14,STR033,PRD00332,CUST008978,CH002,8,53.99,0.2,345.54,242.64,34.55,14:16:00,VIC
TXN00044406,2022-11-24,STR017,PRD00962,CUST007463,CH001,6,8.24,0.1,44.5,30.3,4.45,18:37:00,NSW
TXN00030863,2023-09-19,STR033,PRD01156,CUST012691,CH001,2,93.77,0.05,178.16,79.88,17.82,12:15:00,VIC
TXN00018810,2024-04-22,STR025,PRD00850,CUST000647,CH001,6,2.61,0.1,14.09,9.48,1.41,07:46:00,Vic
TXN00039450,2022-11-19,STR026,PRD00578,CUST010062,CH003,3,89.38,0.1,44957.57,119.7,24.13,10:19:00,vic
TXN00031665,2024-02-08,STR009,PRD01074,,CH002,10,63.5,0.0,635.0,473.1,63.5,16:33:00,NSW
TXN00041996,2022-12-08,STR009,PRD00032,CUST003525,CH002,3,58.8,0.05,167.58,89.79,16.76,21:31:00,NSW
TXN00027603,2024-01-20,STR021,PRD01525,CUST003535,CH002,8,98.88,0.0,791.04,370.24,79.1,06:26:00,Vic
TXN00001151,2022-09-06,STR028,PRD00715,CUST000066,CH002,6,15.49,0.15,79.0,55.14,7.9,06:57:00,vic
TXN00024167,2022-11-09,STR020,PRD00970,CUST018416,CH002,3,81.62,0.0,244.86,136.83,24.49,12:00:00,Nsw
TXN00022183,2022-08-31,STR014,PRD00307,CUST005915,CH003,7,17.61,0.05,117.11,51.17,11.71,15:02:00,Nsw
TXN00042579,2024-03-27,STR003,PRD01160,CUST015742,CH002,4,56.31,0.0,225.24,104.28,22.52,13:27:00,NSW
TXN00019414,2024-05-07,STR029,PRD01818,,CH003,5,62.89,0.0,314.45,150.3,31.44,11:04:00,VIC
TXN00007423,2022-09-02,STR042,PRD00285,CUST007749,CH003,7,6.3,0.0,44.1,31.71,4.41,14:52:00,QLD
TXN00046618,2022-10-10,STR027,PRD01549,,CH003,1,43.07,0.0,43.07,23.48,4.31,10:45:00,VIC
TXN00005554,2023-02-27,STR002,PRD00994,CUST003708,CH003,10,41.65,0.0,416.5,270.9,41.65,13:20:00,NSW
TXN00039391,2022-07-22,STR033,PRD00137,CUST007758,CH003,8,29.75,0.0,238.0,154.64,23.8,15:47:00,VIC
TXN00008005,2024-02-07,STR037,PRD01538,CUST018523,CH001,2,11.7,0.05,22.23,10.9,2.22,15:43:00,vic
TXN00012861,2024-03-31,STR012,PRD00564,CUST010198,CH003,7,63.99,0.15,380.74,210.35,38.07,17:46:00,Nsw
TXN00016694,2024-04-13,STR049,PRD01743,CUST014448,CH002,2,36.4,0.05,69.16,43.28,6.92,17:28:00,Qld
TXN00028883,2022-09-12,STR017,PRD00353,CUST007155,CH003,7,5.74,0.0,40.18,29.19,4.02,18:01:00,NSW
TXN00040059,2023-09-14,STR040,PRD01306,,CH001,8,47.44,0.0,379.52,164.32,37.95,14:36:00,qld
TXN00028496,2023-12-03,STR015,PRD01138,CUST004119,CH001,3,18.96,0.0,56.88,32.76,5.69,06:00:00,NSW
TXN00013325,2023-10-11,STR029,PRD01749,CUST002291,CH001,6,61.68,0.0,370.08,281.34,37.01,10:59:00,Vic
TXN00024535,99/99/9999,STR016,PRD01179,CUST015192,CH002,1,18.69,0.0,18.69,13.04,,21:02:00,nsw
TXN00043161,2024-05-11,STR013,PRD00583,,CH002,4,99.7,0.0,398.8,197.96,39.88,21:02:00,NSW
TXN00004386,2023-12-18,STR021,PRD00112,CUST006230,CH002,8,43.68,0.0,349.44,176.48,34.94,21:45:00,Vic
TXN00009152,2023-01-22,STR006,PRD00962,CUST009135,CH002,5,6.86,0.2,27.44,25.25,2.74,14:40:00,NSW
TXN00025690,2022-07-16,STR047,PRD01372,CUST018859,CH002,1,27.9,0.1,25.11,14.38,2.51,08:39:00,Qld
TXN00006192,2022-07-22,STR035,PRD00142,CUST013295,CH001,3,26.08,0.0,78.24,35.88,7.82,12:58:00,VIC
TXN00042052,2022-07-21,STR004,PRD00111,CUST017537,CH003,4,84.91,0.0,339.64,147.28,33.96,19:20:00,NSW
TXN00026199,2024-05-23,STR016,PRD00384,CUST009905,CH002,1,59.69,0.0,59.69,26.21,5.97,12:41:00,Nsw
TXN00025371,2024-03-03,STR023,PRD00838,CUST008469,CH002,4,87.65,0.0,350.6,193.12,35.06,21:32:00,Vic
TXN00028041,2023-01-26,STR033,PRD00886,CUST006139,CH002,9,4.53,0.0,40.77,25.02,4.08,13:22:00,VIC
TXN00023039,2022-07-23,STR020,PRD01949,CUST012632,CH001,8,119.82,0.0,958.56,396.8,95.86,13:04:00,NSW
TXN00038769,2022-12-24,STR028,PRD01568,CUST002220,CH001,1,44.28,0.0,44.28,30.38,4.43,10:30:00,VIC
TXN00038267,2024-03-31,STR036,PRD01471,,CH002,10,79.92,0.0,799.2,419.6,79.92,21:16:00,Vic
TXN00010011,2023-03-24,STR015,PRD01461,CUST018007,CH002,4,48.24,0.05,183.31,126.6,18.33,09:41:00,NSW
