campaign_date,Campaign_Name,PRODUCT_ID,spend,impressions,Clicks
2023-03-01,autumn_campaign_2023,PRD00132,3822.59,96923,655
2023-03-02,autumn_campaign_2023,PRD01224,3990.15,88532,531
2023-03-03,autumn_campaign_2023,PRD01908,3334.23,77126,713
2023-03-04,autumn_campaign_2023,PRD00959,1884.78,80952,29
2023-03-05,autumn_campaign_2023,PRD00006,1383.5,83932,562
2023-03-06,autumn_campaign_2023,PRD00653,4545.26,43515,109
2023-03-07,autumn_campaign_2023,PRD00585,3847.54,5151,665
2023-03-08,autumn_campaign_2023,PRD00791,3211.22,7610,431
2023-03-09,autumn_campaign_2023,PRD01251,3277.13,85602,186
2023-03-10,autumn_campaign_2023,PRD01776,3375.13,46453,452
2023-03-11,autumn_campaign_2023,PRD01954,1794.07,11308,567
2023-03-12,autumn_campaign_2023,PRD01441,2524.25,20744,239
2023-03-13,autumn_campaign_2023,PRD00780,2089.58,67425,971
2023-03-14,autumn_campaign_2023,PRD01448,4424.62,41460,221
2023-03-15,autumn_campaign_2023,PRD00711,1825.08,4129,325
2023-03-16,autumn_campaign_2023,PRD01975,1837.06,89647,776
2023-03-17,autumn_campaign_2023,PRD01544,3947.65,80859,164
2023-03-18,autumn_campaign_2023,PRD01492,344.0,2024,360
2023-03-19,autumn_campaign_2023,PRD00161,1922.79,4944,723
2023-03-20,autumn_campaign_2023,PRD01996,4105.52,88399,514
2023-03-21,autumn_campaign_2023,PRD01287,3108.64,11873,156
2023-03-22,autumn_campaign_2023,PRD00839,3832.71,60272,264
2023-03-23,autumn_campaign_2023,PRD01386,509.29,38572,51
2023-03-24,autumn_campaign_2023,PRD01795,153.93,50090,124
2023-03-25,autumn_campaign_2023,PRD01583,431.91,22933,505
2023-03-26,autumn_campaign_2023,PRD00831,4538.7,87949,964
2023-03-27,autumn_campaign_2023,PRD00062,4653.87,50078,193
2023-03-28,autumn_campaign_2023,PRD01682,4766.22,14265,152
2023-03-29,autumn_campaign_2023,PRD01281,4046.29,39734,237
2023-03-30,autumn_campaign_2023,PRD00295,1173.07,47069,537
2023-03-31,autumn_campaign_2023,PRD00674,2050.2,52252,706
2023-04-01,autumn_campaign_2023,PRD01176,3202.61,73499,906
2023-04-02,autumn_campaign_2023,PRD00390,3740.88,49820,595
2023-04-03,autumn_campaign_2023,PRD00489,1539.15,81726,308
2023-04-04,autumn_campaign_2023,PRD00200,987.43,78991,639
2023-04-05,autumn_campaign_2023,PRD01670,4121.25,79204,599
2023-04-06,autumn_campaign_2023,PRD00406,4029.05,44127,236
2023-04-07,autumn_campaign_2023,PRD01094,4114.9,93357,514
2023-04-08,autumn_campaign_2023,PRD01355,2754.0,64733,765
2023-04-09,autumn_campaign_2023,PRD01648,3337.77,40761,822
2023-04-10,autumn_campaign_2023,PRD00579,447.97,95516,786
2023-04-11,autumn_campaign_2023,PRD00653,918.12,4268,153
2023-04-12,autumn_campaign_2023,PRD01237,1059.0,64088,467
2023-04-13,autumn_campaign_2023,PRD01379,2705.68,66662,454
2023-04-14,autumn_campaign_2023,PRD00583,3938.5,81710,13
2023-04-15,autumn_campaign_2023,PRD00100,4474.85,28811,447
2023-04-16,autumn_campaign_2023,PRD01687,3780.95,38338,254
2023-04-17,autumn_campaign_2023,PRD01221,3141.27,27143,568
2023-04-18,autumn_campaign_2023,PRD00240,4355.12,68453,253
2023-04-19,autumn_campaign_2023,PRD01558,4779.29,58136,397
2023-04-20,autumn_campaign_2023,PRD01475,1334.3,9605,935
2023-04-21,autumn_campaign_2023,PRD01825,3699.02,12288,555
2023-04-22,autumn_campaign_2023,PRD00808,3735.53,20318,191
2023-04-23,autumn_campaign_2023,PRD00765,2114.99,91536,849
2023-04-24,autumn_campaign_2023,PRD00173,3843.08,93971,109
2023-04-25,autumn_campaign_2023,PRD00492,1755.31,46568,120
2023-04-26,autumn_campaign_2023,PRD00228,201.45,49442,757
2023-04-27,autumn_campaign_2023,PRD00689,2319.82,33577,10
2023-04-28,autumn_campaign_2023,PRD01469,874.56,86930,905
2023-04-29,autumn_campaign_2023,PRD00146,2903.53,27274,377
2023-04-30,autumn_campaign_2023,PRD01591,1810.97,51849,517
2023-05-01,autumn_campaign_2023,PRD00419,4179.28,99873,387
2023-05-02,autumn_campaign_2023,PRD00532,3604.51,43716,371
2023-05-03,autumn_campaign_2023,PRD00067,2201.55,11481,519
2023-05-04,autumn_campaign_2023,PRD00807,290.06,34694,344
2023-05-05,autumn_campaign_2023,PRD01610,1377.89,64017,742
2023-05-06,autumn_campaign_2023,PRD01817,2769.76,38581,420
2023-05-07,autumn_campaign_2023,PRD00151,621.77,6473,760
2023-05-08,autumn_campaign_2023,PRD00935,2930.04,92046,638
2023-05-09,autumn_campaign_2023,PRD00330,1192.19,78730,177
2023-05-10,autumn_campaign_2023,PRD01437,4330.39,21196,606
2023-05-11,autumn_campaign_2023,PRD01029,3182.3,80818,618
2023-05-12,autumn_campaign_2023,PRD00165,4744.07,59863,19
2023-05-13,autumn_campaign_2023,PRD00193,3797.1,9864,13
2023-05-14,autumn_campaign_2023,PRD00225,2153.44,27413,123
2023-05-15,autumn_campaign_2023,PRD00733,2405.1,84520,937
2023-05-16,autumn_campaign_2023,PRD01394,3993.23,20412,643
2023-05-17,autumn_campaign_2023,PRD01291,1442.53,10794,411
2023-05-18,autumn_campaign_2023,PRD01345,4752.54,55722,634
2023-05-19,autumn_campaign_2023,PRD00609,3102.41,43348,23
2023-05-20,autumn_campaign_2023,PRD01622,4062.24,42196,665
2023-05-21,autumn_campaign_2023,PRD01658,2151.32,57730,217
2023-05-22,autumn_campaign_2023,PRD01663,2588.71,96321,156
2023-05-23,autumn_campaign_2023,PRD00447,1424.44,12450,421
2023-05-24,autumn_campaign_2023,PRD01940,1399.06,26278,94
2023-05-25,autumn_campaign_2023,PRD00191,1391.13,14496,747
2023-05-26,autumn_campaign_2023,PRD00912,1866.24,60693,952
2023-05-27,autumn_campaign_2023,PRD00386,3181.42,42547,667
2023-05-28,autumn_campaign_2023,PRD01301,962.06,84357,236
2023-05-29,autumn_campaign_2023,PRD01421,1807.99,91203,541
2023-05-30,autumn_campaign_2023,PRD00008,1279.22,7172,786
2023-05-31,autumn_campaign_2023,PRD01975,1696.27,85226,74
