campaign_date,Campaign_Name,PRODUCT_ID,spend,impressions,Clicks
2023-06-01,winter_campaign_2023,PRD00067,938.68,9643,129
2023-06-02,winter_campaign_2023,PRD00494,1412.48,45894,608
2023-06-03,winter_campaign_2023,PRD01431,1645.28,85527,564
2023-06-04,winter_campaign_2023,PRD01494,2808.85,81001,140
2023-06-05,winter_campaign_2023,PRD00849,257.19,89175,186
2023-06-06,winter_campaign_2023,PRD00626,1693.38,41588,32
2023-06-07,winter_campaign_2023,PRD01598,840.46,79461,360
2023-06-08,winter_campaign_2023,PRD00610,1083.26,36650,831
2023-06-09,winter_campaign_2023,PRD01817,960.46,31266,775
2023-06-10,winter_campaign_2023,PRD01425,2123.36,69088,638
2023-06-11,winter_campaign_2023,PRD00205,4138.56,31992,263
2023-06-12,winter_campaign_2023,PRD01560,2240.81,84331,743
2023-06-13,winter_campaign_2023,PRD01644,1415.72,39992,681
2023-06-14,winter_campaign_2023,PRD01437,3438.5,35984,40
2023-06-15,winter_campaign_2023,PRD01548,4274.57,64763,645
2023-06-16,winter_campaign_2023,PRD01238,4960.86,61661,774
2023-06-17,winter_campaign_2023,PRD00788,1597.99,74690,180
2023-06-18,winter_campaign_2023,PRD00509,4625.47,79248,778
2023-06-19,winter_campaign_2023,PRD00615,3496.79,6940,52
2023-06-20,winter_campaign_2023,PRD01370,3700.81,25580,271
2023-06-21,winter_campaign_2023,PRD01613,3999.32,43972,228
2023-06-22,winter_campaign_2023,PRD00615,1133.6,72643,755
2023-06-23,winter_campaign_2023,PRD01993,4105.02,38910,417
2023-06-24,winter_campaign_2023,PRD01477,3737.83,71049,929
2023-06-25,winter_campaign_2023,PRD00329,2169.65,11167,814
2023-06-26,winter_campaign_2023,PRD01243,431.56,3035,377
2023-06-27,winter_campaign_2023,PRD01810,2866.25,14681,737
2023-06-28,winter_campaign_2023,PRD01415,2923.97,32818,191
2023-06-29,winter_campaign_2023,PRD01581,2854.65,76396,293
2023-06-30,winter_campaign_2023,PRD00049,1946.52,9458,940
2023-07-01,winter_campaign_2023,PRD00898,2290.43,16247,697
2023-07-02,winter_campaign_2023,PRD01569,3129.51,40179,226
2023-07-03,winter_campaign_2023,PRD01979,237.37,19443,411
2023-07-04,winter_campaign_2023,PRD00207,2202.3,20330,197
2023-07-05,winter_campaign_2023,PRD01554,2009.02,73586,852
2023-07-06,winter_campaign_2023,PRD01561,4105.87,90250,321
2023-07-07,winter_campaign_2023,PRD00828,4350.78,38252,931
2023-07-08,winter_campaign_2023,PRD01989,1508.85,55525,25
2023-07-09,winter_campaign_2023,PRD01952,641.59,88703,126
2023-07-10,winter_campaign_2023,PRD01744,2227.62,76961,345
2023-07-11,winter_campaign_2023,PRD01187,1063.29,61531,81
2023-07-12,winter_campaign_2023,PRD01208,3444.07,99033,551
2023-07-13,winter_campaign_2023,PRD00604,3581.97,11635,307
2023-07-14,winter_campaign_2023,PRD00147,3909.85,27242,605
2023-07-15,winter_campaign_2023,PRD00298,2926.75,92949,731
2023-07-16,winter_campaign_2023,PRD01867,726.39,65806,411
2023-07-17,winter_campaign_2023,PRD01557,576.66,79366,544
2023-07-18,winter_campaign_2023,PRD01834,2958.21,82265,486
2023-07-19,winter_campaign_2023,PRD00033,3230.19,31039,229
2023-07-20,winter_campaign_2023,PRD01986,249.86,11425,846
2023-07-21,winter_campaign_2023,PRD01012,232.61,90910,575
2023-07-22,winter_campaign_2023,PRD01036,4854.46,56476,468
2023-07-23,winter_campaign_2023,PRD01852,1063.91,6584,524
2023-07-24,winter_campaign_2023,PRD01505,4684.19,97384,406
2023-07-25,winter_campaign_2023,PRD00595,4725.34,25449,308
2023-07-26,winter_campaign_2023,PRD00157,2045.83,86036,781
2023-07-27,winter_campaign_2023,PRD01806,4818.7,48956,247
2023-07-28,winter_campaign_2023,PRD01983,2176.66,70646,115
2023-07-29,winter_campaign_2023,PRD00563,4789.73,57114,522
2023-07-30,winter_campaign_2023,PRD00815,3908.77,94107,963
2023-07-31,winter_campaign_2023,PRD00573,1241.55,29725,240
2023-08-01,winter_campaign_2023,PRD01629,2280.0,91339,720
2023-08-02,winter_campaign_2023,PRD00293,3587.46,75451,882
2023-08-03,winter_campaign_2023,PRD00691,2704.92,78425,898
2023-08-04,winter_campaign_2023,PRD00457,2105.13,42221,513
2023-08-05,winter_campaign_2023,PRD00307,1334.37,63654,162
2023-08-06,winter_campaign_2023,PRD01122,1151.85,98887,382
2023-08-07,winter_campaign_2023,PRD00710,2669.15,93237,964
2023-08-08,winter_campaign_2023,PRD00615,2314.72,28368,563
2023-08-09,winter_campaign_2023,PRD01261,4055.39,62050,271
2023-08-10,winter_campaign_2023,PRD01523,579.45,99089,188
2023-08-11,winter_campaign_2023,PRD01603,3718.87,34173,136
2023-08-12,winter_campaign_2023,PRD01934,677.79,25481,731
2023-08-13,winter_campaign_2023,PRD01363,4225.15,27803,369
2023-08-14,winter_campaign_2023,PRD00991,3378.04,60106,228
2023-08-15,winter_campaign_2023,PRD01796,1539.9,21749,826
2023-08-16,winter_campaign_2023,PRD01302,1754.88,78638,691
2023-08-17,winter_campaign_2023,PRD01796,1734.46,73123,615
2023-08-18,winter_campaign_2023,PRD00649,432.62,92215,452
2023-08-19,winter_campaign_2023,PRD01066,4784.41,24559,382
2023-08-20,winter_campaign_2023,PRD00024,2702.03,86643,685
2023-08-21,winter_campaign_2023,PRD00663,775.67,84223,68
2023-08-22,winter_campaign_2023,PRD01156,1062.29,77768,120
2023-08-23,winter_campaign_2023,PRD00033,290.02,19226,499
2023-08-24,winter_campaign_2023,PRD01617,2602.03,26410,264
2023-08-25,winter_campaign_2023,PRD00806,2001.42,73334,585
2023-08-26,winter_campaign_2023,PRD00653,2316.25,14764,196
2023-08-27,winter_campaign_2023,PRD00703,4148.38,29977,642
2023-08-28,winter_campaign_2023,PRD00099,1506.21,22208,945
2023-08-29,winter_campaign_2023,PRD00830,3611.35,67074,998
2023-08-30,winter_campaign_2023,PRD01770,1756.97,9733,497
2023-08-31,winter_campaign_2023,PRD01388,241.36,4210,537
