Date,Year,FY,Quarter,Month,MonthName,MonthYear,DayOfWeek,DayOfMonth,IsWeekend,IsEOFY
2022-01-01,2022,FY2022,Q1,1,January,Jan-2022,Saturday,1,1,0
2022-01-02,2022,FY2022,Q1,1,January,Jan-2022,Sunday,2,1,0
2022-01-03,2022,FY2022,Q1,1,January,Jan-2022,Monday,3,0,0
2022-01-04,2022,FY2022,Q1,1,January,Jan-2022,Tuesday,4,0,0
2022-01-05,2022,FY2022,Q1,1,January,Jan-2022,Wednesday,5,0,0
2022-01-06,2022,FY2022,Q1,1,January,Jan-2022,Thursday,6,0,0
2022-01-07,2022,FY2022,Q1,1,January,Jan-2022,Friday,7,0,0
2022-01-08,2022,FY2022,Q1,1,January,Jan-2022,Saturday,8,1,0
2022-01-09,2022,FY2022,Q1,1,January,Jan-2022,Sunday,9,1,0
2022-01-10,2022,FY2022,Q1,1,January,Jan-2022,Monday,10,0,0
2022-01-11,2022,FY2022,Q1,1,January,Jan-2022,Tuesday,11,0,0
2022-01-12,2022,FY2022,Q1,1,January,Jan-2022,Wednesday,12,0,0
2022-01-13,2022,FY2022,Q1,1,January,Jan-2022,Thursday,13,0,0
2022-01-14,2022,FY2022,Q1,1,January,Jan-2022,Friday,14,0,0
2022-01-15,2022,FY2022,Q1,1,January,Jan-2022,Saturday,15,1,0
2022-01-16,2022,FY2022,Q1,1,January,Jan-2022,Sunday,16,1,0
2022-01-17,2022,FY2022,Q1,1,January,Jan-2022,Monday,17,0,0
2022-01-18,2022,FY2022,Q1,1,January,Jan-2022,Tuesday,18,0,0
2022-01-19,2022,FY2022,Q1,1,January,Jan-2022,Wednesday,19,0,0
2022-01-20,2022,FY2022,Q1,1,January,Jan-2022,Thursday,20,0,0
2022-01-21,2022,FY2022,Q1,1,January,Jan-2022,Friday,21,0,0
2022-01-22,2022,FY2022,Q1,1,January,Jan-2022,Saturday,22,1,0
2022-01-23,2022,FY2022,Q1,1,January,Jan-2022,Sunday,23,1,0
2022-01-24,2022,FY2022,Q1,1,January,Jan-2022,Monday,24,0,0
2022-01-25,2022,FY2022,Q1,1,January,Jan-2022,Tuesday,25,0,0
2022-01-26,2022,FY2022,Q1,1,January,Jan-2022,Wednesday,26,0,0
2022-01-27,2022,FY2022,Q1,1,January,Jan-2022,Thursday,27,0,0
2022-01-28,2022,FY2022,Q1,1,January,Jan-2022,Friday,28,0,0
2022-01-29,2022,FY2022,Q1,1,January,Jan-2022,Saturday,29,1,0
2022-01-30,2022,FY2022,Q1,1,January,Jan-2022,Sunday,30,1,0
2022-01-31,2022,FY2022,Q1,1,January,Jan-2022,Monday,31,0,0
2022-02-01,2022,FY2022,Q1,2,February,Feb-2022,Tuesday,1,0,0
2022-02-02,2022,FY2022,Q1,2,February,Feb-2022,Wednesday,2,0,0
2022-02-03,2022,FY2022,Q1,2,February,Feb-2022,Thursday,3,0,0
2022-02-04,2022,FY2022,Q1,2,February,Feb-2022,Friday,4,0,0
2022-02-05,2022,FY2022,Q1,2,February,Feb-2022,Saturday,5,1,0
2022-02-06,2022,FY2022,Q1,2,February,Feb-2022,Sunday,6,1,0
2022-02-07,2022,FY2022,Q1,2,February,Feb-2022,Monday,7,0,0
2022-02-08,2022,FY2022,Q1,2,February,Feb-2022,Tuesday,8,0,0
2022-02-09,2022,FY2022,Q1,2,February,Feb-2022,Wednesday,9,0,0
2022-02-10,2022,FY2022,Q1,2,February,Feb-2022,Thursday,10,0,0
2022-02-11,2022,FY2022,Q1,2,February,Feb-2022,Friday,11,0,0
2022-02-12,2022,FY2022,Q1,2,February,Feb-2022,Saturday,12,1,0
2022-02-13,2022,FY2022,Q1,2,February,Feb-2022,Sunday,13,1,0
2022-02-14,2022,FY2022,Q1,2,February,Feb-2022,Monday,14,0,0
2022-02-15,2022,FY2022,Q1,2,February,Feb-2022,Tuesday,15,0,0
2022-02-16,2022,FY2022,Q1,2,February,Feb-2022,Wednesday,16,0,0
2022-02-17,2022,FY2022,Q1,2,February,Feb-2022,Thursday,17,0,0
2022-02-18,2022,FY2022,Q1,2,February,Feb-2022,Friday,18,0,0
2022-02-19,2022,FY2022,Q1,2,February,Feb-2022,Saturday,19,1,0
2022-02-20,2022,FY2022,Q1,2,February,Feb-2022,Sunday,20,1,0
2022-02-21,2022,FY2022,Q1,2,February,Feb-2022,Monday,21,0,0
2022-02-22,2022,FY2022,Q1,2,February,Feb-2022,Tuesday,22,0,0
2022-02-23,2022,FY2022,Q1,2,February,Feb-2022,Wednesday,23,0,0
2022-02-24,2022,FY2022,Q1,2,February,Feb-2022,Thursday,24,0,0
2022-02-25,2022,FY2022,Q1,2,February,Feb-2022,Friday,25,0,0
2022-02-26,2022,FY2022,Q1,2,February,Feb-2022,Saturday,26,1,0
2022-02-27,2022,FY2022,Q1,2,February,Feb-2022,Sunday,27,1,0
2022-02-28,2022,FY2022,Q1,2,February,Feb-2022,Monday,28,0,0
2022-03-01,2022,FY2022,Q1,3,March,Mar-2022,Tuesday,1,0,0
2022-03-02,2022,FY2022,Q1,3,March,Mar-2022,Wednesday,2,0,0
2022-03-03,2022,FY2022,Q1,3,March,Mar-2022,Thursday,3,0,0
2022-03-04,2022,FY2022,Q1,3,March,Mar-2022,Friday,4,0,0
2022-03-05,2022,FY2022,Q1,3,March,Mar-2022,Saturday,5,1,0
2022-03-06,2022,FY2022,Q1,3,March,Mar-2022,Sunday,6,1,0
2022-03-07,2022,FY2022,Q1,3,March,Mar-2022,Monday,7,0,0
2022-03-08,2022,FY2022,Q1,3,March,Mar-2022,Tuesday,8,0,0
2022-03-09,2022,FY2022,Q1,3,March,Mar-2022,Wednesday,9,0,0
2022-03-10,2022,FY2022,Q1,3,March,Mar-2022,Thursday,10,0,0
2022-03-11,2022,FY2022,Q1,3,March,Mar-2022,Friday,11,0,0
2022-03-12,2022,FY2022,Q1,3,March,Mar-2022,Saturday,12,1,0
2022-03-13,2022,FY2022,Q1,3,March,Mar-2022,Sunday,13,1,0
2022-03-14,2022,FY2022,Q1,3,March,Mar-2022,Monday,14,0,0
2022-03-15,2022,FY2022,Q1,3,March,Mar-2022,Tuesday,15,0,0
2022-03-16,2022,FY2022,Q1,3,March,Mar-2022,Wednesday,16,0,0
2022-03-17,2022,FY2022,Q1,3,March,Mar-2022,Thursday,17,0,0
2022-03-18,2022,FY2022,Q1,3,March,Mar-2022,Friday,18,0,0
2022-03-19,2022,FY2022,Q1,3,March,Mar-2022,Saturday,19,1,0
2022-03-20,2022,FY2022,Q1,3,March,Mar-2022,Sunday,20,1,0
2022-03-21,2022,FY2022,Q1,3,March,Mar-2022,Monday,21,0,0
