ProductID,ProductName,Category,Subcategory,Supplier,UnitCost,Brand,PackSize
PRD00001,Fresh Nostrum,Fresh Produce,Fruits,"Joyce, Wilson and Lam",0.66,Budget Brand,6-pack
PRD00002,Premium Eaque,Fresh Produce,Fruits,Williams-Graham,45.68,Budget Brand,6-pack
PRD00003,Organic Quasi,Fresh Produce,Fruits,"Mcdaniel, Bentley and Mclaughlin",19.01,FreshMarket Own,Bulk
PRD00004,Premium Eius,Fresh Produce,Vegetables,Reynolds-Rush,16.55,FreshMarket Own,Single
PRD00005,Fresh Iure,Fresh Produce,Salads,"Edwards, Charles and Cortez",12.35,FreshMarket Own,Bulk
PRD00006,Organic In,Fresh Produce,Vegetables,"Parker, Ortiz and Powell",36.73,FreshMarket Own,Bulk
PRD00007,Organic Impedit,Fresh Produce,Fruits,"Martinez, Fisher and Bentley",33.16,Budget Brand,2-pack
PRD00008,Premium Veritatis,Fresh Produce,Salads,"Orr, Gilbert and Turner",43.69,Premium Brand,2-pack
PRD00009,Premium Quo,Fresh Produce,Fruits,Torres and Sons,15.93,Budget Brand,6-pack
PRD00010,Premium Non,Fresh Produce,Herbs,"Lawson, Morris and Ramos",22.85,FreshMarket Own,2-pack
PRD00011,Fresh Veniam,Fresh Produce,Vegetables,Dixon Ltd,1.54,Budget Brand,2-pack
PRD00012,Organic Dolores,Fresh Produce,Fruits,"Miller, Robertson and Schultz",4.01,Budget Brand,Single
PRD00013,Organic Iusto,Fresh Produce,Fruits,Cardenas and Sons,45.32,Premium Brand,Single
PRD00014,Fresh Veniam,Fresh Produce,Fruits,Walker-Gonzalez,33.61,FreshMarket Own,Bulk
PRD00015,Premium Alias,Fresh Produce,Fruits,Sanchez Group,46.81,Budget Brand,Bulk
PRD00016,Organic Similique,Fresh Produce,Herbs,Gibson Ltd,39.34,Premium Brand,2-pack
PRD00017,Organic Repellat,Fresh Produce,Vegetables,Higgins Group,33.12,Premium Brand,12-pack
PRD00018,Fresh Possimus,Fresh Produce,Herbs,Sanchez-Douglas,43.26,FreshMarket Own,Single
PRD00019,Fresh Ab,Fresh Produce,Vegetables,Osborne and Sons,36.55,FreshMarket Own,2-pack
PRD00020,Organic Dolorum,Fresh Produce,Fruits,"Holmes, Williams and Wright",27.05,FreshMarket Own,12-pack
PRD00021,Fresh Cupiditate,Fresh Produce,Fruits,Anderson-Marshall,23.4,FreshMarket Own,12-pack
PRD00022,Organic Quia,Fresh Produce,Vegetables,"Larson, Dodson and Vance",32.78,Budget Brand,Single
PRD00023,Organic Similique,Fresh Produce,Vegetables,"Mcclain, Simmons and Meadows",8.73,Premium Brand,12-pack
PRD00024,Fresh Occaecati,Fresh Produce,Fruits,Manning Group,45.17,FreshMarket Own,12-pack
PRD00025,Fresh Odio,Fresh Produce,Vegetables,Walton-Larsen,13.63,Premium Brand,6-pack
PRD00026,Premium Harum,Fresh Produce,Herbs,"Washington, Allen and Gonzales",47.89,Budget Brand,12-pack
PRD00027,Organic Illo,Fresh Produce,Fruits,Nelson LLC,15.19,FreshMarket Own,Bulk
PRD00028,Premium Quis,Fresh Produce,Vegetables,Taylor and Sons,16.02,FreshMarket Own,Bulk
PRD00029,Premium Molestiae,Fresh Produce,Herbs,"Hernandez, Lewis and Perry",46.01,Budget Brand,2-pack
PRD00030,Premium Iure,Fresh Produce,Vegetables,"Owens, Brown and Wall",4.47,FreshMarket Own,Single
PRD00031,Premium Molestias,Fresh Produce,Vegetables,"Shah, Smith and Gilmore",43.16,Premium Brand,Single
PRD00032,Premium Repellat,Fresh Produce,Fruits,Woods-Bender,29.93,Budget Brand,Single
PRD00033,Premium In,Fresh Produce,Herbs,Castaneda-Ashley,29.39,Budget Brand,6-pack
PRD00034,Organic Nihil,Fresh Produce,Salads,"Adkins, Payne and Morrison",33.65,Premium Brand,2-pack
PRD00035,Fresh Est,Fresh Produce,Salads,Robinson-Graham,6.98,Budget Brand,6-pack
PRD00036,Fresh Aliquam,Fresh Produce,Herbs,Rogers-Shelton,46.49,FreshMarket Own,Single
PRD00037,Premium Necessitatibus,Fresh Produce,Herbs,"Martin, Mcdonald and Anderson",49.92,FreshMarket Own,Single
PRD00038,Premium Soluta,Fresh Produce,Fruits,"Johnson, Long and Elliott",13.63,Premium Brand,Single
PRD00039,Fresh Alias,Fresh Produce,Fruits,Day and Sons,14.61,Premium Brand,Bulk
PRD00040,Premium Officiis,Fresh Produce,Salads,Williams Group,49.2,Budget Brand,Bulk
PRD00041,Premium Itaque,Fresh Produce,Vegetables,Gibson LLC,40.95,Premium Brand,Single
PRD00042,Fresh Modi,Fresh Produce,Fruits,Walton-Decker,6.21,FreshMarket Own,Bulk
PRD00043,Fresh Explicabo,Fresh Produce,Fruits,Ruiz Ltd,14.45,FreshMarket Own,6-pack
PRD00044,Premium Quis,Fresh Produce,Fruits,Cooke LLC,31.89,Premium Brand,Bulk
PRD00045,Fresh Et,Fresh Produce,Herbs,"Jones, Bernard and Williams",45.31,FreshMarket Own,Single
PRD00046,Fresh Aliquam,Fresh Produce,Herbs,Gonzalez Inc,2.68,Premium Brand,2-pack
PRD00047,Organic Soluta,Fresh Produce,Salads,Allen Group,37.19,Budget Brand,12-pack
PRD00048,Organic Velit,Fresh Produce,Vegetables,Elliott and Sons,4.22,Budget Brand,2-pack
PRD00049,Fresh Omnis,Fresh Produce,Vegetables,"Scott, Wood and Obrien",29.33,FreshMarket Own,12-pack
PRD00050,Organic Cum,Fresh Produce,Fruits,Oconnell Inc,15.76,FreshMarket Own,6-pack
PRD00051,Premium Repellendus,Fresh Produce,Fruits,Hickman PLC,12.85,FreshMarket Own,6-pack
PRD00052,Premium Veritatis,Fresh Produce,Herbs,Sanders-Espinoza,37.6,FreshMarket Own,2-pack
PRD00053,Fresh Autem,Fresh Produce,Fruits,"Vaughn, Burton and Garcia",1.73,Budget Brand,6-pack
PRD00054,Premium Incidunt,Fresh Produce,Herbs,"Burke, Martinez and Riggs",43.27,FreshMarket Own,6-pack
PRD00055,Premium Animi,Fresh Produce,Fruits,Patel-Stanley,5.85,FreshMarket Own,12-pack
PRD00056,Organic Atque,Fresh Produce,Fruits,"Holland, Smith and Fisher",40.92,Premium Brand,6-pack
PRD00057,Organic Porro,Fresh Produce,Salads,Hamilton LLC,11.53,Budget Brand,2-pack
PRD00058,Fresh Tempora,Fresh Produce,Herbs,Zimmerman-Graham,14.29,FreshMarket Own,6-pack
PRD00059,Premium Quasi,Fresh Produce,Salads,"Nelson, Morton and Medina",25.72,Budget Brand,Bulk
PRD00060,Organic Perspiciatis,Fresh Produce,Salads,Graham-Simon,6.21,Premium Brand,2-pack
PRD00061,Organic Fugiat,Fresh Produce,Salads,Christian-Rivas,5.87,Premium Brand,6-pack
PRD00062,Fresh Commodi,Fresh Produce,Salads,Keith-Sanchez,30.51,Budget Brand,Single
PRD00063,Premium Officiis,Fresh Produce,Herbs,"Bishop, Gray and Johnson",9.91,FreshMarket Own,12-pack
PRD00064,Premium Itaque,Fresh Produce,Vegetables,Freeman LLC,46.32,Budget Brand,2-pack
PRD00065,Fresh Facilis,Fresh Produce,Salads,Ramirez-Carlson,3.96,Budget Brand,6-pack
PRD00066,Premium Harum,Fresh Produce,Salads,"Smith, Vaughan and Miller",42.48,Budget Brand,6-pack
PRD00067,Premium Nemo,Fresh Produce,Salads,Peters-Allen,20.72,Premium Brand,6-pack
