campaign_date,Campaign_Name,PRODUCT_ID,spend,impressions,Clicks
2024-03-01,autumn_campaign_2024,PRD00679,2961.31,58209,908
2024-03-02,autumn_campaign_2024,PRD01567,883.05,83001,218
2024-03-03,autumn_campaign_2024,PRD01234,3750.56,65795,277
2024-03-04,autumn_campaign_2024,PRD01409,831.29,74694,576
2024-03-05,autumn_campaign_2024,PRD01102,4916.82,93118,357
2024-03-06,autumn_campaign_2024,PRD01398,2951.97,88157,443
2024-03-07,autumn_campaign_2024,PRD00111,3232.57,28222,357
2024-03-08,autumn_campaign_2024,PRD00886,2037.42,2742,609
2024-03-09,autumn_campaign_2024,PRD00346,853.98,52162,528
2024-03-10,autumn_campaign_2024,PRD01403,3160.84,58563,403
2024-03-11,autumn_campaign_2024,PRD01636,4510.38,67357,395
2024-03-12,autumn_campaign_2024,PRD01917,4417.41,96072,900
2024-03-13,autumn_campaign_2024,PRD00305,4659.77,17224,397
2024-03-14,autumn_campaign_2024,PRD01748,3119.27,53758,469
2024-03-15,autumn_campaign_2024,PRD00856,1853.95,87350,754
2024-03-16,autumn_campaign_2024,PRD00621,2156.11,61762,113
2024-03-17,autumn_campaign_2024,PRD00022,4856.89,67225,623
2024-03-18,autumn_campaign_2024,PRD00022,588.87,12930,593
2024-03-19,autumn_campaign_2024,PRD00033,794.51,19584,912
2024-03-20,autumn_campaign_2024,PRD00629,4257.67,67705,67
2024-03-21,autumn_campaign_2024,PRD01274,1203.73,63880,598
2024-03-22,autumn_campaign_2024,PRD01505,901.53,32054,510
2024-03-23,autumn_campaign_2024,PRD01195,4324.94,11524,937
2024-03-24,autumn_campaign_2024,PRD00868,4312.34,89357,677
2024-03-25,autumn_campaign_2024,PRD01727,448.59,58491,266
2024-03-26,autumn_campaign_2024,PRD01379,2724.76,84112,50
2024-03-27,autumn_campaign_2024,PRD01850,3766.2,91527,947
2024-03-28,autumn_campaign_2024,PRD00370,4995.51,22185,263
