campaign_date,Campaign_Name,PRODUCT_ID,spend,impressions,Clicks
2023-09-01,spring_campaign_2023,PRD01107,2780.72,75275,589
2023-09-02,spring_campaign_2023,PRD00816,1495.9,44316,617
2023-09-03,spring_campaign_2023,PRD00148,921.6,44994,683
2023-09-04,spring_campaign_2023,PRD01089,3600.39,23437,945
2023-09-05,spring_campaign_2023,PRD00522,1918.11,95064,841
2023-09-06,spring_campaign_2023,PRD01801,221.84,98584,205
2023-09-07,spring_campaign_2023,PRD01309,3050.56,18100,366
2023-09-08,spring_campaign_2023,PRD00494,2418.55,12490,61
2023-09-09,spring_campaign_2023,PRD01573,1241.52,87193,56
2023-09-10,spring_campaign_2023,PRD01845,3756.08,53832,436
2023-09-11,spring_campaign_2023,PRD01977,4066.0,97724,76
2023-09-12,spring_campaign_2023,PRD01350,3800.57,73871,68
2023-09-13,spring_campaign_2023,PRD00652,3564.22,18961,371
2023-09-14,spring_campaign_2023,PRD00953,2644.23,73313,69
2023-09-15,spring_campaign_2023,PRD01824,1887.96,39678,588
2023-09-16,spring_campaign_2023,PRD01650,1889.18,65803,584
2023-09-17,spring_campaign_2023,PRD01502,2910.41,81677,98
2023-09-18,spring_campaign_2023,PRD01827,4703.58,9122,84
2023-09-19,spring_campaign_2023,PRD01289,4125.34,54278,781
2023-09-20,spring_campaign_2023,PRD01134,4013.76,75373,411
2023-09-21,spring_campaign_2023,PRD00923,1566.51,88797,965
2023-09-22,spring_campaign_2023,PRD00088,2986.11,52594,263
2023-09-23,spring_campaign_2023,PRD01238,2342.15,33117,58
2023-09-24,spring_campaign_2023,PRD00159,4935.21,92303,744
2023-09-25,spring_campaign_2023,PRD00784,4556.28,4826,817
2023-09-26,spring_campaign_2023,PRD01544,2685.28,1380,540
2023-09-27,spring_campaign_2023,PRD00587,1280.29,73936,931
2023-09-28,spring_campaign_2023,PRD01649,1530.2,6257,61
2023-09-29,spring_campaign_2023,PRD00022,3604.61,17977,339
2023-09-30,spring_campaign_2023,PRD01720,2335.49,15555,970
2023-10-01,spring_campaign_2023,PRD00009,4680.33,21476,266
2023-10-02,spring_campaign_2023,PRD01586,2370.72,90453,761
2023-10-03,spring_campaign_2023,PRD00711,1331.58,48104,683
2023-10-04,spring_campaign_2023,PRD01894,3437.9,71756,852
2023-10-05,spring_campaign_2023,PRD01352,3518.87,27047,834
2023-10-06,spring_campaign_2023,PRD01106,498.16,5514,533
2023-10-07,spring_campaign_2023,PRD00890,236.21,77175,901
2023-10-08,spring_campaign_2023,PRD01847,530.74,45137,806
2023-10-09,spring_campaign_2023,PRD01761,2021.5,75007,306
2023-10-10,spring_campaign_2023,PRD01214,130.69,32978,719
2023-10-11,spring_campaign_2023,PRD00754,2529.9,51062,789
2023-10-12,spring_campaign_2023,PRD01039,1655.34,87762,985
2023-10-13,spring_campaign_2023,PRD00999,3663.57,30811,408
2023-10-14,spring_campaign_2023,PRD00129,4008.57,1885,556
2023-10-15,spring_campaign_2023,PRD01266,667.28,40708,346
2023-10-16,spring_campaign_2023,PRD01478,170.86,48038,531
2023-10-17,spring_campaign_2023,PRD01293,2838.36,83744,573
2023-10-18,spring_campaign_2023,PRD01982,1332.07,88212,329
2023-10-19,spring_campaign_2023,PRD00694,4714.03,71859,893
2023-10-20,spring_campaign_2023,PRD01554,1269.83,79187,517
2023-10-21,spring_campaign_2023,PRD01619,1545.4,73257,546
2023-10-22,spring_campaign_2023,PRD01616,3229.35,13994,212
2023-10-23,spring_campaign_2023,PRD00721,4034.34,4436,197
2023-10-24,spring_campaign_2023,PRD00421,3990.36,62771,787
2023-10-25,spring_campaign_2023,PRD01753,1157.85,1216,720
2023-10-26,spring_campaign_2023,PRD01670,2122.65,15240,730
2023-10-27,spring_campaign_2023,PRD01350,1840.8,91433,708
2023-10-28,spring_campaign_2023,PRD01474,2857.93,92213,243
2023-10-29,spring_campaign_2023,PRD00358,2586.85,30071,672
2023-10-30,spring_campaign_2023,PRD00561,4313.2,11195,194
2023-10-31,spring_campaign_2023,PRD01585,526.88,41735,784
2023-11-01,spring_campaign_2023,PRD01822,3868.49,33809,227
2023-11-02,spring_campaign_2023,PRD01078,3991.89,35429,87
2023-11-03,spring_campaign_2023,PRD01173,1955.95,33453,776
2023-11-04,spring_campaign_2023,PRD01791,4096.01,64791,783
2023-11-05,spring_campaign_2023,PRD00302,1139.17,82217,789
2023-11-06,spring_campaign_2023,PRD01687,3045.61,4818,651
2023-11-07,spring_campaign_2023,PRD00783,982.0,86212,446
2023-11-08,spring_campaign_2023,PRD00065,829.61,75762,803
2023-11-09,spring_campaign_2023,PRD00749,382.88,17071,294
2023-11-10,spring_campaign_2023,PRD01536,319.4,42307,335
2023-11-11,spring_campaign_2023,PRD01408,1537.45,46956,888
2023-11-12,spring_campaign_2023,PRD01059,2322.5,9048,448
2023-11-13,spring_campaign_2023,PRD00685,561.39,68359,325
2023-11-14,spring_campaign_2023,PRD00901,3673.34,70364,420
2023-11-15,spring_campaign_2023,PRD01653,1365.54,34311,619
2023-11-16,spring_campaign_2023,PRD00790,3392.13,10336,212
2023-11-17,spring_campaign_2023,PRD01342,2774.18,85062,176
2023-11-18,spring_campaign_2023,PRD01699,2359.17,43391,154
2023-11-19,spring_campaign_2023,PRD00149,1422.52,60847,379
2023-11-20,spring_campaign_2023,PRD00276,3654.57,7383,391
2023-11-21,spring_campaign_2023,PRD00955,599.14,12652,459
2023-11-22,spring_campaign_2023,PRD01430,246.9,17133,984
2023-11-23,spring_campaign_2023,PRD01851,4826.03,25001,664
2023-11-24,spring_campaign_2023,PRD00266,1281.3,73916,682
2023-11-25,spring_campaign_2023,PRD01810,620.43,33354,860
2023-11-26,spring_campaign_2023,PRD01648,4780.56,72571,566
2023-11-27,spring_campaign_2023,PRD01342,1705.87,67117,922
2023-11-28,spring_campaign_2023,PRD01279,530.3,52407,238
2023-11-29,spring_campaign_2023,PRD01722,1912.46,89329,448
2023-11-30,spring_campaign_2023,PRD01767,1677.94,86567,382
