sale_date,daily_online_millions,daily_total_millions,online_30day_avg,daily_online_percent,online_penetration_30day_avg
31/12/2024,5.61150207,37.39039588,5.66,15,15.9
30/12/2024,5.71854669,37.5614836,5.66,15.2,15.9
29/12/2024,5.97390824,31.67236353,5.6,18.9,15.9
28/12/2024,5.79784664,31.09554023,5.53,18.6,15.8
27/12/2024,5.62304531,35.2212423,5.48,16,15.7
26/12/2024,5.35658659,37.27002955,5.42,14.4,15.7
25/12/2024,5.57669957,36.81831437,5.38,15.1,15.8
24/12/2024,5.99055358,36.74229229,5.31,16.3,15.8
23/12/2024,5.79717961,39.00883352,5.25,14.9,15.7
22/12/2024,5.25398799,33.48060946,5.2,15.7,15.6
21/12/2024,6.08055995,32.14306404,5.14,18.9,15.5
20/12/2024,5.23046033,35.80385734,5.08,14.6,15.5
19/12/2024,5.34577459,37.08188934,5.04,14.4,15.5
18/12/2024,5.40245904,34.76928108,4.99,15.5,15.5
17/12/2024,5.92615252,35.85249188,4.94,16.5,15.5
16/12/2024,5.3129489,39.92079862,4.86,13.3,15.3
15/12/2024,5.94586412,31.81838929,4.82,18.7,15.3
14/12/2024,5.29900925,32.27986347,4.77,16.4,15.2
13/12/2024,5.32240618,35.33749745,4.72,15.1,15.2
12/12/2024,5.59976645,34.83095418,4.68,16.1,15.2
11/12/2024,5.41389479,38.69746114,4.63,14,15.2
10/12/2024,6.06495395,35.91101841,4.59,16.9,15.3
9/12/2024,5.63792404,38.99316342,4.52,14.5,15.1
8/12/2024,5.30920606,33.80760156,4.47,15.7,15
7/12/2024,5.44529371,31.2687606,4.41,17.4,15
6/12/2024,6.07929708,38.08181211,4.37,16,15
5/12/2024,6.05870158,37.66736446,4.3,16.1,15
4/12/2024,6.03778312,35.92732327,4.23,16.8,14.9
3/12/2024,5.66195131,39.02786851,4.16,14.5,14.9
2/12/2024,6.02765308,38.39901749,4.1,15.7,14.8
