store_name,suburb,manager_name,postcode
AusRetail Melbourne CBD,Melbourne,Jessica Adams,3000
AusRetail Chadstone,Chadstone,Ryan Cooper,3148
AusRetail Southland,Cheltenham,Olivia Turner,3192
AusRetail Highpoint,Maribyrnong,Matthew Clarke,3032
AusRetail Doncaster,Doncaster,Emma Watson,3108
AusRetail Geelong,Geelong,Benjamin Hall,3220
AusRetail Ballarat,Ballarat,Charlotte Young,3350
AusRetail Bendigo,Bendigo,Joshua Allen,3550
AusRetail Frankston,Frankston,Mia Robinson,3199
AusRetail Dandenong,Dandenong,Jacob Walker,3175
AusRetail Werribee,Werribee,Ella Mitchell,3030
AusRetail Box Hill,Box Hill,William Baker,3128
AusRetail Fountain Gate,Narre Warren,Ava Campbell,3805
AusRetail Northland,Preston,Noah Phillips,3072
AusRetail Eastland,Ringwood,Grace Evans,3134
AusRetail Knox,Wantirna South,Liam Stewart,3152
AusRetail Watergardens,Taylors Lakes,Zoe Morris,3038
AusRetail Glen Waverley,Glen Waverley,Ethan Rogers,3150
