sale_date,sale_year,month_number,month_name,quarter_number,quarter_label,weekday_number,weekday_name,revenue_millions
31/12/2024,2024,12,December,4,Q4,3,Tuesday,39.30859586
30/12/2024,2024,12,December,4,Q4,2,Monday,35.52610922
29/12/2024,2024,12,December,4,Q4,1,Sunday,32.11993963
28/12/2024,2024,12,December,4,Q4,7,Saturday,33.72381236
27/12/2024,2024,12,December,4,Q4,6,Friday,36.9004301
26/12/2024,2024,12,December,4,Q4,5,Thursday,37.72641197
25/12/2024,2024,12,December,4,Q4,4,Wednesday,36.94548658
24/12/2024,2024,12,December,4,Q4,3,Tuesday,35.06994942
23/12/2024,2024,12,December,4,Q4,2,Monday,39.19945415
22/12/2024,2024,12,December,4,Q4,1,Sunday,32.89293157
