sale_year,sale_month,month_name,revenue_millions,transactions_millions,avg_basket,online_revenue_millions,prev_month_revenue,mom_growth_percent,same_month_last_year,yoy_growth_percent,online_penetration_percent
2024,1,January,842.356721,25,34.770322,122.863356,NULL,NULL,NULL,NULL,14.6
2024,2,February,796.669621,24,35.536896,114.739698,842.356721,-5.42,NULL,NULL,14.4
2024,3,March,856.633731,26,34.881935,123.435926,796.669621,7.53,NULL,NULL,14.4
2024,4,April,808.152702,25,35.323,119.017299,856.633731,-5.66,NULL,NULL,14.7
2024,5,May,849.522815,25,35.330322,124.067819,808.152702,5.12,NULL,NULL,14.6
2024,6,June,831.945695,25,34.973333,118.837189,849.522815,-2.07,NULL,NULL,14.3
2024,7,July,832.645896,25,35.435483,124.162496,831.945695,0.08,NULL,NULL,14.9
2024,8,August,847.510362,26,34.749677,122.906604,832.645896,1.79,NULL,NULL,14.5
2024,9,September,827.921371,25,34.918333,121.011501,847.510362,-2.31,NULL,NULL,14.6
2024,10,October,844.8391,26,34.549677,122.467197,827.921371,2.04,NULL,NULL,14.5
2024,11,November,824.004692,25,35.102333,119.206471,844.8391,-2.47,NULL,NULL,14.5
2024,12,December,1106.943447,32,42.45129,175.304151,824.004692,34.34,NULL,NULL,15.8
