sale_year,sale_month,month_name,revenue_millions,prev_month_revenue,mom_percent,online_percent
2024,1,January,850.433306,NULL,NULL,14.4
2024,2,February,800.789309,850.433306,-5.84,14.4
2024,3,March,859.646007,800.789309,7.35,14.3
2024,4,April,811.718379,859.646007,-5.58,14.7
2024,5,May,834.169514,811.718379,2.77,14.7
2024,6,June,839.780824,834.169514,0.67,14.2
2024,7,July,832.393602,839.780824,-0.88,14.7
2024,8,August,840.523382,832.393602,0.98,14.6
2024,9,September,821.524668,840.523382,-2.26,14.5
2024,10,October,838.480872,821.524668,2.06,14.5
2024,11,November,820.261488,838.480872,-2.17,14.6
2024,12,December,1115.577914,820.261488,36,15.7
