sale_date,weekday,daily_revenue_millions,rolling_7day_avg,rolling_30day_avg,rolling_90day_avg
31/12/2024,Tuesday,39.30859586,36.04,36.07,35.99
30/12/2024,Monday,35.52610922,35.43,35.88,35.88
29/12/2024,Sunday,32.11993963,35.96,35.89,35.89
28/12/2024,Saturday,33.72381236,36.07,36.02,36.02
27/12/2024,Friday,36.9004301,36.05,36.11,36.11
26/12/2024,Thursday,37.72641197,36.18,36.08,36.08
25/12/2024,Wednesday,36.94548658,35.76,36.01,36.01
24/12/2024,Tuesday,35.06994942,35.75,35.97,35.97
23/12/2024,Monday,39.19945415,36.36,36.01,36.01
22/12/2024,Sunday,32.89293157,36.17,35.87,35.87
21/12/2024,Saturday,33.62455328,36.15,36.01,36.01
20/12/2024,Friday,37.77669907,35.82,36.13,36.13
19/12/2024,Thursday,34.83746922,35.98,36.04,36.04
18/12/2024,Wednesday,36.8563919,36,36.11,36.11
17/12/2024,Tuesday,39.34421705,35.81,36.06,36.06
16/12/2024,Monday,37.85512924,35.45,35.86,35.86
15/12/2024,Sunday,32.74636055,35.02,35.72,35.72
14/12/2024,Saturday,31.35445741,35.27,35.94,35.94
13/12/2024,Friday,38.88026868,35.55,36.29,36.29
12/12/2024,Thursday,34.93334075,35.25,36.07,36.07
11/12/2024,Wednesday,35.55026825,35.59,36.18,36.18
10/12/2024,Tuesday,36.80516789,36.07,36.24,36.24
9/12/2024,Monday,34.89524749,36.47,36.18,36.18
8/12/2024,Sunday,34.47733247,36.74,36.34,36.34
7/12/2024,Saturday,33.31521321,36.6,36.6,36.6
6/12/2024,Friday,36.79179705,37.15,37.15,37.15
5/12/2024,Thursday,37.32413997,37.22,37.22,37.22
4/12/2024,Wednesday,38.88268499,37.2,37.2,37.2
3/12/2024,Tuesday,39.58934953,36.64,36.64,36.64
2/12/2024,Monday,36.82137694,35.16,35.16,35.16
