sale_date,weekday,revenue_millions_2024,revenue_millions_2023,revenue_change,yoy_percent
1/12/2024,Sunday,33.0628648,NULL,NULL,NULL
2/12/2024,Monday,38.39901749,NULL,NULL,NULL
3/12/2024,Tuesday,39.02786851,NULL,NULL,NULL
4/12/2024,Wednesday,35.92732327,NULL,NULL,NULL
5/12/2024,Thursday,37.66736446,NULL,NULL,NULL
6/12/2024,Friday,38.08181211,NULL,NULL,NULL
7/12/2024,Saturday,31.2687606,NULL,NULL,NULL
8/12/2024,Sunday,33.80760156,NULL,NULL,NULL
9/12/2024,Monday,38.99316342,NULL,NULL,NULL
10/12/2024,Tuesday,35.91101841,NULL,NULL,NULL
11/12/2024,Wednesday,38.69746114,NULL,NULL,NULL
12/12/2024,Thursday,34.83095418,NULL,NULL,NULL
13/12/2024,Friday,35.33749745,NULL,NULL,NULL
14/12/2024,Saturday,32.27986347,NULL,NULL,NULL
15/12/2024,Sunday,31.81838929,NULL,NULL,NULL
16/12/2024,Monday,39.92079862,NULL,NULL,NULL
17/12/2024,Tuesday,35.85249188,NULL,NULL,NULL
18/12/2024,Wednesday,34.76928108,NULL,NULL,NULL
19/12/2024,Thursday,37.08188934,NULL,NULL,NULL
20/12/2024,Friday,35.80385734,NULL,NULL,NULL
