site_name,production_date,tonnes_produced,operating_hours
Bowen Basin Coal Mine,1/12/2024,"184,305",21.2
Greenbushes Lithium Mine,1/12/2024,"1,176",23
Kalgoorlie Gold Mine,1/12/2024,257,22
Mount Isa Copper Mine,1/12/2024,"2,206",22
Pilbara Iron Mine,1/12/2024,"254,174",23.1
Port Hedland Iron Mine,1/12/2024,"253,773",22.4
Tanami Gold Mine,1/12/2024,219,22.2
Bowen Basin Coal Mine,2/12/2024,"177,223",21.8
Greenbushes Lithium Mine,2/12/2024,984,21.2
Kalgoorlie Gold Mine,2/12/2024,249,21.5
Mount Isa Copper Mine,2/12/2024,"2,548",22.9
Pilbara Iron Mine,2/12/2024,"207,820",21.6
Port Hedland Iron Mine,2/12/2024,"229,171",21.7
Tanami Gold Mine,2/12/2024,202,21.8
Bowen Basin Coal Mine,3/12/2024,"199,239",21.9
Greenbushes Lithium Mine,3/12/2024,"1,089",21.1
Kalgoorlie Gold Mine,3/12/2024,247,22.7
Mount Isa Copper Mine,3/12/2024,"2,255",20.4
Pilbara Iron Mine,3/12/2024,"212,114",22.6
Port Hedland Iron Mine,3/12/2024,"207,145",22.8
Tanami Gold Mine,3/12/2024,257,23.2
Bowen Basin Coal Mine,4/12/2024,"188,092",22.2
Greenbushes Lithium Mine,4/12/2024,999,20.4
Kalgoorlie Gold Mine,4/12/2024,218,22.9
Mount Isa Copper Mine,4/12/2024,"2,207",20.7
Pilbara Iron Mine,4/12/2024,"239,417",22.3
Port Hedland Iron Mine,4/12/2024,"257,566",22.4
Tanami Gold Mine,4/12/2024,213,21.9
Bowen Basin Coal Mine,5/12/2024,"160,025",23
Greenbushes Lithium Mine,5/12/2024,"1,283",20.7
Kalgoorlie Gold Mine,5/12/2024,243,21.4
Mount Isa Copper Mine,5/12/2024,"2,522",22.1
Pilbara Iron Mine,5/12/2024,"246,476",23.1
Port Hedland Iron Mine,5/12/2024,"236,558",21.5
Tanami Gold Mine,5/12/2024,222,21.9
Bowen Basin Coal Mine,6/12/2024,"169,858",20.9
Greenbushes Lithium Mine,6/12/2024,"1,065",23.5
Kalgoorlie Gold Mine,6/12/2024,217,20.8
Mount Isa Copper Mine,6/12/2024,"2,173",23.6
Pilbara Iron Mine,6/12/2024,"261,729",21.4
Port Hedland Iron Mine,6/12/2024,"200,975",21.8
Tanami Gold Mine,6/12/2024,246,22.2
Bowen Basin Coal Mine,7/12/2024,"183,904",22.2
Greenbushes Lithium Mine,7/12/2024,"1,112",23
Kalgoorlie Gold Mine,7/12/2024,213,20.6
Mount Isa Copper Mine,7/12/2024,"2,341",22.4
Pilbara Iron Mine,7/12/2024,"240,570",22
Port Hedland Iron Mine,7/12/2024,"244,650",21
Tanami Gold Mine,7/12/2024,225,21.5
