site_id,production_date,shift,equipment_hours,downtime_hours,calculated_efficiency,stored_efficiency
1,5/02/2026,Day,22.5,0.27,98.8,98.8
1,5/02/2026,Night,22.62,0.18,99.2,99.2
2,5/02/2026,Day,23.5,1.92,91.83,91.83
2,5/02/2026,Night,23.67,1.51,93.62,93.62
3,5/02/2026,Day,21.88,0.17,99.22,99.22
3,5/02/2026,Night,21.96,1.41,93.58,93.58
4,5/02/2026,Day,23.66,1.53,93.53,93.53
4,5/02/2026,Night,21.27,0.59,97.23,97.23
5,5/02/2026,Day,21.37,0.42,98.03,98.03
5,5/02/2026,Night,20.99,1.08,94.85,94.85
