Date,Deposits,Withdrawals,NetChange,TxCount
1/12/2024,"$111,185.08","$45,903.43","$65,281.65",92
2/12/2024,"$195,875.89","$102,513.68","$93,362.21",191
3/12/2024,"$333,906.12","$159,384.29","$174,521.83",278
4/12/2024,"$359,312.59","$217,468.66","$141,843.93",357
5/12/2024,"$440,433.44","$241,626.93","$198,806.51",424
6/12/2024,"$532,869.66","$256,756.10","$276,113.56",474
7/12/2024,"$505,187.46","$277,487.54","$227,699.92",506
8/12/2024,"$587,963.17","$358,399.88","$229,563.29",555
9/12/2024,"$634,693.22","$301,765.18","$332,928.04",543
10/12/2024,"$609,082.31","$332,152.82","$276,929.49",605
11/12/2024,"$622,266.43","$329,828.97","$292,437.46",576
12/12/2024,"$704,935.14","$306,138.09","$398,797.05",602
13/12/2024,"$671,538.71","$384,443.81","$287,094.90",612
14/12/2024,"$682,838.16","$306,843.81","$375,994.35",604
15/12/2024,"$676,497.62","$311,019.46","$365,478.16",592
16/12/2024,"$716,329.00","$340,393.16","$375,935.84",620
17/12/2024,"$691,679.67","$290,687.54","$400,992.13",576
18/12/2024,"$706,803.29","$331,931.23","$374,872.06",641
19/12/2024,"$675,880.95","$290,836.45","$385,044.50",597
20/12/2024,"$667,129.98","$345,357.69","$321,772.29",599
21/12/2024,"$669,344.10","$334,956.96","$334,387.14",585
22/12/2024,"$708,910.83","$349,687.78","$359,223.05",626
23/12/2024,"$669,613.99","$410,498.04","$259,115.95",630
24/12/2024,"$635,665.47","$341,939.07","$293,726.40",623
25/12/2024,"$653,122.35","$392,235.97","$260,886.38",632
26/12/2024,"$723,194.58","$363,860.42","$359,334.16",627
27/12/2024,"$640,870.57","$332,706.93","$308,163.64",600
28/12/2024,"$753,627.52","$314,351.84","$439,275.68",594
29/12/2024,"$715,619.19","$331,989.65","$383,629.54",623
30/12/2024,"$660,068.55","$341,324.03","$318,744.52",603
31/12/2024,"$657,458.42","$368,284.99","$289,173.43",626
