account_id,TransactionCount,TotalDeposits,TotalWithdrawals,NetChange
30,331,431093.67,186098.92,244994.75
40,333,401360.68,162586.83,238773.85
15,365,427045.67,189843.31,237202.36
41,371,425426.13,195252.66,230173.47
12,311,382724.89,155955.75,226769.14
9,318,392368.6,166241.08,226127.52
38,332,381629.88,158570.09,223059.79
35,335,383474.85,164724.65,218750.2
32,349,397117.08,182198.55,214918.53
23,301,371464.93,157720.55,213744.38
5,327,395283.04,184633.76,210649.28
18,357,400835.44,190893.19,209942.25
48,373,417021.82,215115.16,201906.66
22,353,416476.75,214622.02,201854.73
39,330,399744.81,198348.48,201396.33
47,355,403957.08,203564.64,200392.44
19,324,390729.39,192249.11,198480.28
10,331,365817.78,169089.54,196728.24
46,330,370715.38,174094.16,196621.22
24,330,374432.5,180081.2,194351.3
45,326,365105.78,172364.93,192740.85
29,343,381668.51,189485.25,192183.26
11,356,372969.93,181159.09,191810.84
42,353,393418.43,202514.83,190903.6
27,348,384490.07,196398.15,188091.92
6,366,406315.19,219489.86,186825.33
50,332,355489.57,168941.59,186547.98
3,358,395957.77,211637.58,184320.19
31,330,370070.43,186293.54,183776.89
28,323,342608.89,159658,182950.89
17,312,362352.71,179968.71,182384
20,327,350533.26,170977.82,179555.44
16,321,358296.03,180236.34,178059.69
25,334,361540.4,186505.39,175035.01
21,336,349002.18,177796.43,171205.75
1,306,343123.21,174369.82,168753.39
34,342,367800.51,199292.86,168507.65
49,323,343161.64,184833.78,158327.86
44,336,333997.76,176562.59,157435.17
14,331,348212.37,191246.72,156965.65
7,355,370252.51,213569.72,156682.79
13,339,346200.76,191223.63,154977.13
43,339,368393.7,215910.08,152483.62
2,339,344897.45,201911.96,142985.49
8,350,375246.25,232580.07,142666.18
37,329,344165.36,203513.89,140651.47
33,318,325973.54,186107.01,139866.53
36,339,331871.2,195035.37,136835.83
4,323,302689.75,200178.36,102511.39
26,323,289377.93,221127.38,68250.55
