signup_year,signup_month,month_name,new_customers,prev_month_customers,mom_change,deposits_millions
2020,5,May,1,NULL,NULL,0.89
2020,8,August,1,1,0,0.63
2020,12,December,1,1,0,0.67
2021,3,March,1,1,0,0.36
2021,6,June,1,1,0,0.75
2021,9,September,1,1,0,0.51
2021,10,October,1,1,0,0.24
2021,11,November,1,1,0,0.32
2021,12,December,1,1,0,0.29
2022,1,January,1,1,0,0.49
2022,2,February,1,1,0,0.43
2022,3,March,1,1,0,0.32
2022,4,April,1,1,0,0.38
2022,5,May,1,1,0,0.38
2022,6,June,1,1,0,0.29
2022,7,July,1,1,0,0.54
2022,8,August,2,1,1,0.55
2022,9,September,2,2,0,0.32
2022,11,November,1,2,-1,0.11
2023,1,January,1,1,0,0.15
2023,3,March,1,1,0,0.13
2023,5,May,1,1,0,0.08
2023,7,July,1,1,0,0.1
