OrderLineID,OrderID,ProductID,Quantity,UnitPrice,Discount
OL0000001,O000001,P00045,1,233.51,0.0
OL0000002,O000001,P00048,2,57.89,0.0
OL0000003,O000001,P00005,7,450.47,0.0
OL0000004,O000001,P00056,5,259.66,0.0
OL0000005,O000002,P00089,2,489.42,0.0
OL0000006,O000002,P00049,1,40.34,0.0
OL0000007,O000002,P00016,5,332.89,0.0
OL0000008,O000003,P00084,4,180.25,0.0
OL0000009,O000003,P00064,7,22.94,0.0
OL0000010,O000003,P00010,2,398.45,0.0
OL0000011,O000003,P00013,6,361.81,0.0
OL0000012,O000004,P00072,2,245.15,0.0
OL0000013,O000004,P00102,3,558.9,0.0
OL0000014,O000004,P00011,4,22.38,0.0
OL0000015,O000004,P00079,8,262.98,0.0
OL0000016,O000005,P00066,1,267.19,0.0
OL0000017,O000006,P00034,5,410.61,0.0
OL0000018,O000006,P00026,6,233.06,0.0
OL0000019,O000007,P00115,7,224.64,0.0
OL0000020,O000007,P00038,3,291.74,0.0
OL0000021,O000007,P00007,1,94.43,0.0
OL0000022,O000007,P00109,6,337.16,0.0
OL0000023,O000008,P00011,6,22.38,0.0
OL0000024,O000008,P00071,5,187.68,0.0
OL0000025,O000008,P00119,4,341.73,0.0
OL0000026,O000009,P00090,1,277.65,0.0
OL0000027,O000009,P00007,5,94.43,0.0
OL0000028,O000009,P00072,7,245.15,0.0
OL0000029,O000010,P00100,5,446.21,0.0
OL0000030,O000011,P00092,3,419.51,0.0
OL0000031,O000011,P00099,6,145.42,0.0
OL0000032,O000012,P00090,3,277.65,0.0
OL0000033,O000012,P00035,2,122.77,0.0
OL0000034,O000012,P00016,7,332.89,0.0
OL0000035,O000012,P00063,4,311.79,0.0
OL0000036,O000013,P00120,4,472.76,0.0
OL0000037,O000013,P00063,3,311.79,0.0
OL0000038,O000013,P00006,7,426.4,0.0
OL0000039,O000013,P00103,5,91.65,0.0
OL0000040,O000014,P00026,8,233.06,0.0
OL0000041,O000014,P00044,3,234.3,0.0
OL0000042,O000014,P00007,4,94.43,0.0
OL0000043,O000015,P00043,4,325.71,0.0
OL0000044,O000015,P00108,3,571.29,0.0
OL0000045,O000016,P00041,3,514.07,0.0
OL0000046,O000016,P00066,7,267.19,0.0
OL0000047,O000016,P00074,3,235.25,0.0
OL0000048,O000017,P00039,6,280.19,0.0
OL0000049,O000017,P00023,2,111.16,0.0
OL0000050,O000018,P00092,3,419.51,0.0
OL0000051,O000019,P00110,3,403.38,0.0
OL0000052,O000019,P00047,1,500.35,0.0
OL0000053,O000019,P00061,6,78.91,0.0
OL0000054,O000020,P00114,7,201.26,0.0
OL0000055,O000020,P00051,5,467.27,0.0
OL0000056,O000020,P00029,8,37.44,0.0
OL0000057,O000020,P00078,5,330.59,0.0
OL0000058,O000021,P00011,4,22.38,0.0
OL0000059,O000021,P00118,2,104.69,0.0
OL0000060,O000022,P00046,3,539.88,0.0
OL0000061,O000022,P00065,1,220.68,0.0
OL0000062,O000023,P00056,4,259.66,0.0
OL0000063,O000023,P00066,4,267.19,0.0
OL0000064,O000023,P00006,4,426.4,0.0
OL0000065,O000024,P00049,6,40.34,0.0
OL0000066,O000025,P00113,8,413.16,0.0
OL0000067,O000026,P00062,8,435.89,0.0
OL0000068,O000026,P00084,6,180.25,0.0
OL0000069,O000027,P00037,7,75.6,0.0
OL0000070,O000027,P00036,8,140.99,0.0
OL0000071,O000028,P00109,3,337.16,0.0
OL0000072,O000028,P00034,3,410.61,0.0
OL0000073,O000028,P00007,4,94.43,0.0
OL0000074,O000028,P00114,4,201.26,0.0
OL0000075,O000029,P00031,7,600.22,0.0
OL0000076,O000030,P00042,5,18.93,0.0
OL0000077,O000031,P00002,4,144.35,0.0
OL0000078,O000031,P00099,4,145.42,0.0
OL0000079,O000031,P00110,4,403.38,0.0
OL0000080,O000031,P00058,2,340.95,0.0
OL0000081,O000032,P00078,8,330.59,0.0
OL0000082,O000032,P00020,8,519.71,0.0
OL0000083,O000033,P00045,8,233.51,0.0
OL0000084,O000033,P00053,4,102.16,0.0
OL0000085,O000033,P00111,7,338.21,0.0
OL0000086,O000034,P00061,1,78.91,0.0
OL0000087,O000034,P00082,7,128.79,0.0
OL0000088,O000034,P00039,6,280.19,0.0
OL0000089,O000034,P00112,7,177.45,0.0
OL0000090,O000035,P00102,2,558.9,0.0
OL0000091,O000036,P00036,8,140.99,0.0
OL0000092,O000036,P00046,1,539.88,0.0
OL0000093,O000036,P00070,4,403.68,0.0
OL0000094,O000036,P00012,7,157.59,0.0
OL0000095,O000037,P00073,7,167.31,0.0
OL0000096,O000038,P00076,4,343.66,0.0
OL0000097,O000039,P00070,8,403.68,0.0
OL0000098,O000039,P00080,7,330.12,0.0
OL0000099,O000039,P00012,5,157.59,0.0
OL0000100,O000040,P00020,8,519.71,0.0
OL0000101,O000040,P00004,3,334.06,0.0
OL0000102,O000040,P00044,7,234.3,0.0
OL0000103,O000041,P00087,1,477.94,0.0
OL0000104,O000041,P00085,3,194.94,0.0
OL0000105,O000041,P00055,8,288.08,0.0
OL0000106,O000042,P00065,2,220.68,0.0
OL0000107,O000042,P00060,2,243.0,0.0
OL0000108,O000042,P00019,3,245.95,0.0
OL0000109,O000042,P00009,3,298.47,0.0
OL0000110,O000043,P00046,7,539.88,0.0
OL0000111,O000043,P00009,6,298.47,0.0
OL0000112,O000043,P00064,8,22.94,0.0
OL0000113,O000043,P00030,1,83.62,0.0
OL0000114,O000044,P00006,8,426.4,0.0
OL0000115,O000044,P00014,4,298.46,0.0
OL0000116,O000045,P00040,2,245.02,0.0
OL0000117,O000045,P00120,5,472.76,0.0
OL0000118,O000045,P00009,6,298.47,0.0
OL0000119,O000045,P00029,3,37.44,0.0
OL0000120,O000046,P00092,2,419.51,0.0
OL0000121,O000047,P00007,8,94.43,0.0
OL0000122,O000048,P00022,2,79.97,0.0
OL0000123,O000048,P00080,7,330.12,0.0
OL0000124,O000048,P00012,3,157.59,0.0
OL0000125,O000049,P00091,7,109.62,0.0
OL0000126,O000049,P00001,1,86.21,0.0
OL0000127,O000049,P00033,3,277.75,0.0
OL0000128,O000049,P00034,6,410.61,0.0
OL0000129,O000050,P00029,3,37.44,0.0
OL0000130,O000050,P00040,3,245.02,0.0
OL0000131,O000051,P00046,1,539.88,0.0
OL0000132,O000051,P00081,7,66.28,0.0
OL0000133,O000052,P00022,5,79.97,0.0
OL0000134,O000052,P00100,8,446.21,0.0
OL0000135,O000052,P00096,5,119.11,0.0
OL0000136,O000053,P00049,2,40.34,0.0
OL0000137,O000053,P00015,3,381.72,0.0
OL0000138,O000054,P00050,1,208.02,0.0
OL0000139,O000054,P00112,5,177.45,0.0
OL0000140,O000055,P00108,8,571.29,0.0
OL0000141,O000056,P00059,8,379.82,0.0
OL0000142,O000056,P00078,1,330.59,0.0
OL0000143,O000056,P00082,8,128.79,0.0
OL0000144,O000056,P00037,4,75.6,0.0
OL0000145,O000057,P00094,8,568.46,0.0
OL0000146,O000057,P00019,8,245.95,0.0
OL0000147,O000058,P00110,8,403.38,0.0
OL0000148,O000058,P00091,2,109.62,0.0
OL0000149,O000058,P00116,1,484.74,0.0
OL0000150,O000058,P00085,4,194.94,0.0
OL0000151,O000059,P00046,4,539.88,0.0
OL0000152,O000059,P00028,1,148.66,0.0
OL0000153,O000059,P00074,3,235.25,0.0
OL0000154,O000060,P00048,1,57.89,0.0
OL0000155,O000060,P00072,6,245.15,0.0
OL0000156,O000061,P00115,3,224.64,0.0
OL0000157,O000062,P00045,5,233.51,0.0
OL0000158,O000063,P00034,2,410.61,0.0
OL0000159,O000063,P00095,1,367.24,0.0
OL0000160,O000063,P00120,2,472.76,0.0
OL0000161,O000064,P00047,3,500.35,0.0
OL0000162,O000064,P00022,3,79.97,0.0
OL0000163,O000064,P00024,5,139.94,0.0
OL0000164,O000064,P00030,3,83.62,0.0
OL0000165,O000065,P00029,6,37.44,0.0
OL0000166,O000065,P00035,1,122.77,0.0
OL0000167,O000065,P00109,2,337.16,0.0
OL0000168,O000065,P00078,5,330.59,0.0
OL0000169,O000066,P00008,6,38.74,0.0
OL0000170,O000066,P00049,7,40.34,0.0
OL0000171,O000066,P00095,2,367.24,0.0
OL0000172,O000067,P00070,2,403.68,0.0
OL0000173,O000067,P00104,5,236.49,0.0
OL0000174,O000067,P00100,8,446.21,0.0
OL0000175,O000067,P00091,3,109.62,0.0
OL0000176,O000068,P00019,5,245.95,0.0
OL0000177,O000069,P00024,7,139.94,0.0
OL0000178,O000069,P00032,4,449.83,0.0
OL0000179,O000069,P00030,4,83.62,0.0
OL0000180,O000070,P00097,2,245.06,0.0
OL0000181,O000071,P00111,8,338.21,0.0
OL0000182,O000072,P00090,7,277.65,0.0
OL0000183,O000072,P00117,6,358.95,0.0
OL0000184,O000072,P00051,5,467.27,0.0
OL0000185,O000073,P00033,3,277.75,0.0
OL0000186,O000073,P00047,8,500.35,0.0
OL0000187,O000073,P00117,8,358.95,0.0
OL0000188,O000074,P00059,3,379.82,0.0
OL0000189,O000074,P00100,4,446.21,0.0
OL0000190,O000074,P00072,5,245.15,0.0
OL0000191,O000074,P00084,4,180.25,0.0
OL0000192,O000075,P00078,2,330.59,0.0
OL0000193,O000076,P00047,8,500.35,0.0
OL0000194,O000077,P00060,4,243.0,0.0
OL0000195,O000078,P00066,7,267.19,0.0
OL0000196,O000078,P00076,1,343.66,0.0
OL0000197,O000078,P00113,6,413.16,0.0
OL0000198,O000078,P00019,6,245.95,0.0
OL0000199,O000079,P00105,1,496.04,0.0
OL0000200,O000079,P00094,4,568.46,0.0
OL0000201,O000080,P00079,5,262.98,0.0
OL0000202,O000080,P00065,2,220.68,0.0
OL0000203,O000080,P00027,5,557.74,0.0
OL0000204,O000081,P00051,6,467.27,0.0
OL0000205,O000081,P00099,1,145.42,0.0
OL0000206,O000081,P00106,2,44.52,0.0
OL0000207,O000082,P00016,6,332.89,0.0
