OrderID,CustomerID,OrderDate,ShipDate,ShipMode,Status
O000001,C00015,2026-01-31,2026-02-01,Second Class,Completed
O000002,C00410,2026-01-31,2026-02-05,Standard,Completed
O000003,C00160,2026-01-31,2026-02-02,Second Class,Completed
O000004,C00283,2026-01-31,2026-02-01,First Class,Completed
O000005,C00116,2026-01-31,2026-02-01,Standard,Completed
O000006,C00485,2026-01-31,2026-02-04,Standard,Completed
O000007,C00256,2026-01-31,2026-02-02,Second Class,Completed
O000008,C00261,2026-01-31,2026-02-03,Second Class,Completed
O000009,C00213,2026-01-31,2026-02-03,First Class,Completed
O000010,C00125,2026-01-31,2026-02-04,First Class,Completed
O000011,C00075,2026-01-31,2026-02-05,First Class,Completed
O000012,C00472,2026-01-31,2026-02-02,Second Class,Completed
O000013,C00383,2026-01-31,2026-02-05,Standard,Completed
O000014,C00142,2026-01-31,2026-02-01,First Class,Completed
O000015,C00479,2026-01-31,2026-02-03,Second Class,Completed
O000016,C00421,2026-01-31,2026-02-03,Standard,Completed
O000017,C00372,2026-01-31,2026-02-03,First Class,Completed
O000018,C00297,2026-01-31,2026-02-05,Second Class,Completed
O000019,C00444,2026-01-31,2026-02-04,Standard,Completed
O000020,C00276,2026-01-31,2026-02-04,First Class,Completed
O000021,C00171,2026-01-31,2026-02-03,Second Class,Completed
O000022,C00194,2026-01-31,2026-02-05,First Class,Completed
O000023,C00446,2026-01-31,2026-02-03,Standard,Completed
O000024,C00293,2026-01-31,2026-02-02,First Class,Completed
O000025,C00439,2026-01-31,2026-02-02,First Class,Completed
O000026,C00163,2026-01-31,2026-02-01,Second Class,Completed
O000027,C00362,2026-01-31,2026-02-04,First Class,Completed
O000028,C00340,2026-01-31,2026-02-04,Second Class,Completed
O000029,C00254,2026-01-31,2026-02-02,Standard,Completed
O000030,C00258,2026-01-31,2026-02-02,Second Class,Completed
O000031,C00446,2026-01-31,2026-02-03,Standard,Completed
O000032,C00052,2026-01-31,2026-02-04,Second Class,Completed
O000033,C00008,2026-01-31,2026-02-04,Second Class,Completed
O000034,C00210,2026-01-31,2026-02-02,Second Class,Completed
O000035,C00039,2026-01-31,2026-02-02,First Class,Completed
O000036,C00174,2026-01-31,2026-02-03,Second Class,Completed
O000037,C00333,2026-01-31,2026-02-04,Standard,Completed
O000038,C00437,2026-01-31,2026-02-03,Second Class,Completed
O000039,C00195,2026-01-31,2026-02-05,First Class,Completed
O000040,C00447,2026-01-31,2026-02-04,Second Class,Completed
O000041,C00317,2026-01-31,2026-02-01,Standard,Completed
O000042,C00324,2026-01-31,2026-02-02,Second Class,Completed
O000043,C00117,2026-01-31,2026-02-03,Second Class,Completed
O000044,C00223,2026-01-31,2026-02-01,Standard,Completed
O000045,C00228,2026-01-31,2026-02-01,Standard,Completed
O000046,C00463,2026-01-31,2026-02-03,Standard,Completed
O000047,C00167,2026-01-31,2026-02-01,Standard,Completed
O000048,C00184,2026-01-31,2026-02-03,First Class,Completed
O000049,C00075,2026-01-31,2026-02-04,Standard,Completed
O000050,C00211,2026-01-31,2026-02-05,Second Class,Completed
O000051,C00088,2026-01-31,2026-02-02,Standard,Completed
O000052,C00313,2026-01-31,2026-02-01,First Class,Completed
O000053,C00350,2026-01-31,2026-02-05,Standard,Completed
O000054,C00468,2026-01-31,2026-02-04,Second Class,Completed
O000055,C00119,2026-01-31,2026-02-02,First Class,Completed
O000056,C00236,2026-01-31,2026-02-03,First Class,Completed
O000057,C00461,2026-01-31,2026-02-01,First Class,Completed
O000058,C00347,2026-01-31,2026-02-03,Second Class,Completed
O000059,C00038,2026-01-31,2026-02-02,First Class,Completed
O000060,C00301,2026-01-31,2026-02-03,First Class,Completed
O000061,C00354,2026-01-31,2026-02-04,First Class,Completed
O000062,C00433,2026-01-31,2026-02-04,First Class,Completed
O000063,C00197,2026-01-31,2026-02-02,First Class,Completed
O000064,C00122,2026-01-31,2026-02-01,First Class,Completed
O000065,C00184,2026-01-31,2026-02-05,Second Class,Completed
O000066,C00359,2026-01-31,2026-02-03,First Class,Completed
O000067,C00425,2026-01-31,2026-02-01,Second Class,Completed
O000068,C00141,2026-01-31,2026-02-04,Standard,Completed
O000069,C00443,2026-01-31,2026-02-05,Second Class,Completed
O000070,C00467,2026-01-31,2026-02-01,Second Class,Completed
O000071,C00427,2026-01-31,2026-02-04,First Class,Completed
O000072,C00311,2026-01-31,2026-02-02,First Class,Completed
O000073,C00326,2026-01-31,2026-02-02,Standard,Completed
O000074,C00129,2026-01-31,2026-02-05,Second Class,Completed
O000075,C00322,2026-01-31,2026-02-02,Standard,Completed
O000076,C00159,2026-01-31,2026-02-01,First Class,Completed
O000077,C00297,2026-01-31,2026-02-01,First Class,Completed
O000078,C00047,2026-01-31,2026-02-02,First Class,Completed
O000079,C00383,2026-01-31,2026-02-03,First Class,Completed
O000080,C00103,2026-01-31,2026-02-02,Standard,Completed
O000081,C00449,2026-01-31,2026-02-05,First Class,Completed
O000082,C00257,2026-01-31,2026-02-05,First Class,Completed
O000083,C00132,2026-01-31,2026-02-02,First Class,Completed
O000084,C00383,2026-01-31,2026-02-03,First Class,Completed
O000085,C00240,2026-01-31,2026-02-01,Standard,Completed
O000086,C00387,2026-01-31,2026-02-02,Standard,Completed
O000087,C00496,2026-01-31,2026-02-04,Second Class,Completed
O000088,C00047,2026-01-31,2026-02-03,First Class,Completed
O000089,C00136,2026-01-31,2026-02-01,Second Class,Completed
O000090,C00233,2026-01-31,2026-02-01,First Class,Completed
O000091,C00300,2026-01-31,2026-02-03,First Class,Completed
O000092,C00056,2026-01-31,2026-02-03,Second Class,Completed
O000093,C00242,2026-01-31,2026-02-02,Standard,Completed
O000094,C00453,2026-01-31,2026-02-05,Second Class,Completed
O000095,C00469,2026-01-31,2026-02-03,Second Class,Completed
O000096,C00332,2026-01-31,2026-02-02,Standard,Completed
O000097,C00466,2026-01-31,2026-02-04,Second Class,Completed
O000098,C00333,2026-01-31,2026-02-03,First Class,Completed
O000099,C00072,2026-01-31,2026-02-01,Standard,Completed
O000100,C00156,2026-01-31,2026-02-01,First Class,Completed
O000101,C00050,2026-01-31,2026-02-01,Standard,Completed
O000102,C00070,2026-01-31,2026-02-05,First Class,Completed
O000103,C00190,2026-01-31,2026-02-04,Second Class,Completed
O000104,C00215,2026-01-31,2026-02-05,Second Class,Completed
O000105,C00454,2026-01-31,2026-02-02,First Class,Completed
O000106,C00427,2026-01-31,2026-02-01,First Class,Completed
O000107,C00209,2026-01-31,2026-02-05,First Class,Completed
O000108,C00354,2026-01-31,2026-02-01,First Class,Completed
