PaymentID,OrderID,PaymentDate,PaymentMethod,Amount
PAY0000001,O000001,2026-01-31,Debit Card,1877.54
PAY0000002,O000002,2026-01-31,Debit Card,1899.24
PAY0000003,O000003,2026-01-31,Debit Card,1096.31
PAY0000004,O000004,2026-01-31,Credit Card,2464.37
PAY0000005,O000005,2026-01-31,PayPal,963.66
PAY0000006,O000006,2026-01-31,Debit Card,1320.96
PAY0000007,O000007,2026-01-31,Debit Card,138.75
PAY0000008,O000008,2026-01-31,Debit Card,2028.19
PAY0000009,O000009,2026-01-31,Debit Card,2407.77
PAY0000010,O000010,2026-01-31,Credit Card,951.23
PAY0000011,O000011,2026-01-31,Debit Card,2107.68
PAY0000012,O000012,2026-01-31,Debit Card,2370.26
PAY0000013,O000013,2026-01-31,PayPal,821.67
PAY0000014,O000014,2026-01-31,PayPal,302.68
PAY0000015,O000015,2026-01-31,PayPal,2044.41
PAY0000016,O000016,2026-01-31,Debit Card,138.04
PAY0000017,O000017,2026-01-31,Debit Card,1851.11
PAY0000018,O000018,2026-01-31,Debit Card,208.89
PAY0000019,O000019,2026-01-31,Credit Card,525.66
PAY0000020,O000020,2026-01-31,Credit Card,407.08
PAY0000021,O000021,2026-01-31,Credit Card,436.53
PAY0000022,O000022,2026-01-31,Debit Card,1929.49
PAY0000023,O000023,2026-01-31,Credit Card,1530.89
PAY0000024,O000024,2026-01-31,Credit Card,2179.23
PAY0000025,O000025,2026-01-31,PayPal,803.4
PAY0000026,O000026,2026-01-31,PayPal,1095.7
PAY0000027,O000027,2026-01-31,Credit Card,1106.17
PAY0000028,O000028,2026-01-31,Credit Card,2347.1
PAY0000029,O000029,2026-01-31,Credit Card,1880.72
PAY0000030,O000030,2026-01-31,PayPal,535.88
PAY0000031,O000031,2026-01-31,Credit Card,1987.74
PAY0000032,O000032,2026-01-31,Credit Card,1294.13
PAY0000033,O000033,2026-01-31,Debit Card,1068.77
PAY0000034,O000034,2026-01-31,Debit Card,2281.55
PAY0000035,O000035,2026-01-31,Debit Card,1592.59
PAY0000036,O000036,2026-01-31,Credit Card,1979.85
PAY0000037,O000037,2026-01-31,Debit Card,168.39
PAY0000038,O000038,2026-01-31,Debit Card,182.13
PAY0000039,O000039,2026-01-31,Credit Card,2292.58
PAY0000040,O000040,2026-01-31,Credit Card,1394.74
PAY0000041,O000041,2026-01-31,PayPal,1834.05
PAY0000042,O000042,2026-01-31,Credit Card,479.61
PAY0000043,O000043,2026-01-31,Credit Card,936.8
PAY0000044,O000044,2026-01-31,Credit Card,321.1
PAY0000045,O000045,2026-01-31,Credit Card,369.79
PAY0000046,O000046,2026-01-31,Debit Card,1214.64
PAY0000047,O000047,2026-01-31,Debit Card,2154.74
PAY0000048,O000048,2026-01-31,PayPal,1157.0
