ReturnID,OrderID,ProductID,ReturnDate,ReturnReason,ReturnQuantity
R000001,O001254,P00117,2026-02-11,Damaged,1
R000002,O001503,P00092,2026-02-22,Not Required,1
R000003,O001599,P00095,2026-03-02,Not Required,1
R000004,O001768,P00005,2026-02-08,Damaged,1
R000005,O000080,P00079,2026-03-01,Damaged,1
R000006,O000170,P00115,2026-03-02,Not Required,1
R000007,O000680,P00037,2026-02-23,Not Required,1
R000008,O000086,P00115,2026-03-01,Damaged,1
R000009,O000620,P00078,2026-02-13,Damaged,1
R000010,O000458,P00105,2026-03-01,Not Required,1
R000011,O000625,P00028,2026-02-17,Damaged,1
R000012,O000984,P00031,2026-02-12,Not Required,1
R000013,O000627,P00030,2026-02-21,Not Required,1
R000014,O001889,P00116,2026-02-25,Damaged,1
R000015,O001600,P00109,2026-02-05,Damaged,1
R000016,O000163,P00047,2026-02-20,Damaged,1
R000017,O000468,P00053,2026-02-05,Damaged,1
R000018,O001806,P00068,2026-02-26,Not Required,1
R000019,O000872,P00086,2026-02-24,Not Required,1
R000020,O001406,P00085,2026-02-17,Damaged,1
R000021,O001467,P00028,2026-02-06,Damaged,1
R000022,O000818,P00079,2026-03-01,Not Required,1
R000023,O001709,P00045,2026-02-21,Damaged,1
R000024,O001062,P00048,2026-02-07,Damaged,1
R000025,O001684,P00002,2026-02-26,Damaged,1
R000026,O001122,P00035,2026-02-24,Not Required,1
R000027,O001920,P00067,2026-02-05,Damaged,1
R000028,O001209,P00082,2026-02-07,Not Required,1
R000029,O000982,P00047,2026-02-21,Damaged,1
R000030,O000784,P00071,2026-02-24,Not Required,1
R000031,O000180,P00060,2026-02-07,Not Required,1
R000032,O000907,P00108,2026-02-25,Damaged,1
R000033,O000975,P00113,2026-02-28,Not Required,1
R000034,O000672,P00049,2026-02-06,Not Required,1
R000035,O001313,P00011,2026-02-18,Damaged,1
R000036,O001165,P00074,2026-02-25,Damaged,1
R000037,O000031,P00002,2026-02-23,Not Required,1
R000038,O000538,P00049,2026-02-25,Not Required,1
R000039,O000361,P00077,2026-02-25,Damaged,1
R000040,O001141,P00029,2026-02-06,Not Required,1
R000041,O000152,P00055,2026-02-12,Not Required,1
R000042,O000715,P00038,2026-02-13,Damaged,1
R000043,O001217,P00037,2026-02-20,Not Required,1
R000044,O001426,P00094,2026-02-19,Not Required,1
R000045,O001969,P00030,2026-02-17,Damaged,1
R000046,O001324,P00041,2026-02-06,Not Required,1
R000047,O001390,P00053,2026-02-09,Not Required,1
R000048,O000839,P00043,2026-03-01,Not Required,1
R000049,O000133,P00110,2026-02-26,Damaged,1
R000050,O001167,P00036,2026-02-24,Damaged,1
R000051,O001000,P00021,2026-02-16,Damaged,1
R000052,O000759,P00023,2026-02-22,Damaged,1
R000053,O001276,P00100,2026-02-28,Not Required,1
R000054,O000641,P00021,2026-02-28,Not Required,1
R000055,O000614,P00067,2026-02-17,Damaged,1
R000056,O000789,P00024,2026-02-10,Damaged,1
R000057,O001636,P00070,2026-03-01,Not Required,1
R000058,O001191,P00107,2026-02-05,Not Required,1
R000059,O001820,P00082,2026-02-21,Not Required,1
R000060,O000149,P00039,2026-02-07,Damaged,1
