RoleKey,DepartmentKey,RoleCode,RoleName
1,1,R002,Role 002
2,1,R004,Role 004
3,1,R006,Role 006
4,1,R008,Role 008
5,1,R010,Role 010
6,1,R012,Role 012
7,1,R014,Role 014
8,1,R016,Role 016
9,1,R018,Role 018
10,1,R020,Role 020
11,1,R022,Role 022
12,1,R024,Role 024
13,1,R026,Role 026
14,1,R028,Role 028
15,1,R030,Role 030
16,1,R032,Role 032
17,1,R034,Role 034
18,1,R036,Role 036
19,1,R038,Role 038
20,1,R040,Role 040
21,6,R001,Role 001
22,6,R003,Role 003
23,6,R005,Role 005
24,6,R007,Role 007
25,6,R009,Role 009
26,6,R011,Role 011
27,6,R013,Role 013
28,6,R015,Role 015
29,6,R017,Role 017
30,6,R019,Role 019
31,6,R021,Role 021
32,6,R023,Role 023
33,6,R025,Role 025
34,6,R027,Role 027
35,6,R029,Role 029
36,6,R031,Role 031
37,6,R033,Role 033
38,6,R035,Role 035
39,6,R037,Role 037
40,6,R039,Role 039
