EventKey,EmployeeKey,DateKey,DepartmentKey,RoleKey,LocationKey,EmploymentTypeKey,ManagerKey,EventType,EventReason
1,42,20241115,4,10,6,2,NULL,Transfer,Voluntary resignation
2,83,20240929,7,40,3,1,NULL,Promotion,Transfer to new team
3,123,20240813,10,9,8,3,NULL,Rolechange,Promotion to senior
4,164,20240627,3,39,5,2,NULL,Locationchange,New hire
5,204,20240511,6,8,2,1,NULL,Termination,Voluntary resignation
6,245,20240325,9,38,7,3,NULL,Hire,Transfer to new team
7,286,20240207,2,7,4,2,NULL,Transfer,Promotion to senior
8,326,20231222,5,37,1,1,NULL,Promotion,New hire
9,367,20231105,8,6,6,3,NULL,Rolechange,Voluntary resignation
10,407,20230919,1,36,3,2,NULL,Locationchange,Transfer to new team
11,448,20230803,4,5,8,1,NULL,Termination,Promotion to senior
12,489,20230617,7,35,5,3,NULL,Hire,New hire
13,529,20230501,10,4,2,2,NULL,Transfer,Voluntary resignation
14,570,20230315,3,34,7,1,NULL,Promotion,Transfer to new team
15,610,20230127,6,3,4,3,NULL,Rolechange,Promotion to senior
16,651,20221211,9,33,1,2,NULL,Locationchange,New hire
17,692,20221025,2,2,6,1,NULL,Termination,Voluntary resignation
18,732,20220908,5,32,3,3,NULL,Hire,Transfer to new team
19,773,20220723,8,1,8,2,NULL,Transfer,Promotion to senior
20,813,20220606,1,31,5,1,NULL,Promotion,New hire
21,854,20220420,4,20,2,3,NULL,Rolechange,Voluntary resignation
22,894,20220304,7,30,7,2,NULL,Locationchange,Transfer to new team
23,935,20220116,10,19,4,1,NULL,Termination,Promotion to senior
24,976,20211130,3,29,1,3,NULL,Hire,New hire
25,1016,20211014,6,18,6,2,NULL,Transfer,Voluntary resignation
26,1057,20210828,9,28,3,1,NULL,Promotion,Transfer to new team
27,1097,20210712,2,17,8,3,NULL,Rolechange,Promotion to senior
28,1138,20210526,5,27,5,2,NULL,Locationchange,New hire
29,1179,20210409,8,16,2,1,NULL,Termination,Voluntary resignation
30,1219,20210221,1,26,7,3,NULL,Hire,Transfer to new team
31,1260,20210105,4,15,4,2,NULL,Transfer,Promotion to senior
32,1300,20201119,7,25,1,1,NULL,Promotion,New hire
33,1341,20201003,10,14,6,3,NULL,Rolechange,Voluntary resignation
34,1382,20200817,3,24,3,2,NULL,Locationchange,Transfer to new team
35,1422,20200701,6,13,8,1,NULL,Termination,Promotion to senior
36,1463,20200515,9,23,5,3,NULL,Hire,New hire
37,1503,20200329,2,12,2,2,NULL,Transfer,Voluntary resignation
38,1544,20200211,5,22,7,1,NULL,Promotion,Transfer to new team
39,1584,20191226,8,11,4,3,NULL,Rolechange,Promotion to senior
40,1625,20191109,1,21,1,2,NULL,Locationchange,New hire
41,1666,20190923,4,10,6,1,NULL,Termination,Voluntary resignation
42,1706,20190807,7,40,3,3,NULL,Hire,Transfer to new team
43,1747,20190621,10,9,8,2,NULL,Transfer,Promotion to senior
44,1787,20190505,3,39,5,1,NULL,Promotion,New hire
45,1828,20190319,6,8,2,3,NULL,Rolechange,Voluntary resignation
46,1869,20190131,9,38,7,2,NULL,Locationchange,Transfer to new team
47,1909,20181215,2,7,4,1,NULL,Termination,Promotion to senior
48,1950,20181029,5,37,1,3,NULL,Hire,New hire
49,1990,20180912,8,6,6,2,NULL,Transfer,Voluntary resignation
50,2031,20180727,1,36,3,1,NULL,Promotion,Transfer to new team
51,2072,20180610,4,5,8,3,NULL,Rolechange,Promotion to senior
52,2112,20180424,7,35,5,2,NULL,Locationchange,New hire
53,2153,20180308,10,4,2,1,NULL,Termination,Voluntary resignation
54,2193,20180120,3,34,7,3,NULL,Hire,Transfer to new team
55,2234,20171204,6,3,4,2,NULL,Transfer,Promotion to senior
56,2275,20171018,9,33,1,1,NULL,Promotion,New hire
57,2315,20170901,2,2,6,3,NULL,Rolechange,Voluntary resignation
58,2356,20170716,5,32,3,2,NULL,Locationchange,Transfer to new team
59,2396,20170530,8,1,8,1,NULL,Termination,Promotion to senior
60,2437,20170413,1,31,5,3,NULL,Hire,New hire
61,2477,20170225,4,20,2,2,NULL,Transfer,Voluntary resignation
62,2518,20170109,7,30,7,1,NULL,Promotion,Transfer to new team
63,2559,20161123,10,19,4,3,NULL,Rolechange,Promotion to senior
64,2599,20161007,3,29,1,2,NULL,Locationchange,New hire
65,2640,20160821,6,18,6,1,NULL,Termination,Voluntary resignation
66,2680,20160705,9,28,3,3,NULL,Hire,Transfer to new team
67,2721,20160519,2,17,8,2,NULL,Transfer,Promotion to senior
68,2762,20160402,5,27,5,1,NULL,Promotion,New hire
69,2802,20160215,8,16,2,3,NULL,Rolechange,Voluntary resignation
70,2843,20151230,1,26,7,2,NULL,Locationchange,Transfer to new team
71,2883,20151113,4,15,4,1,NULL,Termination,Promotion to senior
72,2924,20150927,7,25,1,3,NULL,Hire,New hire
73,2965,20150811,10,14,6,2,NULL,Transfer,Voluntary resignation
74,3005,20150625,3,24,3,1,NULL,Promotion,Transfer to new team
75,3046,20150509,6,13,8,3,NULL,Rolechange,Promotion to senior
76,3086,20150323,9,23,5,2,NULL,Locationchange,New hire
77,3127,20150204,2,12,2,1,NULL,Termination,Voluntary resignation
78,3168,20241216,5,22,7,3,NULL,Hire,Transfer to new team
79,3208,20241030,8,11,4,2,NULL,Transfer,Promotion to senior
80,3249,20240913,1,21,1,1,NULL,Promotion,New hire
81,3289,20240728,4,10,6,3,NULL,Rolechange,Voluntary resignation
82,3330,20240611,7,40,3,2,NULL,Locationchange,Transfer to new team
83,3370,20240425,10,9,8,1,NULL,Termination,Promotion to senior
84,3411,20240309,3,39,5,3,NULL,Hire,New hire
85,3452,20240122,6,8,2,2,NULL,Transfer,Voluntary resignation
86,3492,20231206,9,38,7,1,NULL,Promotion,Transfer to new team
87,3533,20231020,2,7,4,3,NULL,Rolechange,Promotion to senior
88,3573,20230903,5,37,1,2,NULL,Locationchange,New hire
89,3614,20230718,8,6,6,1,NULL,Termination,Voluntary resignation
90,3655,20230601,1,36,3,3,NULL,Hire,Transfer to new team
91,3695,20230415,4,5,8,2,NULL,Transfer,Promotion to senior
92,3736,20230227,7,35,5,1,NULL,Promotion,New hire
93,3776,20230111,10,4,2,3,NULL,Rolechange,Voluntary resignation
94,3817,20221125,3,34,7,2,NULL,Locationchange,Transfer to new team
95,3858,20221009,6,3,4,1,NULL,Termination,Promotion to senior
96,3898,20220823,9,33,1,3,NULL,Hire,New hire
97,3939,20220707,2,2,6,2,NULL,Transfer,Voluntary resignation
98,3979,20220521,5,32,3,1,NULL,Promotion,Transfer to new team
