timestamp,equipment_id,site_id,temperature,vibration,engine_hours,fault_code,gps_lat,gps_lon
2024-01-01 00:00:00,EXC006,WA001,76.5,21.92,1008.92,,-22.34379014975102,117.11403565358964
2024-01-01 00:05:00,TRK008,NSW001,93.7,15.49,1004.99,,-32.45051139086644,151.22462997519355
2024-01-01 00:10:00,CRU002,QLD001,69.3,7.32,1001.97,,,
2024-01-01 00:15:00,CNV002,WA001,,95.14,1007.02,CRITICAL_ENGINE,,
2024-01-01 00:20:00,TRK012,NSW001,64.2,29.63,1010.55,,-32.45909747549921,151.23356820604735
2024-01-01 00:25:00,TRK006,QLD001,100.2,6.79,1008.85,WARN_VIB,,
2024-01-01 00:30:00,TRK006,QLD001,119.4,22.12,1011.43,,,
2024-01-01 00:35:00,TRK002,QLD001,64.0,22.95,1005.63,WARN_TEMP,,
2024-01-01 00:40:00,EXC006,QLD001,68.4,23.68,1008.28,WARN_VIB,,
2024-01-01 00:45:00,TRK008,WA001,65.5,20.69,1012.42,WARN_TEMP,-22.34367181938536,117.12109534623349
2024-01-01 00:50:00,TRK015,NSW001,93.2,7.86,1013.85,,-32.45132802534685,151.23130350946062
2024-01-01 00:55:00,TRK006,QLD001,103.3,110.48,1010.58,,,
2024-01-01 01:00:00,TRK010,NSW001,71.9,28.84,1015.22,,-32.45472110831079,151.23427211416058
2024-01-01 01:05:00,TRK012,QLD001,74.5,23.3,1014.66,WARN_VIB,,
2024-01-01 01:10:00,TRK005,NSW001,93.0,15.58,1009.12,WARN_VIB,-32.45159469606728,151.23829735264198
2024-01-01 01:10:00,TRK013,NSW001,86.3,10.62,1010.88,WARN_VIB,-32.45562156955151,151.2362688022882
2024-01-01 01:20:00,CRU002,NSW001,64.0,17.85,1010.78,WARN_TEMP,,
2024-01-01 01:25:00,TRK005,NSW001,,24.62,1016.57,,-32.46481348407016,151.2376796549903
2024-01-01 01:30:00,TRK014,QLD001,,21.15,1009.61,CRITICAL_ENGINE,,
2024-01-01 01:35:00,TRK004,WA001,92.2,16.57,1018.24,,-22.346737385098933,117.13062698209524
2024-01-01 01:40:00,TRK002,NSW001,,117.05,1018.49,,-32.45857171884095,151.2341271683594
2024-01-01 01:45:00,TRK002,WA001,119.1,16.38,1014.73,CRITICAL_ENGINE,-22.335691546210146,117.12451536646812
2024-01-01 01:50:00,TRK005,WA001,118.1,23.7,1011.57,WARN_VIB,-22.346064229657824,117.13178774261665
2024-01-01 01:55:00,TRK002,NSW001,71.1,10.88,1012.7,WARN_VIB,-32.461775693044224,151.23639038307067
2024-01-01 02:00:00,TRK014,NSW001,91.4,22.9,1014.39,WARN_TEMP,-32.46408243435745,151.23741001577676
2024-01-01 02:05:00,CNV001,WA001,97.3,18.44,1017.56,,,
2024-01-01 02:10:00,TRK003,WA001,69.5,20.29,1022.87,CRITICAL_ENGINE,-22.345021186147957,117.12675726407426
2024-01-01 02:15:00,CRU001,WA001,,7.68,1019.03,,,
2024-01-01 02:20:00,TRK007,NSW001,101.2,11.28,1023.08,,-32.464854030645746,151.23297151545128
2024-01-01 02:25:00,TRK001,QLD001,,23.53,1020.02,WARN_TEMP,,
2024-01-01 02:30:00,TRK004,WA001,,5.9,1018.69,WARN_VIB,-22.352638124288653,117.11594891038564
2024-01-01 02:35:00,CNV002,WA001,,7.57,1023.3,WARN_TEMP,,
2024-01-01 02:40:00,CRU003,WA001,,25.0,1017.77,WARN_TEMP,,
2024-01-01 02:45:00,CRU003,QLD001,,23.38,1018.98,,,
2024-01-01 02:50:00,TRK004,QLD001,,25.41,1021.6,,,
2024-01-01 02:55:00,TRK008,WA001,71.6,29.17,1020.29,CRITICAL_ENGINE,-22.34541188648944,117.12699036236721
2024-01-01 03:00:00,TRK011,WA001,118.2,90.62,1019.08,WARN_TEMP,-22.348686257766406,117.12912856356408
2024-01-01 03:05:00,EXC002,WA001,94.6,5.04,1027.76,WARN_VIB,-22.34186285706171,117.13220526240795
2024-01-01 03:10:00,TRK007,QLD001,116.9,21.58,1020.25,,,
2024-01-01 03:15:00,CRU001,QLD001,101.8,21.62,1023.29,CRITICAL_ENGINE,,
2024-01-01 03:20:00,EXC005,NSW001,92.9,15.75,1025.8,CRITICAL_ENGINE,-32.46025501540527,151.23333572033675
2024-01-01 03:25:00,EXC002,QLD001,,21.47,1023.34,CRITICAL_ENGINE,,
2024-01-01 03:30:00,TRK011,WA001,,10.62,1022.99,,-22.354675725638145,117.13307872045564
2024-01-01 03:35:00,CNV001,WA001,113.2,14.6,1025.5,,,
2024-01-01 03:40:00,TRK001,WA001,,22.4,1026.65,WARN_VIB,-22.3506160344068,117.13036672694703
