cycle_id,truck_id,excavator_id,site_id,load_time,dump_time,tonnes,distance_km,fuel_litres
CYC000001,TRK009,EXC005,NSW001,2024-10-24 11:40:00,2024-10-24 12:34:28,245.03,2.3km,106.64
CYC000002,TRK012,EXC006,QLD001,2024-08-08 15:00:00,2024-08-08 15:43:38,334.01,3.87,107.04
CYC000003,TRK005,EXC003,WA001,2024-03-09 21:44:00,2024-03-09 22:41:43,257.94,2.17,112.4
CYC000004,TRK013,EXC001,WA001,2024-06-29 13:29:00,2024-06-29 14:15:56,287.27,6.5,191.09
CYC000005,TRK011,EXC004,NSW001,2024-12-08 21:11:00,2024-12-08 22:03:04,296.69,6.66,184.76
CYC000006,TRK005,EXC002,WA001,2024-02-01 18:22:00,,350.69,5.3,140.64
CYC000007,TRK006,EXC003,WA001,2024-03-22 04:56:00,2024-03-22 05:49:31,211.85,1.84,100.82
CYC000008,TRK010,EXC006,QLD001,2024-01-04 22:18:00,2024-01-04 23:14:50,214.89,2.75,195.3
CYC000009,TRK005,EXC004,QLD001,2024-02-14 06:15:00,2024-02-14 07:13:56,350.21,3.81,91.12
CYC000010,TRK007,EXC003,NSW001,2024-10-19 02:48:00,2024-10-19 03:43:18,263.48,2.4km,237.38
CYC000011,TRK015,EXC004,WA001,2024-09-08 08:48:00,2024-09-08 09:18:57,226.7,5.02,85.89
CYC000012,TRK002,EXC005,QLD001,2024-12-21 03:34:00,2024-12-21 04:28:34,397.84,2.42,142.18
CYC000013,TRK015,EXC004,WA001,2024-08-24 23:18:00,2024-08-25 00:14:22,382.41,6.28,144.96
CYC000014,TRK004,EXC002,WA001,2024-11-22 22:37:00,2024-11-22 23:24:39,201.02,5.2km,101.99
CYC000015,TRK002,EXC001,WA001,2024-01-12 09:26:00,2024-01-12 10:01:39,327.65,2.4,187.42
CYC000016,TRK006,EXC005,NSW001,2024-02-18 11:29:00,2024-02-18 12:26:29,324.28,1.7km,113.12
CYC000017,TRK009,EXC001,WA001,2024-05-06 07:04:00,2024-05-06 07:59:50,254.61,4.12,243.71
CYC000018,TRK013,EXC002,NSW001,2024-10-21 14:45:00,2024-10-21 15:42:54,256.88,4.91,130.48
CYC000019,TRK008,EXC004,QLD001,2024-11-20 00:39:00,2024-11-20 01:17:18,255.72,7.36,189.05
CYC000020,TRK006,EXC002,QLD001,2024-01-31 03:39:00,,254.6,4.6km,216.43
CYC000021,TRK013,EXC006,WA001,2024-05-05 19:59:00,2024-05-05 20:45:35,342.09,3.88,80.93
CYC000022,TRK003,EXC006,WA001,2024-07-31 20:18:00,2024-07-31 21:08:19,333.45,2.68,161.13
CYC000023,TRK005,EXC004,WA001,2024-02-23 03:53:00,2024-02-23 04:19:29,378.03,4.01,-88.93
CYC000024,TRK014,EXC006,QLD001,2024-09-04 06:14:00,2024-09-04 06:38:28,289.8,6.43,87.56
CYC000025,TRK002,EXC005,WA001,2024-03-06 10:44:00,2024-03-06 11:29:14,286.82,4.22,180.43
CYC000026,TRK002,EXC005,QLD001,2024-06-05 00:37:00,2024-06-05 01:01:30,383.74,3.29,119.5
CYC000027,TRK002,EXC005,NSW001,2024-09-07 04:34:00,2024-09-07 05:09:15,266.41,6.4,103.3
CYC000028,TRK004,EXC005,QLD001,2024-05-23 05:38:00,2024-05-23 06:15:04,265.89,3.78,171.38
CYC000029,TRK014,EXC001,QLD001,2024-04-25 21:25:00,2024-04-25 22:15:30,331.64,3.65,129.02
