work_order_id,equipment_id,site_id,open_time,close_time,failure_type,parts_cost_aud,labor_hours,priority
WO00001,TRK010,NSW001,2024-01-27 07:00:00,2024-01-28 20:05:00,Engine Failure,"$178,486.00",37.02,Medium
WO00002,TRK013,WA001,2024-10-23 07:00:00,2024-10-23 11:39:18,sensor malfunction,"$6,665.31",3.08,high
WO00003,TRK009,NSW001,2024-12-11 21:00:00,,brake system,"$29,173.76",5.82,HIGH
WO00004,EXC005,WA001,2024-12-22 12:00:00,2024-12-24 11:27:31,Belt Replacement,"$181,624.00",45.44,high
WO00005,TRK005,WA001,2024-04-23 21:00:00,,Coolant System,29774.71,41.88,LOW
WO00006,TRK002,QLD001,2024-10-23 06:00:00,2024-10-25 04:27:41,Brake System,"$4,640.58",27.24,Medium
WO00007,TRK015,NSW001,2024-10-16 23:00:00,,belt replacement,45224.75,4.63,Medium
WO00008,TRK009,NSW001,2024-12-06 01:00:00,2024-12-06 23:59:12,Electrical Fault,"$47,536.28",12.26,MEDIUM
WO00009,TRK009,NSW001,2024-10-02 10:00:00,2024-10-03 14:58:15,Electrical Fault,16703.82,19.64,MEDIUM
WO00010,TRK008,QLD001,2024-07-23 17:00:00,2024-07-24 03:38:17,engine failure,19496.99,10.19,HIGH
WO00011,EXC002,NSW001,2024-12-14 17:00:00,2024-12-16 14:45:05,brake system,"$13,542.88",57.84,HIGH
WO00012,TRK004,NSW001,2024-05-29 20:00:00,2024-05-31 02:37:56,Belt Replacement,"$21,542.32",26.84,Medium
WO00013,CRU002,WA001,2024-04-13 08:00:00,,Hydraulic Leak,13777.58,12.84,LOW
WO00014,TRK001,NSW001,2024-06-01 10:00:00,2024-06-01 21:32:41,Sensor Malfunction,7941.21,14.12,Medium
WO00015,EXC003,NSW001,2024-11-28 08:00:00,2024-11-29 05:40:39,BRAKE SYSTEM,"$40,854.06",24.15,HIGH
WO00016,CNV001,NSW001,2024-03-01 05:00:00,2024-03-01 17:38:34,Sensor Malfunction,30729.20,9.56,HIGH
WO00017,TRK015,QLD001,2024-08-21 08:00:00,2024-08-22 17:55:28,Bearing Failure,6165.86,20.38,LOW
WO00018,TRK008,QLD001,2024-05-23 20:00:00,2024-05-24 06:22:45,BRAKE SYSTEM,22009.23,11.81,MEDIUM
WO00019,TRK005,WA001,2024-05-25 18:00:00,2024-05-27 03:37:47,Bearing Failure,25623.95,47.28,LOW
WO00020,CNV003,NSW001,2024-03-13 08:00:00,2024-03-14 09:42:29,Brake System,41746.31,19.41,HIGH
WO00021,EXC004,QLD001,2024-09-13 17:00:00,2024-09-15 00:03:07,hydraulic leak,"$194,057.00",30.64,MEDIUM
WO00022,CRU002,WA001,2024-11-01 20:00:00,2024-11-03 05:19:02,BELT REPLACEMENT,24233.83,19.4,Medium
WO00023,TRK006,WA001,2024-08-07 10:00:00,2024-08-08 16:55:03,Electrical Fault,"$183,192.00",37.02,Medium
WO00024,TRK008,WA001,2024-05-24 09:00:00,,electrical fault,"$165,770.00",43.97,high
WO00025,CNV002,WA001,2024-05-07 04:00:00,2024-05-08 10:45:28,Belt Replacement,40086.79,41.52,MEDIUM
WO00026,TRK014,NSW001,2024-10-29 01:00:00,2024-10-30 17:18:32,transmission issue,1332.21,21.47,HIGH
WO00027,TRK015,WA001,2024-02-21 13:00:00,2024-02-22 12:13:45,Coolant System,31641.93,23.29,HIGH
WO00028,TRK011,QLD001,2024-06-14 01:00:00,,Engine Failure,"$114,955.00",9.19,HIGH
WO00029,CNV002,NSW001,2024-10-20 19:00:00,2024-10-22 18:36:33,Engine Failure,44322.22,44.06,HIGH
WO00030,TRK002,WA001,2024-01-08 02:00:00,2024-01-08 23:39:06,Hydraulic Leak,47287.24,17.47,LOW
WO00031,TRK003,QLD001,2024-08-01 09:00:00,2024-08-01 13:01:21,Hydraulic Leak,27344.97,3.82,MEDIUM
WO00032,TRK015,QLD001,2024-03-15 15:00:00,2024-03-16 12:54:55,Hydraulic Leak,33719.58,24.67,HIGH
WO00033,EXC002,NSW001,2024-12-13 03:00:00,2024-12-14 01:07:45,Bearing Failure,24346.97,28.7,HIGH
WO00034,EXC006,WA001,2024-01-15 01:00:00,2024-01-15 10:46:20,Coolant System,17815.59,9.94,HIGH
WO00035,EXC006,WA001,2024-07-03 13:00:00,2024-07-04 16:35:03,brake system,"$36,357.08",41.0,MEDIUM
WO00036,TRK015,NSW001,2024-03-22 23:00:00,2024-03-23 16:28:07,Sensor Malfunction,"$134,443.00",11.74,MEDIUM
WO00037,TRK013,QLD001,2024-03-04 01:00:00,2024-03-05 04:02:07,Belt Replacement,7199.76,40.31,HIGH
WO00038,EXC004,WA001,2024-11-24 08:00:00,2024-11-25 20:48:48,Sensor Malfunction,24546.05,32.94,Medium
WO00039,TRK011,NSW001,2024-08-25 16:00:00,2024-08-26 20:41:56,Hydraulic Leak,"$12,594.34",32.95,high
WO00040,TRK013,QLD001,2024-01-09 22:00:00,2024-01-11 18:21:53,belt replacement,12467.97,38.88,MEDIUM
WO00041,TRK008,QLD001,2024-08-05 21:00:00,2024-08-07 15:51:32,engine failure,46809.57,26.75,LOW
WO00042,TRK010,WA001,2024-05-24 01:00:00,2024-05-24 20:57:07,Bearing Failure,37161.93,10.62,MEDIUM
WO00043,CRU002,NSW001,2024-02-09 15:00:00,2024-02-11 04:06:20,Engine Failure,17746.48,48.24,LOW
WO00044,EXC005,QLD001,2024-11-26 19:00:00,2024-11-28 11:37:18,Bearing Failure,43361.95,58.7,LOW
WO00045,EXC001,NSW001,2024-10-12 08:00:00,2024-10-14 02:30:23,Electrical Fault,32533.45,37.57,MEDIUM
WO00046,CNV001,WA001,2024-12-15 14:00:00,2024-12-17 09:11:35,Bearing Failure,8629.23,45.54,MEDIUM
WO00047,EXC003,WA001,2024-11-15 14:00:00,2024-11-15 21:24:01,Coolant System,41833.02,8.62,LOW
WO00048,CNV002,QLD001,2024-04-04 16:00:00,2024-04-05 04:26:15,Coolant System,19456.30,10.7,LOW
WO00049,TRK012,NSW001,2024-07-13 19:00:00,2024-07-14 03:00:20,transmission issue,23403.30,4.12,HIGH
WO00050,TRK001,WA001,2024-10-24 19:00:00,2024-10-25 23:08:25,SENSOR MALFUNCTION,34370.22,20.15,Medium
WO00051,EXC002,WA001,2024-10-27 02:00:00,2024-10-27 08:11:08,tire damage,"$13,314.47",3.67,high
WO00052,EXC002,WA001,2024-07-30 09:00:00,,Hydraulic Leak,"$4,075.24",30.08,MEDIUM
WO00053,EXC004,WA001,2024-06-29 09:00:00,2024-06-30 17:31:32,Electrical Fault,20931.05,17.25,high
WO00054,EXC002,QLD001,2024-05-13 12:00:00,,transmission issue,4450.12,33.41,high
WO00055,CRU003,NSW001,2024-09-13 01:00:00,,hydraulic leak,15822.38,34.36,high
WO00056,TRK007,WA001,2024-08-03 20:00:00,2024-08-04 16:36:00,Transmission Issue,29818.65,26.48,MEDIUM
WO00057,TRK008,WA001,2024-01-17 16:00:00,2024-01-19 07:31:12,BELT REPLACEMENT,"$38,254.66",20.37,MEDIUM
WO00058,TRK004,QLD001,2024-07-31 01:00:00,2024-07-31 05:47:19,Tire Damage,38890.55,5.51,high
WO00059,TRK001,QLD001,2024-02-01 21:00:00,,Coolant System,9874.44,22.5,HIGH
WO00060,TRK010,NSW001,2024-12-08 00:00:00,2024-12-09 01:07:52,Tire Damage,36010.30,35.63,LOW
WO00061,EXC001,QLD001,2024-09-04 10:00:00,,Belt Replacement,22586.04,5.57,high
WO00062,TRK002,NSW001,2024-07-20 00:00:00,2024-07-21 00:22:46,transmission issue,36235.16,32.05,HIGH
WO00063,TRK010,QLD001,2024-04-27 18:00:00,2024-04-29 16:59:32,Belt Replacement,27941.83,59.35,HIGH
WO00064,TRK006,QLD001,2024-01-22 06:00:00,2024-01-22 23:57:54,BELT REPLACEMENT,48186.11,21.25,HIGH
WO00065,CRU002,QLD001,2024-04-07 05:00:00,,Coolant System,4907.30,19.8,HIGH
WO00066,EXC004,NSW001,2024-01-09 10:00:00,2024-01-10 07:37:19,Tire Damage,"$41,452.04",25.66,high
WO00067,TRK001,WA001,2024-04-10 23:00:00,2024-04-12 03:34:57,ENGINE FAILURE,"$22,239.78",16.68,MEDIUM
WO00068,TRK001,WA001,2024-03-17 14:00:00,2024-03-18 17:10:09,belt replacement,"$14,758.90",27.66,high
WO00069,EXC003,QLD001,2024-06-17 23:00:00,2024-06-19 17:45:42,Hydraulic Leak,8554.68,37.73,high
WO00070,TRK013,QLD001,2024-06-04 10:00:00,2024-06-06 06:05:36,belt replacement,"$116,783.00",58.22,high
WO00071,TRK012,WA001,2024-07-24 05:00:00,2024-07-25 03:54:01,belt replacement,2068.76,19.03,high
WO00072,EXC002,QLD001,2024-04-17 01:00:00,2024-04-18 05:05:57,TIRE DAMAGE,"$43,944.87",23.76,MEDIUM
WO00073,TRK001,NSW001,2024-03-29 15:00:00,2024-03-31 11:01:26,Engine Failure,24900.15,60.99,HIGH
WO00074,TRK015,WA001,2024-04-21 20:00:00,2024-04-22 20:16:11,HYDRAULIC LEAK,9993.87,18.3,LOW
WO00075,TRK002,QLD001,2024-12-20 13:00:00,2024-12-21 21:34:06,Brake System,21827.29,30.06,LOW
WO00076,TRK015,WA001,2024-08-19 20:00:00,2024-08-21 12:49:16,tire damage,13746.25,57.24,MEDIUM
WO00077,EXC003,NSW001,2024-06-10 07:00:00,2024-06-11 09:46:32,Hydraulic Leak,44282.66,27.11,HIGH
WO00078,TRK010,NSW001,2024-03-12 21:00:00,2024-03-14 18:39:04,bearing failure,"$9,727.26",56.42,LOW
WO00079,TRK012,QLD001,2024-01-15 20:00:00,2024-01-16 17:13:23,Bearing Failure,40475.57,27.34,Medium
WO00080,TRK014,NSW001,2024-12-03 21:00:00,2024-12-04 10:56:25,Engine Failure,13430.41,19.41,HIGH
WO00081,TRK004,NSW001,2024-06-06 11:00:00,2024-06-07 09:20:34,Electrical Fault,41363.44,26.37,high
WO00082,CRU003,QLD001,2024-08-02 18:00:00,2024-08-04 06:20:28,Transmission Issue,4489.34,40.88,MEDIUM
WO00083,TRK001,WA001,2024-07-14 17:00:00,,bearing failure,"$7,522.28",65.62,Medium
WO00084,EXC001,WA001,2024-03-02 21:00:00,2024-03-04 06:55:01,electrical fault,7724.43,45.77,high
WO00085,TRK007,WA001,2024-12-27 11:00:00,2024-12-28 20:19:08,BELT REPLACEMENT,48656.80,41.46,HIGH
WO00086,TRK015,QLD001,2024-03-11 13:00:00,2024-03-13 03:52:15,Sensor Malfunction,5064.61,46.64,LOW
WO00087,CNV002,QLD001,2024-04-15 13:00:00,2024-04-17 09:48:34,Transmission Issue,"$31,224.49",37.67,Medium
WO00088,TRK001,QLD001,2024-01-27 21:00:00,2024-01-29 17:36:13,Belt Replacement,35162.02,40.79,high
WO00089,CRU003,NSW001,2024-01-04 07:00:00,2024-01-04 13:45:40,Engine Failure,"$42,880.16",8.36,HIGH
WO00090,CRU003,QLD001,2024-10-07 22:00:00,2024-10-09 09:24:49,Sensor Malfunction,9518.40,47.32,MEDIUM
WO00091,TRK013,NSW001,2024-07-28 22:00:00,2024-07-29 17:54:10,sensor malfunction,"$12,618.28",24.78,HIGH
WO00092,CNV002,WA001,2024-05-21 07:00:00,2024-05-22 14:10:50,Transmission Issue,42253.35,20.85,high
WO00093,TRK013,QLD001,2024-07-08 06:00:00,2024-07-09 18:40:52,Belt Replacement,"$23,418.33",50.09,LOW
WO00094,CNV002,WA001,2024-02-25 14:00:00,,BELT REPLACEMENT,28398.33,27.7,Medium
WO00095,EXC005,WA001,2024-08-13 05:00:00,,Belt Replacement,16085.94,46.44,Medium
WO00096,CRU001,QLD001,2024-11-09 00:00:00,2024-11-10 19:39:38,Bearing Failure,44139.31,23.44,Medium
WO00097,EXC002,NSW001,2024-03-20 01:00:00,2024-03-21 05:34:33,ENGINE FAILURE,"$28,548.40",34.0,high
WO00098,CRU001,QLD001,2024-03-06 02:00:00,2024-03-07 20:14:47,Belt Replacement,1461.88,48.77,MEDIUM
WO00099,TRK005,WA001,2024-05-05 22:00:00,2024-05-07 04:40:42,Belt Replacement,"$10,430.76",19.6,LOW
WO00100,EXC006,NSW001,2024-03-21 20:00:00,2024-03-23 07:03:40,Brake System,"$150,130.00",49.04,HIGH
WO00101,EXC002,WA001,2024-04-25 16:00:00,2024-04-27 12:09:35,Sensor Malfunction,"$9,210.07",43.21,LOW
WO00102,EXC003,NSW001,2024-03-23 05:00:00,2024-03-23 15:56:13,Electrical Fault,7698.11,11.34,MEDIUM
WO00103,TRK011,QLD001,2024-09-14 05:00:00,2024-09-15 22:14:01,Coolant System,37818.95,43.07,MEDIUM
WO00104,CRU001,NSW001,2024-10-10 05:00:00,2024-10-10 17:24:57,Coolant System,37405.48,14.99,HIGH
WO00105,EXC001,NSW001,2024-10-04 09:00:00,2024-10-06 00:44:05,Coolant System,14681.91,43.43,LOW
WO00106,TRK015,QLD001,2024-06-30 18:00:00,2024-07-01 01:26:09,Hydraulic Leak,24303.22,6.03,MEDIUM
WO00107,TRK001,QLD001,2024-05-20 21:00:00,2024-05-21 06:28:09,Electrical Fault,18557.24,13.59,HIGH
WO00108,TRK002,NSW001,2024-07-16 13:00:00,2024-07-17 03:09:11,Bearing Failure,13533.10,21.18,MEDIUM
WO00109,TRK009,QLD001,2024-09-29 05:00:00,2024-09-30 19:34:18,Sensor Malfunction,27464.66,57.39,high
WO00110,TRK004,NSW001,2024-08-29 13:00:00,2024-08-30 17:53:37,Sensor Malfunction,33304.20,26.41,LOW
WO00111,CNV002,WA001,2024-10-24 05:00:00,2024-10-25 23:06:13,Belt Replacement,"$43,460.58",27.21,LOW
WO00112,CRU002,NSW001,2024-09-15 16:00:00,2024-09-16 10:17:28,transmission issue,"$14,748.68",25.77,high
WO00113,TRK004,WA001,2024-05-27 19:00:00,2024-05-28 02:39:11,Hydraulic Leak,14257.32,7.52,high
WO00114,TRK008,NSW001,2024-11-11 08:00:00,,engine failure,43139.46,5.66,HIGH
WO00115,TRK003,QLD001,2024-03-03 09:00:00,2024-03-04 06:48:50,COOLANT SYSTEM,19757.36,23.53,HIGH
WO00116,EXC003,NSW001,2024-08-31 08:00:00,2024-09-01 01:10:25,coolant system,14307.66,16.05,LOW
WO00117,TRK006,WA001,2024-11-19 05:00:00,2024-11-20 04:18:24,sensor malfunction,28523.40,28.59,LOW
WO00118,EXC003,QLD001,2024-11-02 17:00:00,2024-11-02 20:32:57,Bearing Failure,"$26,653.55",2.83,MEDIUM
