date,site_id,ore_tonnes,waste_tonnes,plan_tonnes,recovery_pct
2024-01-01,WA001,9903.13,"13,064.43",0,83.41
2024-01-01,QLD001,10177.27,"12,464.82","10,793.45",92.18
2024-01-01,NSW001,"13,021.11",17305.71,12861.99,93.55
2024-01-02,WA001,"8,656.28",21765.33,9191.85,92.41
2024-01-02,QLD001,13124.31,"20,362.26",14263.03,89.52
2024-01-02,NSW001,8118.29,20103.85,7887.04,83.04
2024-01-03,WA001,10690.92,19961.87,10991.15,85.61
2024-01-03,QLD001,9280.09,"12,646.90",9617.76,85.34
2024-01-03,NSW001,11073.88,24630.71,"11,340.41",82.27
2024-01-04,WA001,14790.28,13236.1,"14,194.24",86.71
2024-01-04,QLD001,"12,219.49",21044.79,12321.32,86.59
2024-01-04,NSW001,10815.65,"21,228.16",11630.4,84.81
2024-01-05,WA001,10550.75,14805.29,11143.87,89.09
2024-01-05,QLD001,14072.92,23911.16,"15,287.43",84.71
2024-01-05,NSW001,8344.61,16814.16,8932.61,86.57
2024-01-06,WA001,8372.22,24936.53,8437.43,82.75
2024-01-06,QLD001,10538.64,13062.45,10653.95,90.04
2024-01-06,NSW001,12140.0,"17,322.22",12748.02,91.58
2024-01-07,WA001,14893.79,24670.57,15644.59,83.75
2024-01-07,QLD001,11956.07,19492.65,0.00,88.46
2024-01-07,NSW001,"13,902.77",17353.38,14256.04,92.43
2024-01-08,WA001,13668.41,13635.94,14885.69,87.48
2024-01-08,QLD001,13362.42,18055.11,"13,532.32",88.24
2024-01-08,NSW001,14073.94,13834.06,14708.71,86.95
2024-01-09,WA001,10761.69,"20,107.90",11181.81,88.0
2024-01-09,QLD001,12974.4,16758.36,14030.77,82.51
2024-01-09,NSW001,14483.97,20296.97,14493.16,87.06
2024-01-10,WA001,"9,219.74",13388.02,10025.95,83.22
2024-01-10,QLD001,13826.37,16793.79,14053.57,92.14
2024-01-10,NSW001,12922.73,"13,867.43","12,853.15",83.81
2024-01-11,WA001,8154.8,"20,259.02",0,82.01
2024-01-11,QLD001,9670.2,17345.96,10077.64,89.71
2024-01-11,NSW001,"8,396.42",22724.83,"8,798.35",87.59
2024-01-12,WA001,13984.49,24377.35,"13,877.78",89.83
2024-01-12,QLD001,13245.39,13807.43,13920.37,86.24
2024-01-12,NSW001,"9,917.71",14805.39,"10,088.52",87.17
2024-01-13,WA001,9569.37,14504.63,10073.7,92.98
2024-01-13,QLD001,13843.32,-18708.9,13860.29,91.03
2024-01-13,NSW001,13506.02,18642.81,14282.66,84.72
2024-01-14,WA001,14107.35,14254.93,13752.11,83.65
2024-01-14,QLD001,13344.81,18181.96,13812.16,93.5
2024-01-14,NSW001,"10,669.38",17777.23,"11,555.89",89.6
2024-01-15,WA001,13833.79,22465.6,14683.72,93.28
2024-01-15,QLD001,14173.34,24342.27,"15,538.12",93.36
2024-01-15,NSW001,"13,776.63",20179.1,14642.83,85.41
2024-01-16,WA001,11502.62,24202.94,11530.1,92.81
2024-01-16,QLD001,9798.32,20320.02,10348.78,83.2
2024-01-16,NSW001,13862.34,20538.81,"15,207.90",82.56
2024-01-17,WA001,"10,726.14",13769.64,10470.55,91.25
2024-01-17,QLD001,"8,596.89",17964.66,8771.74,84.01
2024-01-17,NSW001,9309.51,12164.48,9538.85,88.91
2024-01-18,WA001,14997.73,22016.17,16181.12,84.37
2024-01-18,QLD001,14243.95,23624.3,15357.79,85.89
2024-01-18,NSW001,12556.31,19101.36,13606.55,92.26
2024-01-19,WA001,8122.23,23780.83,"8,641.75",93.78
2024-01-19,QLD001,"12,269.54",18937.41,11810.15,90.26
2024-01-19,NSW001,12719.71,13417.08,13341.49,87.56
2024-01-20,WA001,9610.26,"24,128.47",10363.52,90.21
2024-01-20,QLD001,9131.92,18971.05,9281.09,93.9
2024-01-20,NSW001,"11,670.99",21552.26,11785.04,82.42
2024-01-21,WA001,13824.47,21223.81,"13,174.79",91.92
2024-01-21,QLD001,13572.38,24199.95,"13,491.23",85.29
2024-01-21,NSW001,"9,123.75","22,228.13",8879.84,88.05
2024-01-22,WA001,10492.26,22614.72,"10,367.93",82.53
2024-01-22,QLD001,10940.38,14829.03,10943.93,86.82
2024-01-22,NSW001,10313.01,18041.38,11084.42,92.05
2024-01-23,WA001,13510.25,13086.1,12855.96,84.35
2024-01-23,QLD001,9914.33,20048.87,9795.2,83.23
2024-01-23,NSW001,13482.79,-23728.35,"13,254.98",84.35
2024-01-24,WA001,10871.47,"22,737.27",11745.47,85.6
2024-01-24,QLD001,11587.72,24755.59,"12,650.80",83.47
2024-01-24,NSW001,"10,364.04",24275.54,11058.84,86.48
2024-01-25,WA001,9737.48,"13,419.27",9274.2,86.24
2024-01-25,QLD001,8178.54,"19,391.74","8,374.83",84.53
2024-01-25,NSW001,12258.16,18084.69,12495.81,82.8
2024-01-26,WA001,9714.97,13542.25,9512.21,91.84
2024-01-26,QLD001,9388.62,"17,697.46",9224.3,91.69
2024-01-26,NSW001,"8,560.55",14772.48,9314.24,83.63
2024-01-27,WA001,11116.78,14330.27,11101.86,89.33
2024-01-27,QLD001,"11,986.19","15,561.53",11691.77,93.43
2024-01-27,NSW001,"8,495.37",15105.35,8132.67,87.24
2024-01-28,WA001,12868.31,13581.37,13573.16,90.66
2024-01-28,QLD001,11157.82,12978.0,"11,609.40",93.5
2024-01-28,NSW001,13507.83,17912.19,13430.35,85.71
2024-01-29,WA001,"8,472.14",22728.69,"8,836.05",92.13
2024-01-29,QLD001,9113.46,"24,360.59",9975.79,91.37
2024-01-29,NSW001,14268.21,15033.93,14531.06,89.69
2024-01-30,WA001,12297.21,21509.48,12475.94,88.88
2024-01-30,QLD001,12481.53,"19,723.28",12097.14,84.09
2024-01-30,NSW001,8069.82,22827.64,8575.05,92.77
2024-01-31,WA001,"14,202.42",22902.31,14314.64,84.05
2024-01-31,QLD001,14236.02,"13,869.29",15105.25,88.5
2024-01-31,NSW001,14595.26,16278.52,14970.88,82.3
2024-02-01,WA001,"13,694.14",18900.19,14410.57,93.58
2024-02-01,QLD001,14135.71,12703.42,"13,995.18",91.59
2024-02-01,NSW001,11670.18,18248.93,11387.71,87.61
2024-02-02,WA001,12389.54,"20,131.77",13438.8,85.92
2024-02-02,QLD001,13537.98,"21,631.56",14035.75,87.26
2024-02-02,NSW001,12660.27,19663.65,"12,321.35",84.72
2024-02-03,WA001,10892.38,"12,068.33",10685.07,91.82
2024-02-03,QLD001,10257.79,18191.88,"10,729.58",87.82
2024-02-03,NSW001,13289.59,12318.7,14258.35,85.24
2024-02-04,WA001,11502.4,"18,769.53",11757.91,89.92
2024-02-04,QLD001,10134.71,"17,635.20",10602.18,84.17
2024-02-04,NSW001,11724.7,16319.03,11492.79,92.45
2024-02-05,WA001,9081.11,15059.25,9967.55,93.69
2024-02-05,QLD001,10235.14,21727.79,10451.01,91.17
2024-02-05,NSW001,"8,646.72","18,651.74",8375.3,87.17
2024-02-06,WA001,12734.6,23085.09,"13,248.04",88.21
2024-02-06,QLD001,8222.83,17696.61,8267.8,91.36
2024-02-06,NSW001,"9,917.20",-22873.17,9728.32,92.93
2024-02-07,WA001,8482.46,"12,624.87",8480.83,92.63
2024-02-07,QLD001,13229.09,21999.27,12782.84,83.94
2024-02-07,NSW001,14068.88,"12,657.86","14,100.38",85.82
2024-02-08,WA001,14673.7,18667.56,"15,465.60",86.02
2024-02-08,QLD001,9156.86,"13,390.42",8775.23,87.3
2024-02-08,NSW001,"14,935.80",20144.8,"15,815.72",89.93
2024-02-09,WA001,8257.54,18514.34,"8,720.11",83.7
2024-02-09,QLD001,"11,840.87",23136.66,11852.23,83.54
2024-02-09,NSW001,12297.57,12126.91,"11,931.91",84.2
2024-02-10,WA001,9023.21,12621.58,"8,663.20",89.77
2024-02-10,QLD001,9865.67,19847.58,10151.39,82.7
2024-02-10,NSW001,"8,270.97",17123.22,8457.44,89.74
2024-02-11,WA001,"13,330.92",16687.29,14389.87,83.18
2024-02-11,QLD001,"10,090.52",19116.73,"10,743.77",86.31
2024-02-11,NSW001,10168.84,20995.96,10760.3,84.21
2024-02-12,WA001,"14,746.91","16,292.72","14,259.32",86.17
2024-02-12,QLD001,10169.92,"18,062.28",10221.12,86.31
2024-02-12,NSW001,9734.02,18591.97,10281.71,92.54
2024-02-13,WA001,"10,399.62",13099.74,10595.24,84.8
2024-02-13,QLD001,9376.43,13247.54,8953.68,85.15
2024-02-13,NSW001,8309.73,16855.21,8608.15,85.9
2024-02-14,WA001,"14,170.75",17116.35,"15,051.54",83.05
2024-02-14,QLD001,13453.84,15082.17,13812.09,91.41
2024-02-14,NSW001,13200.52,"21,466.45",12927.24,82.1
2024-02-15,WA001,"8,412.87","24,451.70","9,208.54",93.57
2024-02-15,QLD001,9736.93,20463.82,10154.03,83.75
2024-02-15,NSW001,"13,455.50",21219.62,13197.84,91.71
2024-02-16,WA001,"9,911.71",16533.13,"10,488.59",82.34
2024-02-16,QLD001,11555.64,18047.07,11685.11,85.43
2024-02-16,NSW001,10809.18,23903.33,"10,605.78",88.86
2024-02-17,WA001,"12,681.84",14194.19,13947.17,88.02
2024-02-17,QLD001,"12,642.26",15905.06,"13,627.73",92.69
2024-02-17,NSW001,"12,543.49",24437.95,12278.39,90.92
2024-02-18,WA001,12323.79,20689.72,"12,256.55",83.04
2024-02-18,QLD001,11702.13,17806.81,11960.65,82.73
2024-02-18,NSW001,11817.18,23773.83,11461.66,90.22
2024-02-19,WA001,9141.44,22003.92,"9,014.17",84.37
2024-02-19,QLD001,11370.34,19602.59,12316.33,82.59
2024-02-19,NSW001,9088.63,17306.44,9955.89,92.97
2024-02-20,WA001,13088.03,20121.52,"12,559.88",88.34
2024-02-20,QLD001,12908.7,17245.31,13489.59,92.07
2024-02-20,NSW001,"11,603.25",13439.24,11210.13,91.63
2024-02-21,WA001,8740.39,21376.6,9224.94,92.83
2024-02-21,QLD001,13181.92,22314.98,13209.32,93.86
2024-02-21,NSW001,14172.37,20407.17,"14,010.06",84.47
2024-02-22,WA001,13742.03,14674.08,"14,731.73",87.56
2024-02-22,QLD001,"14,976.27",22134.68,14974.21,90.18
2024-02-22,NSW001,"14,269.49",16678.91,14997.53,90.98
2024-02-23,WA001,"11,868.12",17813.02,12248.16,84.36
2024-02-23,QLD001,9496.54,14675.86,10195.2,85.72
2024-02-23,NSW001,10541.29,"16,171.00",11067.54,91.9
2024-02-24,WA001,13419.24,16311.12,"13,140.67",82.74
2024-02-24,QLD001,13690.0,12987.98,14247.64,92.93
2024-02-24,NSW001,8060.43,19030.17,7986.28,93.95
2024-02-25,WA001,10853.18,22289.24,11009.88,88.64
2024-02-25,QLD001,9504.17,18509.06,9397.83,86.46
2024-02-25,NSW001,14727.52,18911.07,"15,188.62",82.34
2024-02-26,WA001,11306.16,"15,087.15","11,869.33",93.85
2024-02-26,QLD001,"11,761.33","17,141.58",11236.85,91.25
2024-02-26,NSW001,"12,385.73",-21474.38,12155.34,90.38
2024-02-27,WA001,10194.61,15757.37,"9,840.74",86.05
2024-02-27,QLD001,13725.14,"12,411.86",13610.3,89.7
2024-02-27,NSW001,9014.52,"22,330.48","8,609.22",86.99
2024-02-28,WA001,"14,588.29","17,375.96",0,92.97
2024-02-28,QLD001,14579.19,20782.09,"15,256.10",93.49
2024-02-28,NSW001,12847.7,"21,132.03",0,87.9
2024-02-29,WA001,14953.88,24563.31,15236.27,90.71
2024-02-29,QLD001,10404.37,16153.04,10235.35,89.21
2024-02-29,NSW001,"8,478.42",14403.16,9272.03,85.57
2024-03-01,WA001,13008.73,"17,083.38",13572.01,90.78
2024-03-01,QLD001,"14,066.39",13692.69,"14,690.13",88.9
2024-03-01,NSW001,9395.52,16957.83,9018.46,92.72
2024-03-02,WA001,"8,189.36",24831.82,8805.87,84.72
2024-03-02,QLD001,14312.75,18219.4,15438.3,84.11
2024-03-02,NSW001,"9,423.79",21684.72,9723.97,83.97
2024-03-03,WA001,9716.39,"13,594.69","9,510.30",89.92
2024-03-03,QLD001,"14,184.53","17,156.78",15276.54,90.12
2024-03-03,NSW001,9061.11,18303.89,9797.83,87.22
2024-03-04,WA001,"13,066.54",24294.87,12593.18,90.92
2024-03-04,QLD001,8054.56,19012.38,"8,750.62",84.56
2024-03-04,NSW001,9654.93,"13,914.62","9,680.07",92.5
2024-03-05,WA001,8102.57,24698.17,8870.78,87.87
2024-03-05,QLD001,9365.93,22961.64,"9,425.67",82.1
2024-03-05,NSW001,"11,924.13","17,729.79","11,376.04",91.27
2024-03-06,WA001,"12,625.14",19151.68,13465.28,87.57
2024-03-06,QLD001,9266.47,13534.37,9293.29,84.18
2024-03-06,NSW001,11319.27,13366.82,10794.78,88.31
2024-03-07,WA001,10874.59,"12,606.67",11692.04,90.31
2024-03-07,QLD001,14708.88,"15,449.80",14098.36,84.92
2024-03-07,NSW001,"12,960.01","17,435.14","13,143.32",92.0
2024-03-08,WA001,14070.7,"13,947.74","14,731.30",87.31
2024-03-08,QLD001,8949.73,23597.83,"8,987.89",89.74
2024-03-08,NSW001,8743.47,18242.89,9250.33,88.23
2024-03-09,WA001,"10,759.12",22132.13,10474.62,90.61
2024-03-09,QLD001,11596.12,24420.35,12112.15,88.35
2024-03-09,NSW001,"12,834.92",19879.03,13553.39,87.15
2024-03-10,WA001,8472.06,17200.35,8078.73,90.23
2024-03-10,QLD001,12222.62,15874.92,13301.58,87.6
2024-03-10,NSW001,14030.38,24948.27,14773.53,91.32
2024-03-11,WA001,12153.74,14440.57,13255.75,83.72
2024-03-11,QLD001,"14,543.11",16811.22,14721.3,88.77
2024-03-11,NSW001,"9,439.90",-14264.82,"9,604.78",89.71
2024-03-12,WA001,10864.53,16531.43,10824.87,87.1
2024-03-12,QLD001,"10,305.31",22880.91,10722.37,83.4
2024-03-12,NSW001,"8,308.47","12,274.20",8585.02,88.53
2024-03-13,WA001,9917.3,20961.19,"9,478.59",91.76
2024-03-13,QLD001,8310.43,12713.34,8184.38,88.79
2024-03-13,NSW001,9194.91,24654.22,8801.15,91.66
2024-03-14,WA001,11571.66,21838.0,12707.06,88.03
2024-03-14,QLD001,9091.4,"24,394.02",0,93.27
2024-03-14,NSW001,14748.6,12329.77,15049.06,88.96
2024-03-15,WA001,14140.35,17375.06,15012.24,83.18
2024-03-15,QLD001,11010.23,"13,599.54",10945.37,87.52
2024-03-15,NSW001,12302.87,15016.4,13073.32,91.07
2024-03-16,WA001,"11,756.23",13557.14,11977.29,83.91
2024-03-16,QLD001,8859.9,16462.81,9372.73,87.48
2024-03-16,NSW001,12768.75,22164.03,13106.09,89.84
2024-03-17,WA001,11824.35,18492.89,12713.74,86.16
2024-03-17,QLD001,9469.97,20090.62,9395.81,87.26
2024-03-17,NSW001,12573.17,19308.62,12849.26,92.83
2024-03-18,WA001,8231.01,"22,976.37",8322.74,82.93
2024-03-18,QLD001,9060.36,12510.46,9820.08,82.43
2024-03-18,NSW001,11952.38,-14294.26,11639.69,89.7
2024-03-19,WA001,13220.76,"23,290.47",13478.97,88.89
2024-03-19,QLD001,11571.54,21318.72,"11,312.13",85.42
2024-03-19,NSW001,10412.64,14437.22,10829.2,89.86
2024-03-20,WA001,10211.96,13045.2,"10,081.09",85.18
2024-03-20,QLD001,8324.75,24357.48,"8,958.72",87.24
2024-03-20,NSW001,8921.03,"19,178.41","8,839.58",87.85
2024-03-21,WA001,14854.81,"18,794.42",15731.18,89.8
2024-03-21,QLD001,"13,015.00",21709.18,13671.49,92.32
2024-03-21,NSW001,14277.43,12819.06,15330.33,83.55
2024-03-22,WA001,14832.27,15366.63,15902.75,93.39
2024-03-22,QLD001,13191.98,17562.94,0.00,92.27
2024-03-22,NSW001,"8,577.77",-21306.13,9389.62,92.26
2024-03-23,WA001,"8,023.75",20139.72,7938.03,87.14
2024-03-23,QLD001,"8,231.53",22463.69,"8,476.02",82.25
2024-03-23,NSW001,10030.08,"22,513.33",10891.34,88.59
2024-03-24,WA001,11969.81,21618.94,13048.26,82.14
2024-03-24,QLD001,"13,162.71",13536.61,14253.82,83.06
2024-03-24,NSW001,14874.58,15818.61,"14,668.79",88.89
2024-03-25,WA001,13956.01,18039.14,14999.76,93.03
2024-03-25,QLD001,12639.72,15765.84,13121.04,90.95
2024-03-25,NSW001,11314.98,17677.68,11061.1,90.45
2024-03-26,WA001,14903.11,"14,883.64",15451.74,84.33
2024-03-26,QLD001,12362.16,20101.58,"12,827.15",91.07
2024-03-26,NSW001,11904.86,17191.54,11507.21,91.19
2024-03-27,WA001,13846.45,20828.69,14752.69,87.17
2024-03-27,QLD001,11940.9,21529.45,"11,417.72",88.5
2024-03-27,NSW001,"9,811.27",12705.73,"9,570.54",85.94
2024-03-28,WA001,12584.11,15646.55,"13,540.55",89.4
2024-03-28,QLD001,"10,171.93",13007.92,10009.05,83.75
2024-03-28,NSW001,8498.61,"22,001.38",8583.87,86.04
2024-03-29,WA001,"11,437.76",22377.62,12165.19,90.44
2024-03-29,QLD001,13086.93,15340.38,13295.76,93.1
2024-03-29,NSW001,9481.11,24265.38,9093.57,85.6
2024-03-30,WA001,14752.45,22359.97,14269.18,83.56
2024-03-30,QLD001,8552.88,23637.18,8630.13,87.73
2024-03-30,NSW001,14323.94,"18,994.67",15045.2,83.38
2024-03-31,WA001,11443.86,-17744.82,12495.41,91.46
2024-03-31,QLD001,9374.31,20337.57,10174.69,87.62
2024-03-31,NSW001,8496.2,"13,874.80",0.00,87.07
2024-04-01,WA001,11010.62,15929.34,10589.62,87.04
2024-04-01,QLD001,"12,700.37",23367.77,"13,847.26",83.88
2024-04-01,NSW001,"9,916.78",16486.73,"10,624.34",83.72
2024-04-02,WA001,13862.32,22440.61,15237.41,88.51
2024-04-02,QLD001,"11,206.74",17266.89,11070.22,82.04
2024-04-02,NSW001,12037.05,"20,365.27","11,967.76",90.38
2024-04-03,WA001,11941.92,"13,896.49",12805.21,90.28
2024-04-03,QLD001,10563.0,-19796.28,10665.0,86.27
2024-04-03,NSW001,12679.17,"18,603.63",13945.15,89.88
2024-04-04,WA001,9295.06,22294.48,9677.16,86.82
2024-04-04,QLD001,8734.52,23446.64,8632.66,83.17
2024-04-04,NSW001,8330.89,19775.55,"8,014.44",92.56
2024-04-05,WA001,"12,181.50","19,629.79",12211.37,91.53
2024-04-05,QLD001,12428.43,24512.55,13345.59,91.96
2024-04-05,NSW001,13500.27,21407.76,13414.83,89.94
2024-04-06,WA001,9712.74,22729.94,0.00,85.28
2024-04-06,QLD001,11783.22,16508.01,11457.75,87.85
2024-04-06,NSW001,"11,515.69",12605.13,11367.44,85.47
2024-04-07,WA001,"14,581.19","24,171.18",14244.27,91.16
2024-04-07,QLD001,9024.39,23793.62,8911.46,94.0
2024-04-07,NSW001,13291.11,24334.1,14377.66,87.21
