lhd_code,financial_year,quarter,allocated_budget_aud_millions,actual_activity_nwau,benchmark_nwau,funding_adjustment_aud_millions,reporting_compliance_pct
LHD001,FY2024-25,Q1,470.11,207828,231250,6.08,93.4
LHD001,FY2024-25,Q2,504.22,251713,231250,33.37,100.0
LHD001,FY2024-25,Q3,446.05,252178,231250,-13.16,94.8
LHD001,FY2024-25,Q4,446.47,220359,231250,-12.82,98.0
LHD002,FY2024-25,Q1,498.57,216704,262500,-21.14,94.4
LHD002,FY2024-25,Q2,546.38,245279,262500,17.1,83.4
LHD002,FY2024-25,Q3,522.67,306322,262500,-1.86,88.7
LHD002,FY2024-25,Q4,499.2,254427,262500,-20.64,89.1
LHD003,FY2024-25,Q1,556.97,236858,281250,-4.42,91.4
LHD003,FY2024-25,Q2,535.59,305238,281250,-21.52,90.2
LHD003,FY2024-25,Q3,540.81,291590,281250,-17.35,94.9
LHD003,FY2024-25,Q4,604.96,284916,281250,33.97,86.4
LHD004,FY2024-25,Q1,543.98,245805,256250,25.18,93.8
LHD004,FY2024-25,Q2,487.0,255276,256250,-20.4,90.2
LHD004,FY2024-25,Q3,534.83,250422,256250,17.87,91.3
LHD004,FY2024-25,Q4,533.97,251298,256250,17.18,95.1
LHD005,FY2024-25,Q1,455.72,258016,243750,-25.42,88.5
LHD005,FY2024-25,Q2,497.71,204102,243750,8.17,91.1
LHD005,FY2024-25,Q3,550.09,260886,243750,50.07,83.1
LHD005,FY2024-25,Q4,496.54,248442,243750,7.23,84.0
LHD006,FY2024-25,Q1,166.13,85163,85000,-3.09,91.0
LHD006,FY2024-25,Q2,161.97,70812,85000,-6.42,97.3
LHD006,FY2024-25,Q3,162.43,89205,85000,-6.05,98.7
LHD006,FY2024-25,Q4,189.4,86073,85000,15.52,99.1
LHD007,FY2024-25,Q1,463.36,219292,237500,-9.31,88.4
LHD007,FY2024-25,Q2,493.0,250260,237500,14.4,89.3
LHD007,FY2024-25,Q3,473.55,278682,237500,-1.16,91.5
LHD007,FY2024-25,Q4,408.16,238928,237500,-53.47,94.5
LHD008,FY2024-25,Q1,207.2,104166,102500,1.76,82.6
LHD008,FY2024-25,Q2,198.86,103010,102500,-4.91,97.6
LHD008,FY2024-25,Q3,204.43,118984,102500,-0.46,96.3
LHD008,FY2024-25,Q4,215.85,97913,102500,8.68,90.4
LHD009,FY2024-25,Q1,167.11,88221,92500,-14.32,95.4
LHD009,FY2024-25,Q2,200.74,85599,92500,12.59,88.3
LHD009,FY2024-25,Q3,190.94,79052,92500,4.75,82.5
LHD009,FY2024-25,Q4,173.03,85741,92500,-9.58,99.8
LHD010,FY2024-25,Q1,150.89,85210,76250,-1.29,89.2
LHD010,FY2024-25,Q2,136.75,77170,76250,-12.6,95.9
LHD010,FY2024-25,Q3,158.53,75810,76250,4.83,95.0
LHD010,FY2024-25,Q4,154.44,73665,76250,1.55,94.0
LHD011,FY2024-25,Q1,118.92,65636,55000,7.13,96.2
LHD011,FY2024-25,Q2,115.63,58866,55000,4.51,91.0
LHD011,FY2024-25,Q3,112.04,45389,55000,1.63,87.9
LHD011,FY2024-25,Q4,104.13,50294,55000,-4.7,96.7
LHD012,FY2024-25,Q1,100.58,47671,52500,-3.53,86.5
LHD012,FY2024-25,Q2,103.33,51972,52500,-1.34,92.1
LHD012,FY2024-25,Q3,105.27,55745,52500,0.22,99.7
LHD012,FY2024-25,Q4,109.79,48172,52500,3.84,88.5
LHD013,FY2024-25,Q1,119.87,52311,60000,-0.11,94.3
LHD013,FY2024-25,Q2,128.85,62046,60000,7.08,100.0
LHD013,FY2024-25,Q3,121.38,53443,60000,1.11,90.6
LHD013,FY2024-25,Q4,124.66,71310,60000,3.73,89.1
LHD014,FY2024-25,Q1,141.3,59338,70000,1.04,97.6
LHD014,FY2024-25,Q2,138.6,70256,70000,-1.12,96.8
LHD014,FY2024-25,Q3,152.05,65217,70000,9.64,93.0
LHD014,FY2024-25,Q4,142.12,61639,70000,1.7,86.7
LHD015,FY2024-25,Q1,24.49,12972,11875,0.59,100.0
LHD015,FY2024-25,Q2,22.77,12572,11875,-0.79,89.9
LHD015,FY2024-25,Q3,23.38,11506,11875,-0.29,95.3
LHD015,FY2024-25,Q4,24.05,12847,11875,0.24,90.3
