transaction_id,transaction_date,transaction_time,store_id,product_id,customer_id,quantity,unit_price,discount_pct,total_amount,payment_method
TXN-202502-00001,2025-02-12,08:25:00,STR001,PRD010,CUS0024,3,14.0,0,42.0,Card
TXN-202502-00002,2025-02-13,16:48:00,STR005,PRD005,CUS0040,3,6.5,0.05,18.52,Card
TXN-202502-00003,2025-02-05,09:25:00,STR003,PRD013,CUS0036,2,18.0,0.15,30.6,Card
TXN-202502-00004,2025-02-07,14:32:00,STR001,PRD001,,3,5.5,0,16.5,Cash
TXN-202502-00005,2025-02-17,16:09:00,STR005,PRD015,CUS0021,3,6.5,0,19.5,Card
TXN-202502-00006,2025-02-13,12:37:00,STR003,PRD009,CUS0035,2,6.0,0.1,10.8,Mobile
TXN-202502-00007,2025-02-10,17:52:00,STR001,PRD006,CUS0008,2,7.0,0.05,13.3,Card
TXN-202502-00008,2025-02-26,07:38:00,STR004,PRD005,CUS0050,3,6.5,0.05,18.52,Card
TXN-202502-00009,2025-02-24,08:37:00,STR004,PRD003,CUS0047,3,5.0,0.15,12.75,Cash
TXN-202502-00010,2025-02-05,10:02:00,STR005,PRD012,,1,5.5,0,5.5,Card
TXN-202502-00011,2025-02-14,09:26:00,STR006,PRD004,CUS0050,3,5.5,0,16.5,Card
TXN-202502-00012,2025-02-23,09:33:00,STR002,PRD009,CUS0043,2,6.0,0.05,11.4,Cash
TXN-202502-00013,2025-02-11,09:29:00,STR005,PRD006,CUS0044,3,7.0,0.1,18.9,Card
TXN-202502-00014,2025-02-20,17:12:00,STR002,PRD005,CUS0015,2,6.5,0.15,11.05,Card
TXN-202502-00015,2025-02-23,10:44:00,STR006,PRD008,CUS0023,3,4.5,0.15,11.47,Card
TXN-202502-00016,2025-02-10,09:36:00,STR006,PRD009,CUS0026,2,6.0,0.15,10.2,Card
TXN-202502-00017,2025-02-10,08:18:00,STR006,PRD002,CUS0029,3,5.5,0,16.5,Cash
TXN-202502-00018,2025-02-07,10:52:00,STR005,PRD005,CUS0045,2,6.5,0,13.0,Card
TXN-202502-00019,2025-02-20,10:15:00,STR001,PRD011,CUS0015,3,5.5,0,16.5,Card
TXN-202502-00020,2025-02-04,15:21:00,STR006,PRD008,,1,4.5,0,4.5,Mobile
TXN-202502-00021,2025-02-06,15:41:00,STR004,PRD008,CUS0049,2,4.5,0,9.0,Card
TXN-202502-00022,2025-02-21,08:58:00,STR001,PRD011,CUS0035,3,5.5,0.1,14.85,Card
TXN-202502-00023,2025-02-06,15:56:00,STR002,PRD015,CUS0026,2,6.5,0,13.0,Card
TXN-202502-00024,2025-02-02,07:19:00,STR005,PRD010,,2,14.0,0,28.0,Cash
TXN-202502-00025,2025-02-21,17:56:00,STR002,PRD014,CUS0018,1,12.0,0.15,10.2,Card
TXN-202502-00026,2025-02-11,09:46:00,STR004,PRD011,,1,5.5,0,5.5,Card
TXN-202502-00027,2025-02-26,12:36:00,STR006,PRD013,,3,18.0,0.15,45.9,Cash
