transaction_id,transaction_date,transaction_time,store_id,product_id,customer_id,quantity,unit_price,discount_pct,total_amount,payment_method
TXN-202501-00001,2025-01-26,09:24:00,STR001,PRD014,CUS0013,2,12.0,0,24.0,Card
TXN-202501-00002,2025-01-27,10:14:00,STR001,PRD011,,2,5.5,0,11.0,Card
TXN-202501-00003,2025-01-25,11:22:00,STR006,PRD009,CUS0035,2,6.0,0,12.0,Card
TXN-202501-00004,2025-01-09,09:37:00,STR003,PRD001,,2,5.5,0,11.0,Card
TXN-202501-00005,2025-01-14,09:24:00,STR005,PRD004,,3,5.5,0,16.5,Card
TXN-202501-00006,2025-01-17,10:23:00,STR004,PRD002,CUS0022,3,5.5,0,16.5,Card
TXN-202501-00007,2025-01-24,12:32:00,STR003,PRD011,CUS0026,3,5.5,0,16.5,Mobile
TXN-202501-00008,2025-01-05,10:26:00,STR006,PRD007,CUS0012,3,5.5,0.05,15.67,Card
TXN-202501-00009,2025-01-13,07:19:00,STR003,PRD004,CUS0038,3,5.5,0.1,14.85,Card
TXN-202501-00010,2025-01-15,16:28:00,STR006,PRD004,CUS0048,1,5.5,0.1,4.95,Card
TXN-202501-00011,2025-01-10,12:05:00,STR002,PRD011,CUS0013,1,5.5,0,5.5,Card
TXN-202501-00012,2025-01-08,17:39:00,STR001,PRD008,CUS0041,3,4.5,0,13.5,Cash
TXN-202501-00013,2025-01-16,14:15:00,STR002,PRD011,CUS0049,1,5.5,0.15,4.67,Cash
TXN-202501-00014,2025-01-08,09:51:00,STR006,PRD009,CUS0036,1,6.0,0.15,5.1,Card
TXN-202501-00015,2025-01-15,09:51:00,STR004,PRD011,CUS0036,3,5.5,0,16.5,Cash
TXN-202501-00016,2025-01-20,15:53:00,STR005,PRD008,CUS0048,2,4.5,0,9.0,Card
TXN-202501-00017,2025-01-25,10:53:00,STR006,PRD005,CUS0034,2,6.5,0.1,11.7,Card
TXN-202501-00018,2025-01-09,16:04:00,STR006,PRD005,,2,6.5,0,13.0,Mobile
TXN-202501-00019,2025-01-03,09:09:00,STR002,PRD007,CUS0046,1,5.5,0,5.5,Cash
TXN-202501-00020,2025-01-14,12:34:00,STR004,PRD007,,2,5.5,0,11.0,Mobile
TXN-202501-00021,2025-01-23,07:54:00,STR005,PRD007,CUS0023,2,5.5,0.15,9.35,Cash
TXN-202501-00022,2025-01-28,15:34:00,STR006,PRD012,CUS0039,1,5.5,0,5.5,Card
TXN-202501-00023,2025-01-09,15:31:00,STR001,PRD007,CUS0044,2,5.5,0.1,9.9,Card
TXN-202501-00024,2025-01-27,16:58:00,STR002,PRD010,CUS0026,3,14.0,0.05,39.9,Card
TXN-202501-00025,2025-01-03,15:08:00,STR004,PRD003,,2,5.0,0,10.0,Card
TXN-202501-00026,2025-01-15,12:21:00,STR004,PRD005,CUS0027,2,6.5,0.15,11.05,Card
TXN-202501-00027,2025-01-16,07:47:00,STR005,PRD001,CUS0023,1,5.5,0.1,4.95,Card
TXN-202501-00028,2025-01-25,08:48:00,STR001,PRD004,,1,5.5,0.05,5.22,Card
TXN-202501-00029,2025-01-08,09:30:00,STR006,PRD002,CUS0014,2,5.5,0.1,9.9,Card
TXN-202501-00030,2025-01-25,13:10:00,STR005,PRD010,CUS0046,1,14.0,0.15,11.9,Card
TXN-202501-00031,2025-01-10,09:37:00,STR001,PRD015,CUS0044,2,6.5,0,13.0,Card
TXN-202501-00032,2025-01-03,10:06:00,STR006,PRD013,CUS0044,3,18.0,0.15,45.9,Card
TXN-202501-00033,2025-01-26,08:22:00,STR005,PRD007,CUS0005,3,5.5,0.1,14.85,Card
TXN-202501-00034,2025-01-01,15:52:00,STR004,PRD002,CUS0024,3,5.5,0.15,14.03,Cash
TXN-202501-00035,2025-01-23,09:27:00,STR002,PRD012,CUS0042,2,5.5,0.05,10.45,Mobile
TXN-202501-00036,2025-01-25,17:29:00,STR004,PRD014,CUS0018,2,12.0,0.15,20.4,Card
