OrderID,OrderDate,CustomerID,ProductID,Quantity,TotalAmount,PaymentMethod
ORD1000,2022-01-01 00:00:00.000000000,CUST185,PROD221,1,429.51,PayPal
ORD1001,2022-01-01 08:45:46.515505168,CUST197,PROD204,4,463.89,Debit Card
ORD1002,2022-01-01 17:31:33.031010336,CUST172,PROD211,3,495.65,Credit Card
ORD1003,2022-01-02 02:17:19.546515505,CUST132,PROD233,3,336.62,Debit Card
ORD1004,2022-01-02 11:03:06.062020673,CUST145,PROD200,3,379.04,PayPal
ORD1005,2022-01-02 19:48:52.577525841,CUST183,PROD202,1,30.8,Debit Card
ORD1006,2022-01-03 04:34:39.093031010,CUST167,PROD205,1,481.04,Debit Card
ORD1007,2022-01-03 13:20:25.608536178,CUST190,PROD237,1,279.49,Credit Card
ORD1008,2022-01-03 22:06:12.124041347,CUST131,PROD242,1,140.03,PayPal
ORD1009,2022-01-04 06:51:58.639546515,CUST102,PROD218,4,474.88,PayPal
ORD1010,2022-01-04 15:37:45.155051683,CUST133,PROD215,1,303.38,Credit Card
ORD1011,2022-01-05 00:23:31.670556852,CUST148,PROD248,1,341.88,Credit Card
ORD1012,2022-01-05 09:09:18.186062020,CUST198,PROD206,1,213.83,Debit Card
ORD1013,2022-01-05 17:55:04.701567189,CUST110,PROD242,4,388.85,Credit Card
ORD1014,2022-01-06 02:40:51.217072357,CUST167,PROD209,1,346.23,Debit Card
ORD1015,2022-01-06 11:26:37.732577525,CUST149,PROD242,1,198.12,Credit Card
ORD1016,2022-01-06 20:12:24.248082694,CUST185,PROD245,1,44.38,Credit Card
ORD1017,2022-01-07 04:58:10.763587862,CUST132,PROD241,3,53.22,PayPal
ORD1018,2022-01-07 13:43:57.279093031,CUST147,PROD219,3,234.04,Debit Card
ORD1019,2022-01-07 22:29:43.794598199,CUST183,PROD230,2,31.58,Credit Card
ORD1020,2022-01-08 07:15:30.310103367,CUST150,PROD248,3,175.86,Credit Card
ORD1021,2022-01-08 16:01:16.825608536,CUST102,PROD233,4,22.46,Credit Card
ORD1022,2022-01-09 00:47:03.341113704,CUST105,PROD218,3,346.89,PayPal
ORD1023,2022-01-09 09:32:49.856618873,CUST136,PROD213,1,373.39,Debit Card
ORD1024,2022-01-09 18:18:36.372124041,CUST101,PROD231,1,255.22,Debit Card
ORD1025,2022-01-10 03:04:22.887629209,CUST181,PROD237,2,215.39,Credit Card
ORD1026,2022-01-10 11:50:09.403134378,CUST151,PROD208,4,464.21,Credit Card
ORD1027,2022-01-10 20:35:55.918639546,CUST184,PROD200,1,369.18,Debit Card
ORD1028,2022-01-11 05:21:42.434144715,CUST112,PROD230,1,330.39,Debit Card
ORD1029,2022-01-11 14:07:28.949649883,CUST143,PROD239,1,110.01,PayPal
ORD1030,2022-01-11 22:53:15.465155051,CUST196,PROD232,3,415.23,Credit Card
ORD1031,2022-01-12 07:39:01.980660220,CUST151,PROD233,1,443.87,Debit Card
ORD1032,2022-01-12 16:24:48.496165388,CUST100,PROD221,4,283.86,Credit Card
ORD1033,2022-01-13 01:10:35.011670556,CUST135,PROD224,2,92.73,PayPal
ORD1034,2022-01-13 09:56:21.527175725,CUST194,PROD216,3,483.82,Credit Card
ORD1035,2022-01-13 18:42:08.042680893,CUST164,PROD236,4,279.57,PayPal
ORD1036,2022-01-14 03:27:54.558186062,CUST164,PROD248,3,454.94,Credit Card
ORD1037,2022-01-14 12:13:41.073691230,CUST194,PROD236,1,82.99,PayPal
ORD1038,2022-01-14 20:59:27.589196398,CUST195,PROD213,3,58.4,PayPal
ORD1039,2022-01-15 05:45:14.104701567,CUST131,PROD218,4,123.85,Debit Card
ORD1040,2022-01-15 14:31:00.620206735,CUST154,PROD226,3,168.74,Debit Card
ORD1041,2022-01-15 23:16:47.135711904,CUST109,PROD225,4,365.98,PayPal
ORD1042,2022-01-16 08:02:33.651217072,CUST160,PROD206,2,481.47,PayPal
ORD1043,2022-01-16 16:48:20.166722240,CUST105,PROD212,1,447.84,PayPal
ORD1044,2022-01-17 01:34:06.682227409,CUST192,PROD201,2,100.44,Credit Card
ORD1045,2022-01-17 10:19:53.197732577,CUST164,PROD226,4,220.19,Credit Card
ORD1046,2022-01-17 19:05:39.713237746,CUST175,PROD240,1,340.72,Credit Card
ORD1047,2022-01-18 03:51:26.228742914,CUST178,PROD241,3,445.24,PayPal
ORD1048,2022-01-18 12:37:12.744248082,CUST106,PROD227,1,341.97,Credit Card
ORD1049,2022-01-18 21:22:59.259753251,CUST120,PROD214,4,451.39,Credit Card
ORD1050,2022-01-19 06:08:45.775258419,CUST109,PROD245,3,301.2,Debit Card
ORD1051,2022-01-19 14:54:32.290763588,CUST149,PROD233,4,69.63,Credit Card
ORD1052,2022-01-19 23:40:18.806268756,CUST110,PROD205,2,441.97,Credit Card
ORD1053,2022-01-20 08:26:05.321773924,CUST193,PROD234,4,495.71,Credit Card
ORD1054,2022-01-20 17:11:51.837279093,CUST197,PROD212,3,341.6,PayPal
ORD1055,2022-01-21 01:57:38.352784261,CUST120,PROD215,2,461.6,PayPal
ORD1056,2022-01-21 10:43:24.868289430,CUST151,PROD242,4,160.51,Debit Card
ORD1057,2022-01-21 19:29:11.383794598,CUST190,PROD249,1,122.53,PayPal
ORD1058,2022-01-22 04:14:57.899299766,CUST158,PROD209,3,95.74,PayPal
ORD1059,2022-01-22 13:00:44.414804935,CUST139,PROD214,3,416.38,Credit Card
ORD1060,2022-01-22 21:46:30.930310103,CUST125,PROD218,3,382.38,Credit Card
ORD1061,2022-01-23 06:32:17.445815271,CUST138,PROD250,3,471.08,PayPal
ORD1062,2022-01-23 15:18:03.961320440,CUST169,PROD206,3,230.27,Credit Card
ORD1063,2022-01-24 00:03:50.476825608,CUST108,PROD210,4,78.81,Credit Card
ORD1064,2022-01-24 08:49:36.992330777,CUST115,PROD201,1,180.18,Debit Card
