,id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2018,minimum_nights,number_of_reviews,reviews_per_month,availability_2019
0,2818,Oostelijk Havengebied - Indische Buurt,52.36575451387618,4.941419235184398,Private room,59,296.0,3,248,2.1,44
1,3209,Westerpark,52.39022505041117,4.873924094742859,Entire home/apt,160,309.0,4,42,1.03,47
2,20168,Centrum-Oost,52.36508702680917,4.8935410078410095,Entire home/apt,80,224.0,1,233,2.18,198
3,25428,Centrum-West,52.37311440038617,4.883668196205626,Entire home/apt,125,208.0,14,1,0.09,141
4,27886,Centrum-West,52.386727316124684,4.892078070089338,Private room,150,318.0,2,171,2.03,199
5,28658,Bos en Lommer,52.37534217754822,4.857289350245441,Private room,65,64.0,3,434,4.16,295
6,28871,Centrum-West,52.367186808186005,4.8909177971296565,Private room,75,184.0,2,215,2.13,137
7,29051,Centrum-West,52.367725410445736,4.891511737154662,Private room,55,131.0,2,383,4.07,188
8,31080,Zuid,52.3513205418674,4.84838289937379,Entire home/apt,219,,3,32,0.36,336
9,41125,Centrum-West,52.3789147700269,4.8832050564993645,Entire home/apt,180,349.0,3,76,0.78,11
10,42970,Centrum-West,52.36781447589647,4.890012023439633,Private room,159,55.0,3,426,4.24,89
11,43980,Zuid,52.3574562838326,4.861242085387215,Entire home/apt,100,80.0,28,61,0.62,10
12,44129,Centrum-West,52.380711229831924,4.886104318098604,Entire home/apt,250,278.0,2,176,1.74,16
13,44391,Centrum-Oost,52.37016998640934,4.914377826765493,Entire home/apt,200,,3,31,0.31,0
14,45246,Westerpark,52.37767639657083,4.876178648987073,Entire home/apt,155,,3,79,0.79,253
15,46386,De Pijp - Rivierenbuurt,52.35247025928299,4.908254440320653,Entire home/apt,150,,3,3,0.03,0
16,47061,De Baarsjes - Oud-West,52.36798609885809,4.874469331907506,Entire home/apt,140,,2,167,1.67,0
17,48076,Centrum-West,52.3804200178011,4.894534735097551,Entire home/apt,350,92.0,5,159,1.82,276
18,49790,De Baarsjes - Oud-West,52.362663786120464,4.861031740012395,Entire home/apt,225,87.0,3,98,1.06,296
19,50515,Bos en Lommer,52.37727239832183,4.839252562940868,Entire home/apt,120,208.0,3,12,0.21,79
20,50518,Westerpark,52.38200613161477,4.878649621335048,Entire home/apt,125,,1,91,1.22,0
21,50523,Centrum-West,52.36840789766318,4.884133704990546,Private room,115,126.0,2,213,2.21,206
22,50570,Bos en Lommer,52.377737441667115,4.848911991360075,Entire home/apt,90,354.0,4,152,1.62,19
23,52490,Oostelijk Havengebied - Indische Buurt,52.370045892661075,4.9386912362462985,Private room,72,337.0,3,81,0.82,11
24,53067,De Pijp - Rivierenbuurt,52.35339266870349,4.900637642957301,Private room,87,295.0,1,333,3.4,2
25,53671,Westerpark,52.389053371113825,4.885588535129939,Private room,75,31.0,3,261,2.8,289
26,53692,De Pijp - Rivierenbuurt,52.353483155689176,4.900490171525591,Private room,60,,3,219,2.4,47
27,55256,Centrum-Oost,52.37125688886693,4.903513145133119,Private room,86,352.0,1,120,1.26,129
28,55703,Bos en Lommer,52.37560816034421,4.858187467526308,Entire home/apt,250,1.0,3,3,0.07,0
29,55709,Centrum-Oost,52.35895649627122,4.897259341005234,Entire home/apt,159,355.0,5,53,0.54,32
30,55807,De Baarsjes - Oud-West,52.36965708064435,4.8620254265502405,Private room,60,28.0,2,150,1.53,122
31,55868,Zuid,52.356132975812436,4.885149546738222,Entire home/apt,149,362.0,4,88,0.91,107
32,56879,Centrum-West,52.38453334724865,4.892545431659382,Entire home/apt,112,,28,1,0.01,277
33,57408,Oostelijk Havengebied - Indische Buurt,52.361929788889256,4.936400957199159,Entire home/apt,100,,4,420,4.29,5
34,57978,De Baarsjes - Oud-West,52.36448156797004,4.877220554469521,Entire home/apt,125,96.0,3,145,1.48,315
35,58211,Centrum-West,52.369164791657006,4.8844453447991505,Private room,225,77.0,3,82,1.05,212
36,62015,Oud-Oost,52.364452721531094,4.931235930520656,Entire home/apt,109,331.0,2,21,0.22,30
37,62801,Bos en Lommer,52.38458682993324,4.854626513131404,Entire home/apt,750,,30,0,,364
38,64736,De Baarsjes - Oud-West,52.363481306084545,4.8678339776210455,Entire home/apt,145,,4,92,1.43,0
39,64769,Centrum-Oost,52.362253841258536,4.901999344356419,Entire home/apt,450,170.0,4,26,0.28,72
40,65230,Centrum-West,52.368713041376715,4.892843389610457,Entire home/apt,179,30.0,3,83,0.91,358
41,67841,De Pijp - Rivierenbuurt,52.35472482794198,4.893237543427079,Entire home/apt,100,,3,9,0.14,29
42,68290,Centrum-West,52.368870779675284,4.8952338913153035,Private room,109,217.0,1,574,6.1,158
43,68873,Centrum-West,52.36950063833623,4.895559709996519,Private room,109,213.0,1,527,5.56,163
44,69042,Centrum-West,52.373527199212894,4.876905973776999,Private room,116,311.0,3,131,1.41,7
45,73208,Zuid,52.3593509829142,4.876721555693788,Entire home/apt,220,,5,58,0.62,3
46,73917,Centrum-West,52.37894280400968,4.890601996192832,Entire home/apt,175,115.0,3,82,1.22,320
47,74367,Centrum-West,52.37479553602839,4.880446471317074,Entire home/apt,260,,7,10,0.11,304
48,75382,Oud-Oost,52.364824885646925,4.9276155489234315,Private room,105,299.0,3,178,1.93,84
49,75444,Oud-Oost,52.365509785021295,4.928480703679059,Private room,70,274.0,3,246,2.69,47
50,76668,Westerpark,52.38897577588911,4.890432078271875,Private room,135,169.0,2,39,1.31,237
51,80634,Centrum-West,52.3797564854931,4.893977373685979,Private room,180,,2,115,1.92,28
52,80635,Centrum-West,52.37875854166035,4.8926359365709455,Private room,115,,2,158,1.68,29
53,82482,Centrum-West,52.370259733420504,4.8800301947340445,Entire home/apt,95,191.0,1,695,7.64,191
54,82748,Centrum-West,52.37307393018357,4.893431575249236,Entire home/apt,249,124.0,3,116,1.24,280
55,83498,Centrum-West,52.367227634831025,4.891235317846856,Private room,45,169.0,2,403,6.96,161
56,84057,De Baarsjes - Oud-West,52.364877997706216,4.851095907658352,Private room,100,55.0,3,68,0.75,344
57,91535,De Pijp - Rivierenbuurt,52.357253879494685,4.895879145277792,Entire home/apt,189,,3,29,0.32,0
58,96048,Centrum-Oost,52.372700232233804,4.907761448144871,Private room,75,17.0,1,120,2.57,340
59,97221,Slotervaart,52.349103458307475,4.836112244063563,Private room,40,14.0,2,141,1.56,340
60,97476,Zuid,52.35637466896349,4.865793029491886,Entire home/apt,115,363.0,3,46,0.5,3
61,107195,Centrum-Oost,52.370074473314865,4.919603853810988,Entire home/apt,150,307.0,3,29,0.33,0
62,107972,De Baarsjes - Oud-West,52.363971570386646,4.876509426612257,Entire home/apt,100,260.0,3,74,0.8,4
63,108890,De Baarsjes - Oud-West,52.36082925431396,4.856667424731347,Entire home/apt,100,,5,3,0.15,0
64,115795,De Pijp - Rivierenbuurt,52.352437256002645,4.895948040507284,Private room,165,,90,106,1.26,348
65,118097,Centrum-West,52.365705366407134,4.884636190342678,Private room,94,309.0,4,309,3.8,62
66,118117,De Baarsjes - Oud-West,52.368883436047646,4.8695483308640055,Private room,87,274.0,3,490,5.42,230
67,120872,Bos en Lommer,52.38193171534977,4.855407320845144,Entire home/apt,99,140.0,2,138,1.55,64
68,125425,Oud-Oost,52.360974573916025,4.927611460157401,Entire home/apt,100,232.0,3,38,0.43,0
69,130390,De Pijp - Rivierenbuurt,52.35516967099702,4.8896934048978045,Private room,80,,2,29,0.33,0
70,137026,De Pijp - Rivierenbuurt,52.353609063743974,4.90562103218313,Private room,259,304.0,3,87,1.03,123
71,141708,Oostelijk Havengebied - Indische Buurt,52.36460689704278,4.938920082534415,Entire home/apt,98,,3,82,0.9,18
72,147270,Gaasperdam - Driemond,52.30617481870509,4.978865897717476,Private room,35,,90,23,0.64,125
73,148132,De Baarsjes - Oud-West,52.36859520946438,4.864870318764639,Private room,52,,2,3,1.91,0
74,150634,De Baarsjes - Oud-West,52.36673740948232,4.867455513006409,Entire home/apt,100,61.0,2,52,1.62,89
75,152280,Bos en Lommer,52.37961371756432,4.854432292549278,Private room,89,35.0,1,580,6.41,3
76,156815,Oud-Noord,52.388922811024294,4.9402426395904735,Entire home/apt,695,,2,26,0.31,108
77,162467,De Baarsjes - Oud-West,52.363675893649386,4.855056296869676,Entire home/apt,145,45.0,3,46,0.64,309
78,165833,De Baarsjes - Oud-West,52.3733601256194,4.857537320392232,Entire home/apt,74,,2,37,0.72,0
79,168769,Centrum-West,52.37915713158128,4.894086123937185,Private room,120,10.0,2,204,2.33,85
80,169356,Centrum-West,52.381717144651354,4.883104127485947,Entire home/apt,220,303.0,7,18,0.2,68
81,170223,Centrum-West,52.36991235190708,4.882654520401399,Entire home/apt,145,361.0,3,47,0.55,57
82,171054,De Baarsjes - Oud-West,52.36916386503589,4.86643475054097,Entire home/apt,120,360.0,6,102,1.13,0
83,171631,De Baarsjes - Oud-West,52.36338791622051,4.8540234832459435,Entire home/apt,89,,3,45,0.5,338
84,175989,De Baarsjes - Oud-West,52.35963504731266,4.867128100371151,Entire home/apt,100,39.0,3,99,1.13,0
85,179528,De Pijp - Rivierenbuurt,52.342312579431045,4.894194976598042,Entire home/apt,230,169.0,29,27,0.31,224
86,184282,Centrum-Oost,52.36321324239451,4.889051424334264,Entire home/apt,230,76.0,3,158,1.84,338
87,188347,De Baarsjes - Oud-West,52.36823908012429,4.853210748039301,Private room,50,342.0,1,318,3.58,19
88,189754,Centrum-West,52.37433431603307,4.89246876049259,Private room,160,92.0,2,130,1.48,268
89,190585,Westerpark,52.38487211819231,4.872481357594563,Entire home/apt,110,317.0,4,88,0.99,51
90,190943,Zuid,52.35221380860934,4.846612397531583,Entire home/apt,150,,4,9,0.12,5
91,193038,Centrum-Oost,52.360871179686576,4.8955906497433865,Private room,95,147.0,3,497,5.64,187
92,198307,Centrum-West,52.38393030999055,4.89237125764235,Entire home/apt,100,,13,37,0.42,0
93,199844,Westerpark,52.38351266036433,4.875730763066735,Entire home/apt,99,,5,42,0.48,0
94,200461,De Baarsjes - Oud-West,52.35930674965399,4.8611084302365315,Entire home/apt,79,291.0,3,33,0.37,28
95,201322,Centrum-West,52.37184057754968,4.881707856110731,Entire home/apt,80,45.0,1,64,0.74,165
96,203658,Zuid,52.34743916227274,4.868860660076601,Entire home/apt,284,303.0,3,25,0.3,0
97,204014,De Baarsjes - Oud-West,52.37086528996354,4.8659566161588055,Entire home/apt,99,302.0,4,15,0.17,0
98,205759,De Baarsjes - Oud-West,52.36889187403649,4.864288391158311,Entire home/apt,99,,1,2,0.05,0
99,212050,De Baarsjes - Oud-West,52.368947036604595,4.864515338244789,Entire home/apt,180,31.0,3,13,0.15,334
100,213721,Zuid,52.35165078027672,4.8465334434469245,Private room,129,0.0,3,39,0.45,365
101,214531,Centrum-West,52.370688362374935,4.895157177391901,Private room,114,178.0,3,150,1.74,163
102,217692,De Pijp - Rivierenbuurt,52.33761522397163,4.893596487180915,Entire home/apt,150,6.0,3,14,0.27,352
103,219276,Centrum-West,52.3689052504095,4.889704568580539,Entire home/apt,265,,2,1,0.01,330
104,221943,De Baarsjes - Oud-West,52.36563714208943,4.876398386996833,Entire home/apt,170,,3,187,2.15,237
105,222516,De Baarsjes - Oud-West,52.361098230898705,4.858935153103977,Entire home/apt,100,337.0,3,104,1.2,8
106,226121,De Baarsjes - Oud-West,52.35957301118511,4.86589459094221,Private room,165,217.0,4,82,0.94,35
107,230710,Centrum-West,52.37591434666808,4.878066562935041,Entire home/apt,125,,14,16,0.2,0
108,236180,Centrum-West,52.365736470109674,4.8802090220914405,Entire home/apt,175,,3,2,0.04,0
109,236632,De Pijp - Rivierenbuurt,52.35613973312535,4.88847575208638,Entire home/apt,100,332.0,7,107,1.26,114
110,237017,De Baarsjes - Oud-West,52.3714933602559,4.862764028623305,Entire home/apt,80,,3,17,0.23,0
111,239647,De Baarsjes - Oud-West,52.364516655500545,4.875872996810312,Private room,86,,2,540,6.21,6
112,245927,Centrum-West,52.367912234286614,4.8880858190785865,Entire home/apt,400,355.0,2,56,0.7,10
113,247805,De Baarsjes - Oud-West,52.36588424052564,4.872613822339188,Private room,119,36.0,2,289,3.36,250
114,250702,De Pijp - Rivierenbuurt,52.346035277702406,4.897093661068418,Entire home/apt,120,,3,37,0.44,0
115,250751,Oostelijk Havengebied - Indische Buurt,52.36609902269462,4.932987129096548,Entire home/apt,70,349.0,2,97,1.13,0
116,251444,Centrum-West,52.372314312023846,4.898560451903537,Entire home/apt,449,,1,13,0.16,169
117,252725,De Baarsjes - Oud-West,52.36718586381298,4.867373589491419,Entire home/apt,175,360.0,2,47,0.59,1
118,253650,Centrum-West,52.367751656756,4.889815058128981,Private room,149,48.0,3,358,4.25,187
119,253792,Centrum-West,52.37408073348525,4.897792585847227,Entire home/apt,193,353.0,1,77,0.91,0
120,254104,Centrum-Oost,52.36513246667161,4.908371799288464,Private room,145,26.0,2,65,1.5,306
121,254800,Centrum-West,52.3713086974301,4.882063422033223,Entire home/apt,250,341.0,2,42,0.62,32
122,255177,De Pijp - Rivierenbuurt,52.356980877920925,4.890688061048634,Private room,115,188.0,3,88,3.23,99
123,255202,Centrum-West,52.376827040334476,4.889139866845394,Private room,188,,3,2,0.02,362
124,255809,De Pijp - Rivierenbuurt,52.34425830623576,4.887220320280407,Private room,150,38.0,2,60,0.75,102
125,256340,Centrum-Oost,52.368351014921636,4.924069390070278,Entire home/apt,100,288.0,4,4,0.06,0
126,256670,De Baarsjes - Oud-West,52.35941331459236,4.859953007578639,Entire home/apt,168,356.0,7,6,0.09,14
127,258273,De Pijp - Rivierenbuurt,52.3542004752309,4.8915960167125405,Entire home/apt,8000,,30,8,0.1,364
128,260187,Oud-Oost,52.3580919064273,4.935606229701712,Entire home/apt,99,,4,26,0.32,0
129,261902,Oud-Oost,52.35605072558158,4.919385692227501,Entire home/apt,225,360.0,3,38,0.47,0
130,262209,Oostelijk Havengebied - Indische Buurt,52.3616422185585,4.938273700070705,Entire home/apt,73,,2,14,0.16,0
131,262394,Zuid,52.35519127920091,4.851167699222689,Private room,96,77.0,4,103,1.27,62
132,262562,Centrum-West,52.37416858770747,4.8865013132855335,Entire home/apt,190,,30,4,0.06,90
133,264628,Noord-Oost,52.38333593144041,5.0037078895760665,Entire home/apt,100,63.0,2,1,0.03,351
134,265349,De Baarsjes - Oud-West,52.360478436352,4.863450457840695,Entire home/apt,85,,3,20,0.23,16
135,266087,Centrum-Oost,52.361643337443546,4.9025822184962715,Entire home/apt,125,,2,4,0.05,293
136,271599,Zuid,52.35271074006004,4.857715661493579,Private room,900,,2,173,2.05,0
137,271787,Centrum-West,52.37048754922962,4.879669027912172,Private room,110,,3,9,0.11,182
138,272597,Zuid,52.3463259409881,4.856285933979298,Entire home/apt,120,,4,6,0.15,0
139,274688,Bos en Lommer,52.37842980388138,4.854837092707593,Entire home/apt,125,,3,37,0.44,30
140,276275,De Pijp - Rivierenbuurt,52.33921273616006,4.893759461764407,Entire home/apt,169,1.0,4,22,0.29,364
141,277011,De Baarsjes - Oud-West,52.35829508439539,4.859091947726598,Entire home/apt,125,,4,20,0.25,0
142,278823,De Baarsjes - Oud-West,52.36599949646363,4.863530499078753,Private room,74,292.0,3,141,1.67,80
143,282269,Zuid,52.35017418763845,4.8525503850212495,Entire home/apt,115,,10,3,0.05,0
144,283170,Zuid,52.35353190803815,4.87513957048843,Entire home/apt,650,14.0,2,97,1.2,360
145,283621,Centrum-West,52.38057059973004,4.885651833945759,Entire home/apt,105,,7,30,0.36,319
146,284319,Centrum-Oost,52.360092579387,4.894611813107176,Private room,115,21.0,2,16,0.19,331
147,286500,Centrum-West,52.37496960705205,4.898844426998336,Private room,150,151.0,3,245,2.94,274
148,289071,Centrum-West,52.380373322653654,4.880206599315086,Private room,90,285.0,3,177,2.11,44
149,290701,Centrum-West,52.37614418117013,4.898936685217519,Private room,150,123.0,3,283,3.42,287
150,291637,Watergraafsmeer,52.352505914635245,4.943384214796724,Private room,95,294.0,2,8,0.1,0
151,291752,Oud-Oost,52.352786473399526,4.912563881379626,Private room,89,90.0,2,187,2.22,337
152,293337,Oud-Noord,52.38170518097546,4.91440092191971,Private room,105,20.0,4,23,0.28,338
153,293514,Oud-Noord,52.38744099692565,4.909601962312537,Entire home/apt,74,,1,5,0.11,0
154,294226,Zuid,52.355888609675425,4.857073082184387,Private room,900,,2,166,2.07,0
155,294468,Centrum-Oost,52.362943800075655,4.909439787170198,Entire home/apt,175,,3,14,0.35,0
156,296452,De Baarsjes - Oud-West,52.36627391376461,4.864991946686574,Entire home/apt,164,349.0,3,4,0.06,85
157,297220,De Pijp - Rivierenbuurt,52.35755028092293,4.901441987906591,Entire home/apt,117,,6,83,0.98,0
158,300067,Oud-Oost,52.35668265041882,4.916947232348021,Private room,45,240.0,4,9,0.11,74
159,301220,Centrum-West,52.37154368698248,4.875964528610951,Entire home/apt,125,,3,83,0.99,0
160,302426,Centrum-West,52.379971950216856,4.887070399875172,Entire home/apt,126,,5,14,0.17,0
161,304189,Centrum-West,52.370938776639,4.876535074104979,Entire home/apt,155,156.0,5,79,0.95,106
162,305200,Centrum-West,52.369569405758476,4.888304336370156,Entire home/apt,550,,2,3,0.1,103
163,305809,Westerpark,52.384484691901044,4.871161920402936,Entire home/apt,295,30.0,1,121,1.49,360
164,306852,Centrum-Oost,52.35955184862691,4.897903333119472,Entire home/apt,195,316.0,3,11,0.15,0
165,307470,Centrum-Oost,52.37311831765251,4.9065281458072185,Entire home/apt,130,228.0,21,6,0.08,67
166,307497,Westerpark,52.3933676008294,4.883008781989972,Entire home/apt,464,128.0,2,87,1.15,124
167,308028,Centrum-Oost,52.35853173707146,4.8975109293473515,Private room,90,361.0,3,25,0.44,71
168,309436,Oud-Noord,52.3999228375966,4.920000147987165,Private room,135,11.0,2,61,0.88,354
169,310722,De Baarsjes - Oud-West,52.35901103004662,4.8643977976891035,Entire home/apt,169,333.0,2,28,0.4,0
170,311124,Centrum-West,52.37143337794846,4.876667139735057,Entire home/apt,200,10.0,3,72,0.9,362
171,311584,De Baarsjes - Oud-West,52.366839537629346,4.8767584018742,Entire home/apt,100,,3,53,0.64,0
172,311694,Centrum-Oost,52.361762071894596,4.893214501045171,Private room,115,17.0,2,9,0.2,333
173,313778,Oostelijk Havengebied - Indische Buurt,52.36439279170668,4.939439259273157,Entire home/apt,124,318.0,1,48,0.65,30
174,314082,De Baarsjes - Oud-West,52.36314066044941,4.8628437740077315,Entire home/apt,111,364.0,1,34,0.42,9
175,314235,De Pijp - Rivierenbuurt,52.35718094757721,4.896541019086117,Entire home/apt,200,,4,9,0.11,0
176,315820,Oud-Oost,52.35562205577938,4.915361669484475,Entire home/apt,107,34.0,4,46,0.57,166
177,319985,De Pijp - Rivierenbuurt,52.357286096674464,4.901626908382143,Entire home/apt,169,147.0,2,215,2.68,139
