,id,neighbourhood,latitude,longitude,room_type,price,days_occupied_in_2018,minimum_nights,number_of_reviews,reviews_per_month,availability_2019
0,958,Western Addition,37.76931037734077,-122.43385634489,Entire home/apt,170,213.0,1,172,1.51,74
1,5858,Bernal Heights,37.745112331410034,-122.42101788836888,Entire home/apt,235,0.0,30,112,0.96,365
2,7918,Haight Ashbury,37.766689597862175,-122.45250461761627,Private room,65,0.0,32,17,0.15,365
3,8142,Haight Ashbury,37.76487219421756,-122.45182799146507,Private room,65,0.0,32,8,0.15,365
4,8339,Western Addition,37.775248585892676,-122.43637374831293,Entire home/apt,785,276.0,7,27,0.24,89
5,8567,Western Addition,37.784707454960724,-122.44555431261593,Entire home/apt,255,206.0,2,31,0.27,20
6,8739,Mission,37.75918889708064,-122.42236687240562,Private room,139,284.0,1,631,5.54,129
7,9225,Potrero Hill,37.76258885144137,-122.40543055237005,Private room,135,26.0,1,434,3.91,342
8,10251,Mission,37.75874294929672,-122.4132720164374,Entire home/apt,265,18.0,3,307,2.73,303
9,10578,Nob Hill,37.791427463689935,-122.4154356795158,Entire home/apt,120,,30,18,0.21,365
10,10819,Marina,37.80060135801387,-122.425045381335,Entire home/apt,218,,30,22,0.32,0
11,10820,Haight Ashbury,37.771873721790115,-122.43859113023431,Entire home/apt,177,,30,36,0.32,288
12,10824,Western Addition,37.77355001557393,-122.42436191545026,Entire home/apt,194,,30,14,0.17,347
13,10832,Downtown/Civic Center,37.78573889680189,-122.40797710199776,Entire home/apt,139,0.0,30,18,0.25,356
14,12041,Haight Ashbury,37.77018946066375,-122.44594218370486,Private room,85,0.0,32,6,0.07,365
15,12042,Haight Ashbury,37.76894262424544,-122.44778223886064,Private room,85,0.0,32,5,0.07,365
16,12522,Castro/Upper Market,37.760745481792476,-122.4303240593966,Private room,79,325.0,3,383,3.54,23
17,12584,Inner Sunset,37.762031017197216,-122.45454953525291,Entire home/apt,136,,30,16,0.21,365
18,14125,Mission,37.754906698626314,-122.42245501922535,Entire home/apt,215,28.0,3,97,0.9,278
19,17132,South of Market,37.78646668394753,-122.39071696982845,Entire home/apt,450,,35,14,0.14,219
20,18231,Noe Valley,37.74888370930066,-122.42982374746445,Entire home/apt,107,,30,60,0.58,129
21,18904,Western Addition,37.77252151838996,-122.43215647138364,Private room,110,288.0,3,350,4.1,74
22,19040,Mission,37.76348966609621,-122.41517400287556,Entire home/apt,198,,5,226,2.12,4
23,21334,Nob Hill,37.79579579428225,-122.41533449205014,Entire home/apt,125,302.0,30,118,1.13,325
24,21914,Haight Ashbury,37.76480029761001,-122.45251322942758,Private room,65,0.0,32,14,0.16,365
25,23540,Mission,37.75065032945569,-122.41983820914385,Entire home/apt,225,57.0,1,107,1.01,0
26,23611,Bernal Heights,37.74556318786063,-122.41206808320706,Private room,100,12.0,3,232,2.21,364
27,23630,Castro/Upper Market,37.759630163946134,-122.44143232729759,Entire home/apt,155,,3,340,3.29,235
28,24390,Mission,37.751455556926935,-122.41247816738357,Entire home/apt,95,,30,65,0.67,135
29,24450,Noe Valley,37.748848181981714,-122.4367259832525,Entire home/apt,180,,2,213,2.03,74
30,24463,Potrero Hill,37.75644595380928,-122.3991023222087,Private room,155,194.0,2,266,2.56,159
31,24685,Haight Ashbury,37.771617598397214,-122.43836201290921,Private room,79,15.0,1,177,1.74,348
32,24723,Western Addition,37.787164645590025,-122.43386112927004,Entire home/apt,195,262.0,5,270,2.56,60
33,25094,Noe Valley,37.74187613051245,-122.43121541816403,Private room,150,2.0,5,24,0.8,359
34,25168,Presidio Heights,37.789629921942776,-122.44877780669668,Private room,125,,30,16,0.17,365
35,25463,Western Addition,37.77728949301072,-122.43421149153566,Private room,110,293.0,2,388,3.93,63
36,25662,Potrero Hill,37.76212201623429,-122.39540903672585,Private room,125,43.0,4,295,2.89,236
37,25927,Western Addition,37.78894736246063,-122.43030637005006,Private room,110,0.0,2,74,0.93,361
38,26408,Western Addition,37.774778481770866,-122.43149873605402,Entire home/apt,393,360.0,2,29,0.32,3
39,27025,Castro/Upper Market,37.76297967565378,-122.43136441227804,Entire home/apt,175,129.0,30,129,1.24,248
40,27028,Mission,37.76097556330237,-122.42158079196122,Private room,199,,1,25,0.57,0
41,29373,Bernal Heights,37.737290095408824,-122.41163474069259,Entire home/apt,210,,7,12,0.13,107
42,29557,Outer Richmond,37.77930831937839,-122.50518320762501,Entire home/apt,155,50.0,2,33,0.33,301
43,32414,Bernal Heights,37.740254505653716,-122.41259087293636,Entire home/apt,150,92.0,30,93,0.91,248
44,33577,Potrero Hill,37.76514606125046,-122.3975009426848,Entire home/apt,230,62.0,1,612,6.53,336
45,33578,Potrero Hill,37.76525618558157,-122.39730470636793,Entire home/apt,230,38.0,1,558,5.58,348
46,38607,Presidio Heights,37.78197461686888,-122.45809229686044,Private room,119,352.0,2,192,1.88,26
47,39174,Noe Valley,37.74830167460932,-122.4248849594586,Entire home/apt,107,0.0,30,20,0.23,365
48,39418,Bernal Heights,37.74092694679287,-122.42054856183594,Entire home/apt,100,,30,21,0.24,365
49,40092,Mission,37.76016368956081,-122.41969302856536,Entire home/apt,117,,30,96,0.96,365
50,40138,Presidio Heights,37.782549488439756,-122.44843815751051,Private room,83,,30,136,1.39,364
51,41055,Castro/Upper Market,37.76125009086864,-122.43335472254522,Entire home/apt,159,361.0,4,40,0.4,35
52,41172,Bernal Heights,37.74082733936336,-122.4176300810205,Private room,129,17.0,2,219,2.18,334
53,41399,Mission,37.75610669111234,-122.41866188454807,Entire home/apt,290,,3,71,0.96,293
54,41423,Glen Park,37.735568322107156,-122.43301594389573,Entire home/apt,126,26.0,30,146,1.45,335
55,41609,Nob Hill,37.79001328977593,-122.4129160022777,Entire home/apt,170,175.0,30,13,0.13,285
56,42403,Bernal Heights,37.73355829915958,-122.4185132377998,Entire home/apt,85,9.0,30,6,0.07,338
57,42408,Bernal Heights,37.734043600057895,-122.41781290096887,Entire home/apt,85,0.0,30,4,0.05,360
58,42454,Mission,37.75117093817389,-122.41325858403587,Entire home/apt,91,,30,9,0.11,72
59,42577,Potrero Hill,37.75447178428228,-122.3881318306828,Entire home/apt,150,0.0,30,2,0.03,364
60,43732,Twin Peaks,37.75191264174378,-122.44385363370672,Entire home/apt,120,0.0,30,5,0.06,339
61,43778,Haight Ashbury,37.77271620117503,-122.44083686596024,Entire home/apt,120,3.0,30,8,0.08,270
62,44032,Mission,37.751450243931615,-122.41206984700956,Entire home/apt,95,,30,279,2.76,104
63,44680,Mission,37.751208534907924,-122.4216450325051,Entire home/apt,175,,31,3,0.03,9
64,45299,Castro/Upper Market,37.76068103780288,-122.43330627768971,Entire home/apt,116,313.0,3,118,1.17,1
65,45956,Western Addition,37.77248109626596,-122.4301612797086,Private room,125,55.0,2,77,1.03,216
66,47486,Ocean View,37.725357319421676,-122.46861057405347,Entire home/apt,78,,30,28,0.28,350
67,47682,Pacific Heights,37.79250377189508,-122.42431221967043,Entire home/apt,120,,30,25,0.25,364
68,51073,South of Market,37.771163291931664,-122.42199475971245,Private room,180,,2,149,1.5,15
69,51557,Western Addition,37.771214598433964,-122.42833896267528,Entire home/apt,119,,30,104,1.04,253
70,51773,Pacific Heights,37.79311697274764,-122.42599835412355,Private room,55,8.0,30,158,1.71,363
71,52713,Nob Hill,37.79666781067421,-122.4127171205569,Private room,99,201.0,30,166,1.67,22
72,53280,Bernal Heights,37.73877673960574,-122.41189493274796,Private room,90,,3,122,1.23,300
73,53934,Downtown/Civic Center,37.78775469122635,-122.41634362452434,Entire home/apt,163,,30,231,2.33,151
74,54518,Financial District,37.793300873764636,-122.40079409170286,Entire home/apt,200,,30,17,0.19,289
75,54634,Pacific Heights,37.791664463998366,-122.42649785318217,Entire home/apt,115,9.0,30,37,0.37,333
76,55632,Outer Richmond,37.77959492929261,-122.48618748703613,Entire home/apt,110,,30,10,0.1,219
77,55636,Twin Peaks,37.748894023606574,-122.44478571052342,Entire home/apt,106,,30,26,0.26,306
78,56621,Pacific Heights,37.7921566860583,-122.42458175015635,Private room,55,11.0,30,120,1.22,306
79,57479,Haight Ashbury,37.7745946756915,-122.43922880779158,Entire home/apt,200,28.0,31,152,1.55,363
80,57561,Bernal Heights,37.7472029202085,-122.41443017005629,Entire home/apt,175,4.0,30,212,2.16,314
81,57676,Mission,37.75762488503674,-122.41932566984038,Private room,99,15.0,2,107,1.15,365
82,59344,Noe Valley,37.7456548107698,-122.42864380484687,Entire home/apt,135,164.0,2,289,2.97,210
83,59381,Russian Hill,37.80310149636796,-122.4159579495255,Private room,109,292.0,2,215,2.33,64
84,59702,Bernal Heights,37.74208535134401,-122.41408795198386,Private room,150,26.0,2,182,2.0,363
85,59831,Outer Sunset,37.756735430951686,-122.4917779247513,Private room,100,,60,1,0.01,365
86,60659,North Beach,37.80240771165711,-122.40925349201656,Private room,135,351.0,2,188,1.97,31
87,62519,Glen Park,37.74182582587041,-122.42993120028237,Private room,85,334.0,3,35,0.75,0
88,62651,Mission,37.76245499615136,-122.42432107362413,Entire home/apt,1100,6.0,3,52,0.58,357
89,63247,Mission,37.749257791368365,-122.41397519022051,Entire home/apt,166,19.0,2,282,2.91,352
90,63405,Mission,37.75399608902932,-122.41770632143594,Entire home/apt,125,30.0,2,205,2.19,348
91,64165,Marina,37.80317360919436,-122.42874068498821,Private room,90,,30,64,0.71,220
92,66119,Inner Richmond,37.77797943313199,-122.47812392128417,Entire home/apt,95,1.0,30,96,1.07,365
93,66188,Outer Richmond,37.777186052227385,-122.50906016719796,Entire home/apt,216,0.0,30,12,0.13,334
94,68239,Mission,37.75425725549017,-122.42386605698998,Entire home/apt,326,119.0,31,35,0.38,365
95,69410,Inner Richmond,37.774419837277094,-122.46318942318709,Entire home/apt,80,,30,50,0.54,298
96,69549,Excelsior,37.73026801880825,-122.426443191646,Private room,46,84.0,30,39,0.41,348
97,69553,Excelsior,37.73128161034925,-122.42478400335014,Private room,40,0.0,30,26,0.28,309
98,69681,Seacliff,37.77706906926253,-122.50923187258286,Entire home/apt,170,30.0,30,7,0.08,284
99,70139,Bernal Heights,37.74527429273749,-122.42424032456832,Entire home/apt,108,,31,10,0.12,157
