Year,Continent,Sub Region,Country,GDP per Capita,GDP per Capita (Grouped),Life Expectancy,Life Expectancy (Grouped),C02 Emissions per Person (Tonnes),Child Mortality Rate (per 1000 births)
1960,Asia,Southern Asia,Afghanistan,1210,<5000,38.6,0-40,0.0461,364
1960,Europe,Southern Europe,Albania,2790,<5000,62.7,>60,1.24,188
1960,Africa,Northern Africa,Algeria,6520,>= 5000 and <20000,52,>=50 and <= 60,0.554,245
1960,Europe,Southern Europe,Andorra,15200,>= 5000 and <20000,,,,
1960,Africa,Middle Africa,Angola,3860,<5000,42.4,>=40 and < 50,0.0975,305
1960,Americas,Caribbean,Antigua and Barbuda,4420,<5000,62.9,>60,0.663,97.4
1960,Americas,South America,Argentina,9030,>= 5000 and <20000,64.1,>60,2.37,73.3
1960,Asia,Western Asia,Armenia,2520,<5000,62,>60,1.35,117
1960,Oceania,Australia and New Zealand,Australia,14300,>= 5000 and <20000,71.3,>60,8.57,24.9
1960,Europe,Western Europe,Austria,12100,>= 5000 and <20000,68.7,>60,4.36,42.8
1960,Asia,Western Asia,Azerbaijan,5080,>= 5000 and <20000,57.8,>=50 and <= 60,6.26,131
1960,Americas,Caribbean,Bahamas,14800,>= 5000 and <20000,61.9,>60,3.75,39.4
1960,Asia,Western Asia,Bahrain,22600,>= 20000 and <40000,52.8,>=50 and <= 60,3.54,199
1960,Asia,Southern Asia,Bangladesh,1060,<5000,43.8,>=40 and < 50,0.0459,262
1960,Americas,Caribbean,Barbados,4990,<5000,64.5,>60,0.746,83.7
1960,Europe,Eastern Europe,Belarus,3950,<5000,70.6,>60,4.63,45.8
1960,Europe,Western Europe,Belgium,12600,>= 5000 and <20000,69.6,>60,9.93,33.9
1960,Americas,Central America,Belize,2010,<5000,60.7,>60,0.478,136
1960,Africa,Western Africa,Benin,1190,<5000,41.1,>=40 and < 50,0.0664,318
1960,Asia,Southern Asia,Bhutan,951,<5000,41.7,>=40 and < 50,,344
1960,Europe,Southern Europe,Bosnia and Herzegovina,1760,<5000,60.6,>60,,125
1960,Africa,Southern Africa,Botswana,972,<5000,52.1,>=50 and <= 60,,169
1960,Americas,South America,Brazil,4440,<5000,56.8,>=50 and <= 60,0.65,171
1960,Europe,Eastern Europe,Bulgaria,4860,<5000,69,>60,2.83,53.6
1960,Africa,Western Africa,Burkina Faso,659,<5000,38.6,0-40,0.00911,344
1960,Africa,Eastern Africa,Burundi,645,<5000,42,>=40 and < 50,,252
1960,Asia,South-Eastern Asia,Cambodia,1550,<5000,43.9,>=40 and < 50,0.041,256
1960,Africa,Middle Africa,Cameroon,1850,<5000,46.1,>=40 and < 50,0.0524,277
1960,Americas,Northern America,Canada,14500,>= 5000 and <20000,71.1,>60,10.8,32.6
1960,Africa,Middle Africa,Central African Republic,1430,<5000,41.4,>=40 and < 50,0.0585,282
1960,Africa,Middle Africa,Chad,1470,<5000,44.5,>=40 and < 50,0.0183,289
1960,Americas,South America,Chile,5940,>= 5000 and <20000,58.2,>=50 and <= 60,1.75,157
1960,Asia,Eastern Asia,China,891,<5000,30.9,0-40,1.19,309
1960,Americas,South America,Colombia,3480,<5000,61,>60,0.996,136
1960,Africa,Eastern Africa,Comoros,1030,<5000,46.3,>=40 and < 50,0.0576,325
1960,Americas,Central America,Costa Rica,4260,<5000,63.4,>60,0.369,107
1960,Europe,Southern Europe,Croatia,7680,>= 5000 and <20000,64.4,>60,,68.8
1960,Americas,Caribbean,Cuba,9420,>= 5000 and <20000,65.6,>60,1.92,49
