"Continent","Country","Year","Life Expectancy","Gender","BMI","Blood Pressure","Cholesterol","Lung Cancer","Liver Cancer","Stomach Cancer","Population","Population Growth"
"Asia","Afghanistan",1990,48.9,"women",20.7,124,4.55,194,107,406,6067.694,6.75131277219977
"Europe","Albania",1990,69.1,"women",25.1,131,4.99,91,75.2,96.5,1603.313,0.509008534203854
"Africa","Algeria",1990,65.2,"women",24.7,131,4.95,181,140,304,12722.507,2.4605213422166
"Africa","Angola",1990,39.6,"women",20.9,130,4.66,127,165,200,5911.638,3.46469117357997
"Americas","Antigua and Barbuda",1990,68.7,"women",25.7,126,5.01,1.42,1.57,2.67,32.219,1.48049287687388
"Americas","Argentina",1990,68.1,"women",24.9,122,5.26,1600,685,1640,16733.715,1.44736539375746
"Asia","Armenia",1990,64.9,"women",26.2,135,5.15,141,117,224,1823.352,-0.590834901873041
"Oceania","Australia",1990,73.9,"women",24.9,126,5.6,1870,114,776,8505.517,1.39956219004678
"Europe","Austria",1990,72.1,"women",24.3,130,5.65,883,207,1110,4029.283,0.471845735333065
"Asia","Azerbaijan",1990,60.7,"women",26.7,131,5.11,194,172,464,3701.311,1.62971984791335
"Americas","Bahamas",1990,67.3,"women",27.2,129,5.36,6.18,4.36,8.44,129.093,1.89088486594936
"Asia","Bahrain",1990,71.4,"women",26.3,136,5.25,12.8,2.98,6.88,209.759,2.64780057113163
"Asia","Bangladesh",1990,58.1,"women",18.8,123,4.47,2240,406,2310,49955.818,2.39248809818307
"Americas","Barbados",1990,69,"women",27.5,128,5.11,7.82,8.69,18.4,135.394,0.324238887986168
"Europe","Belarus",1990,65.4,"women",26.1,133,5.41,521,117,1770,5390.324,0.0748192501972118
"Europe","Belgium",1990,72.5,"women",25,128,5.8,1020,244,1010,5110.675,0.316318294550136
"Americas","Belize",1990,69.1,"women",27,121,4.86,2.49,4.32,4.67,92.982,1.92187735260589
"Africa","Benin",1990,51.7,"women",21.9,128,4.47,43.1,144,98.8,2554.949,3.30210113783092
"Asia","Bhutan",1990,52.6,"women",21,123,4.47,4.46,2.35,11,257.99,0.773673398193721
"Europe","Bosnia and Herzegovina",1990,67.4,"women",25.4,133,4.94,262,78.9,205,2252.932,-1.98061903333078
"Africa","Botswana",1990,59.3,"women",24.4,132,4.76,24.2,12.6,14.7,671.468,2.99224981681927
"Americas","Brazil",1990,61.7,"women",24.6,131,4.85,4120,1980,4340,74925.448,1.80642897190283
"Europe","Bulgaria",1990,68,"women",25.7,133,5.34,488,319,843,4484.014,-0.711393853810455
"Africa","Burkina Faso",1990,48.3,"women",20.2,127,4.3,57,255,230,4505.343,2.67555655584937
"Africa","Burundi",1990,46.3,"women",20.1,129,4.3,40.4,103,141,2774.306,2.31910250707744
"Asia","Cambodia",1990,51.2,"women",20.1,115,4.37,215,97.6,307,4640.917,3.35112651228193
"Africa","Cameroon",1990,50.8,"women",22.7,126,4.6,145,404,254,5923.729,3.01092436875487
"Americas","Canada",1990,74.1,"women",25.1,124,5.47,4870,283,1720,13884.674,1.29664549560184
"Africa","Central African Republic",1990,46.6,"women",20.5,129,4.5,42.3,58.9,85.8,1424.484,2.53902465734962
"Africa","Chad",1990,45.8,"women",19.9,125,4.36,44.3,154,119,3005.552,3.20926072814577
"Americas","Chile",1990,70.6,"women",25.2,128,5.11,501,240,1010,6754.675,1.6433507163557
"Asia","China",1990,67.7,"women",22.1,123,4.25,79400,74100,107000,573024.206,1.36036172964045
"Americas","Colombia",1990,64.4,"women",24.7,125,5,853,607,1810,16787.263,2.03988583487375
"Africa","Comoros",1990,55.1,"women",21.5,129,4.53,2.45,5.47,4.95,205.212,2.94281036196714
"Americas","Costa Rica",1990,73.1,"women",24.6,123,4.86,53.8,48.7,206,1547.967,2.68203391932773
"Europe","Croatia",1990,68.6,"women",25,134,5.34,445,92.5,629,2460.555,-0.335818545003055
"Americas","Cuba",1990,72.8,"women",25,126,4.98,860,300,263,5289.671,0.727285307536131
"Asia","Cyprus",1990,74.5,"women",24.7,128,5.43,19.6,6.34,20.9,377.985,2.19664801513287
"Europe","Denmark",1990,72.1,"women",23.9,126,5.71,1220,114,354,2605.304,0.240202295010479
"Africa","Djibouti",1990,55.1,"women",22.9,130,4.91,2.19,6.47,4.64,293.434,2.78972443547782
"Americas","Dominican Republic",1990,65.5,"women",24,128,4.61,133,86.4,102,3544.173,1.95535037369791
"Americas","Ecuador",1990,66.6,"women",25.6,126,4.9,134,199,622,5087.226,2.37184272922021
"Africa","Egypt",1990,62.2,"women",27.2,125,4.78,595,1030,808,27927.902,2.26238619714436
"Americas","El Salvador",1990,59.3,"women",24.9,121,4.71,74.6,71.5,196,2699.1,1.45370679115261
"Africa","Equatorial Guinea",1990,46.7,"women",20.9,131,4.59,5.86,8.54,11.3,211.168,2.98577435975148
"Africa","Eritrea",1990,48,"women",19.4,121,4.26,14.2,37.2,45.8,1129.111,0.408108680191757
"Europe","Estonia",1990,64.3,"women",25.3,134,5.58,124,26.6,259,833.286,-0.973495294532726
"Africa","Ethiopia",1990,45.6,"women",19.3,120,4.29,301,758,997,24007.485,3.5890681593678
"Oceania","Fiji",1990,63.6,"women",25.5,125,4.85,7.67,8.91,9.08,358.487,0.902682663527545
"Europe","Finland",1990,71.2,"women",25.2,134,5.81,484,115,579,2571.583,0.398509400629886
"Europe","France",1990,72.5,"women",24.4,128,5.72,3050,994,3980,29089.912,0.46100173833458
"Africa","Gabon",1990,59.7,"women",23,136,5.11,21.1,31.6,24.6,483.926,2.6801618429264
"Africa","Gambia",1990,51,"women",21.5,128,4.47,4.71,34,5.93,478.775,3.8974466085322
"Asia","Georgia",1990,66.3,"women",26.1,134,5.19,224,150,393,2838.268,-0.666286622686796
"Europe","Germany",1990,72.1,"women",25.1,133,5.83,8750,1580,12100,40908.422,0.427266541838256
"Africa","Ghana",1990,55.7,"women",21.7,128,4.41,79.6,350,264,7335.022,2.89831441541688
"Europe","Greece",1990,73.7,"women",24.4,128,5.29,847,735,781,5155.977,0.840868762603101
"Americas","Grenada",1990,66.3,"women",25.2,125,4.79,2.83,3.07,4.51,48.82,-0.0430151577222466
"Americas","Guatemala",1990,59.5,"women",24.2,121,4.64,114,166,434,4660.637,2.50879868996449
"Africa","Guinea",1990,49,"women",21,130,4.37,45.8,246,124,3303.336,2.82641547817117
"Africa","Guinea-Bissau",1990,46.9,"women",21.4,128,4.35,9.87,36.1,33.1,504.011,2.25669677844332
"Americas","Guyana",1990,60,"women",24.3,122,4.5,8.84,11.4,17.4,376.574,0.361416348446783
"Americas","Haiti",1990,53.1,"women",21.5,124,4.49,205,118,421,3576.596,1.98649777609772
"Americas","Honduras",1990,64.5,"women",24.3,123,4.63,57.2,76.7,204,2494.078,2.88924404128499
"Europe","Hungary",1990,65.1,"women",25.5,133,5.29,1430,384,1120,5393.366,-0.0436276714764039
"Europe","Iceland",1990,75.7,"women",24.9,125,5.99,37.5,2.18,17.7,126.987,1.02766424909637
"Asia","India",1990,57.6,"women",20.6,124,4.54,7370,3570,30200,420020.42,2.03695644130827
"Asia","Indonesia",1990,61.9,"women",21.1,125,4.54,1900,1940,4850,90317.033,1.78542401852373
"Asia","Iraq",1990,62.8,"women",27.1,129,4.99,217,137,164,8633.975,2.71465923864732
"Europe","Ireland",1990,72.1,"women",25.2,128,5.6,460,39.7,210,1763.962,0.262874143547307
"Asia","Israel",1990,74.7,"women",25.4,128,5.63,311,63,205,2228.294,3.35934127184295
"Europe","Italy",1990,73.6,"women",24.9,131,5.38,5640,2740,8900,29315.604,0.0922785012377698
