Property ID,Host ID,Host Name,Host since,Host response time,Host response rate,Host acceptance rate,Host is super host?,Host listings count,Host total listings count,Host has progile picture?,Host verified?,Neighborhood,Neighborhood Group,Latitude,Longitude,Room type,Number of guests,Number of Bathrooms,Number of Bathrooms (text),Number of Bedrooms,Number of Beds,Price ($),Has hot water?,Has shampoo?,Has dishes and silverware?,Has long term stays allowed?,Has fire extinguisher?,Has essentials?,Has carbon monoxide alarm?,Has lock on bedroom door?,Has hangers?,Has hair dryer?,Has heating?,Has tv?,Has patio or balcony?,Has wifi?,Has backyard?,Has refrigerator?,Has elevator?,Has extra pillows and blankets?,Has kitchen?,Minimum nights,Maximum nights,Availability in last 90 days,Availability in last 1 year,Number of reviews,Score - rating,Score - accuracy,Score - cleanliness,Score - check in,Score - communication,Score - location,Score - value,Instantly bookable?,Revenue in 1 year
288781,1411775,Jeremies,16/11/2011,within a few hours,1,0.98,No,3,3,Yes,Yes,el Raval,Ciutat Vella,41.37783,2.16624,Entire home/apt,2,,2 baths,1,1,110,Yes,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,Yes,32,1125,72,347,0,,,,,,,,1,1980
370665,1447144,Acomodis Apartments,27/11/2011,a few days or more,0.15,0.04,No,123,123,Yes,Yes,"Sant Pere, Santa Caterina i la Ribera",Ciutat Vella,41.38545,2.18117,Entire home/apt,6,,1 bath,3,4,240,Yes,No,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,32,1125,74,349,0,,,,,,,,0,3840
1190898,786393,Jaime,06/07/2011,within a day,1,N/A,No,1,1,Yes,Yes,la Vila de Gràcia,Gràcia,41.39961,2.16268,Entire home/apt,4,,2 baths,2,2,70,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,31,1125,5,280,0,,,,,,,,0,5950
1506324,8046825,Luis,09/08/2013,within a few hours,1,0,No,1,1,Yes,No,el Baix Guinardó,Horta-Guinardó,41.4088,2.16706,Entire home/apt,4,,1.5 baths,1,1,125,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,No,Yes,30,1125,59,59,0,,,,,,,,0,38250
1608746,8568339,Leonardo,01/09/2013,a few days or more,0,N/A,No,2,2,Yes,Yes,la Dreta de l'Eixample,Eixample,41.39799,2.16903,Private room,1,,0 shared baths,1,,48,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,No,60,1125,89,364,0,,,,,,,,0,48
1978145,7496141,Aav,15/07/2013,N/A,N/A,N/A,No,2,2,Yes,Yes,la Dreta de l'Eixample,Eixample,41.39675,2.16695,Private room,3,,1 bath,1,3,79,No,No,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,No,Yes,1,1125,0,0,0,,,,,,,,1,28835
3357211,11455414,Cristina,19/01/2014,N/A,N/A,N/A,No,1,1,Yes,Yes,l'Antiga Esquerra de l'Eixample,Eixample,41.39108,2.14743,Private room,2,,1 bath,1,1,20,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,7300
3326883,5686988,Marian,30/03/2013,N/A,N/A,N/A,No,1,1,Yes,No,Sant Gervasi - la Bonanova,Sarrià-Sant Gervasi,41.40347,2.13643,Private room,2,,2 baths,1,1,60,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,21900
3518018,17713529,Anna,06/07/2014,N/A,N/A,N/A,No,1,1,Yes,No,Sant Antoni,Eixample,41.38128,2.1594,Private room,2,,1 bath,1,1,60,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,21900
3801715,19468585,Christian,04/08/2014,N/A,N/A,N/A,No,1,1,Yes,No,el Turó de la Peira,Nou Barris,41.43177,2.17156,Private room,4,,1 bath,1,3,58,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,21170
3826881,6581342,Sina,26/05/2013,N/A,N/A,N/A,No,1,1,Yes,No,la Dreta de l'Eixample,Eixample,41.39857,2.17238,Private room,2,,1.5 baths,1,1,25,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,2,1125,0,0,0,,,,,,,,0,9125
3845305,19821352,Guillem,11/08/2014,N/A,N/A,N/A,No,1,1,Yes,No,el Raval,Ciutat Vella,41.3778,2.17361,Private room,2,,1.5 baths,1,1,65,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,23725
4375073,8534709,Denisse,30/08/2013,N/A,N/A,N/A,No,1,1,Yes,No,l'Antiga Esquerra de l'Eixample,Eixample,41.39213,2.14959,Private room,1,,1 bath,1,1,30,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,10950
4497787,23329430,Benjamin,04/11/2014,N/A,N/A,N/A,No,1,1,Yes,No,el Poble Sec,Sants-Montjuïc,41.37175,2.1641,Private room,2,,1 bath,1,1,50,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No,Yes,1,1125,0,0,0,,,,,,,,0,18250
4600074,2099961,Tommaso,09/04/2012,N/A,N/A,N/A,No,1,1,Yes,Yes,Verdun,Nou Barris,41.44492,2.17837,Private room,2,,1 bath,1,1,15,No,No,No,Yes,No,Yes,No,No,No,No,Yes,Yes,No,No,No,No,No,No,Yes,2,1125,0,0,0,,,,,,,,0,5475
5112669,26416393,Pablo,20/01/2015,N/A,N/A,N/A,No,1,1,Yes,No,la Nova Esquerra de l'Eixample,Eixample,41.38801,2.15004,Private room,2,,2 baths,1,2,30,No,Yes,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,10950
4912693,17704687,Vince,06/07/2014,N/A,N/A,N/A,No,1,1,Yes,Yes,l'Antiga Esquerra de l'Eixample,Eixample,41.38784,2.1604,Private room,2,,1 bath,1,1,60,No,Yes,No,Yes,No,Yes,No,No,No,No,Yes,No,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,21900
4946158,10436366,Ke,04/12/2013,N/A,N/A,N/A,No,1,1,Yes,No,la Vila de Gràcia,Gràcia,41.40806,2.16053,Private room,2,,2 baths,1,1,30,No,No,No,Yes,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,10950
5360099,3439445,Cindy,01/09/2012,N/A,N/A,N/A,No,1,1,Yes,No,la Dreta de l'Eixample,Eixample,41.40154,2.17025,Private room,1,,1 bath,1,1,60,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,Yes,1,1125,0,0,0,,,,,,,,0,21900
5365791,5987148,Paula,18/04/2013,N/A,N/A,N/A,No,2,2,Yes,Yes,Pedralbes,Les Corts,41.39056,2.1198,Private room,2,,2 baths,1,1,80,No,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,Yes,1,1125,0,0,0,,,,,,,,0,29200
