Neighborhood Group,Date,# Incidents
Ciutat Vella,01/01/2018,4579
Ciutat Vella,01/02/2018,4189
Ciutat Vella,01/03/2018,5060
Ciutat Vella,01/04/2018,5525
Ciutat Vella,01/05/2018,6111
Ciutat Vella,01/06/2018,6354
Ciutat Vella,01/07/2018,6611
Ciutat Vella,01/08/2018,6438
Ciutat Vella,01/09/2018,6615
Ciutat Vella,01/10/2018,5709
Ciutat Vella,01/11/2018,5130
Ciutat Vella,01/12/2018,4859
Ciutat Vella,01/01/2019,4487
Ciutat Vella,01/02/2019,4566
Ciutat Vella,01/03/2019,5183
Ciutat Vella,01/04/2019,5269
Ciutat Vella,01/05/2019,5751
Ciutat Vella,01/06/2019,6232
Ciutat Vella,01/07/2019,6366
Ciutat Vella,01/08/2019,6091
Ciutat Vella,01/09/2019,5836
Ciutat Vella,01/10/2019,5391
Ciutat Vella,01/11/2019,4386
Ciutat Vella,01/12/2019,4418
Ciutat Vella,01/01/2020,4515
Ciutat Vella,01/02/2020,4591
Ciutat Vella,01/03/2020,5313
Ciutat Vella,01/04/2020,3809
Ciutat Vella,01/05/2020,4734
Ciutat Vella,01/06/2020,4931
Ciutat Vella,01/07/2020,5890
Ciutat Vella,01/08/2020,5295
Ciutat Vella,01/09/2020,5515
Ciutat Vella,01/10/2020,5200
Ciutat Vella,01/11/2020,4604
Ciutat Vella,01/12/2020,4260
Ciutat Vella,01/01/2021,4650
Ciutat Vella,01/02/2021,5495
Ciutat Vella,01/03/2021,6410
Ciutat Vella,01/04/2021,6443
Ciutat Vella,01/05/2021,7845
Ciutat Vella,01/06/2021,8367
Ciutat Vella,01/07/2021,8883
Ciutat Vella,01/08/2021,8732
Ciutat Vella,01/09/2021,7969
Ciutat Vella,01/10/2021,7309
Ciutat Vella,01/11/2021,6155
Ciutat Vella,01/12/2021,5961
Eixample,01/01/2018,5158
Eixample,01/02/2018,4885
Eixample,01/03/2018,5276
Eixample,01/04/2018,5422
Eixample,01/05/2018,5773
Eixample,01/06/2018,5834
Eixample,01/07/2018,5861
Eixample,01/08/2018,5341
Eixample,01/09/2018,5794
Eixample,01/10/2018,5768
Eixample,01/11/2018,5438
Eixample,01/12/2018,5140
Eixample,01/01/2019,5152
Eixample,01/02/2019,5050
Eixample,01/03/2019,5660
Eixample,01/04/2019,5280
Eixample,01/05/2019,5764
Eixample,01/06/2019,5851
Eixample,01/07/2019,6617
Eixample,01/08/2019,5375
Eixample,01/09/2019,5735
Eixample,01/10/2019,5904
Eixample,01/11/2019,5048
Eixample,01/12/2019,5277
Eixample,01/01/2020,5378
Eixample,01/02/2020,5215
Eixample,01/03/2020,6013
Eixample,01/04/2020,4242
Eixample,01/05/2020,5288
Eixample,01/06/2020,5188
Eixample,01/07/2020,5671
Eixample,01/08/2020,4555
Eixample,01/09/2020,5759
Eixample,01/10/2020,5624
Eixample,01/11/2020,5170
Eixample,01/12/2020,4935
Eixample,01/01/2021,5276
Eixample,01/02/2021,6720
Eixample,01/03/2021,6989
Eixample,01/04/2021,7011
Eixample,01/05/2021,8026
Eixample,01/06/2021,8091
Eixample,01/07/2021,8529
Eixample,01/08/2021,7964
Eixample,01/09/2021,8496
Eixample,01/10/2021,8118
Eixample,01/11/2021,7639
Eixample,01/12/2021,7689
Gràcia,01/01/2018,1714
Gràcia,01/02/2018,1618
Gràcia,01/03/2018,1938
Gràcia,01/04/2018,1974
Gràcia,01/05/2018,2074
Gràcia,01/06/2018,2257
Gràcia,01/07/2018,2233
Gràcia,01/08/2018,2114
Gràcia,01/09/2018,2004
Gràcia,01/10/2018,2058
Gràcia,01/11/2018,1747
Gràcia,01/12/2018,1699
Gràcia,01/01/2019,1557
Gràcia,01/02/2019,1624
Gràcia,01/03/2019,1805
Gràcia,01/04/2019,1690
Gràcia,01/05/2019,1901
Gràcia,01/06/2019,2018
Gràcia,01/07/2019,2182
Gràcia,01/08/2019,2153
Gràcia,01/09/2019,1896
Gràcia,01/10/2019,1809
Gràcia,01/11/2019,1626
Gràcia,01/12/2019,1676
Gràcia,01/01/2020,1882
Gràcia,01/02/2020,1731
Gràcia,01/03/2020,1977
Gràcia,01/04/2020,1535
Gràcia,01/05/2020,2383
Gràcia,01/06/2020,2357
Gràcia,01/07/2020,2380
Gràcia,01/08/2020,2021
Gràcia,01/09/2020,2399
Gràcia,01/10/2020,2373
Gràcia,01/11/2020,1998
Gràcia,01/12/2020,1798
Gràcia,01/01/2021,2043
Gràcia,01/02/2021,2528
Gràcia,01/03/2021,2570
Gràcia,01/04/2021,2601
Gràcia,01/05/2021,3239
Gràcia,01/06/2021,3355
Gràcia,01/07/2021,3117
Gràcia,01/08/2021,3174
Gràcia,01/09/2021,3024
Gràcia,01/10/2021,2949
Gràcia,01/11/2021,2551
Gràcia,01/12/2021,2402
Horta-Guinardó,01/01/2018,2100
Horta-Guinardó,01/02/2018,1790
Horta-Guinardó,01/03/2018,1926
Horta-Guinardó,01/04/2018,2143
Horta-Guinardó,01/05/2018,2297
Horta-Guinardó,01/06/2018,2485
Horta-Guinardó,01/07/2018,2463
Horta-Guinardó,01/08/2018,1960
Horta-Guinardó,01/09/2018,2335
Horta-Guinardó,01/10/2018,2314
Horta-Guinardó,01/11/2018,2042
Horta-Guinardó,01/12/2018,1985
Horta-Guinardó,01/01/2019,1789
Horta-Guinardó,01/02/2019,1697
Horta-Guinardó,01/03/2019,1923
Horta-Guinardó,01/04/2019,1690
Horta-Guinardó,01/05/2019,1891
Horta-Guinardó,01/06/2019,2031
Horta-Guinardó,01/07/2019,2375
Horta-Guinardó,01/08/2019,2007
Horta-Guinardó,01/09/2019,2141
Horta-Guinardó,01/10/2019,2033
Horta-Guinardó,01/11/2019,1808
Horta-Guinardó,01/12/2019,1959
Horta-Guinardó,01/01/2020,2102
Horta-Guinardó,01/02/2020,1867
Horta-Guinardó,01/03/2020,2416
Horta-Guinardó,01/04/2020,2261
Horta-Guinardó,01/05/2020,2807
Horta-Guinardó,01/06/2020,2584
