Neighbourhood,Score type,Percentage score
Baró de Viver,Instant Bookability,0.333333333
Baró de Viver,Rating,0.937
Baró de Viver,Accuracy,0.912
Baró de Viver,Cleanliness,0.947
Baró de Viver,Check In,0.939
Baró de Viver,Communication,0.958
Baró de Viver,Location,0.925
Baró de Viver,Value,0.912
Baró de Viver,Availability 365,0.00249863
Can Baró,Instant Bookability,0.37037037
Can Baró,Rating,0.935818182
Can Baró,Accuracy,0.955545455
Can Baró,Cleanliness,0.942636364
Can Baró,Check In,0.965818182
Can Baró,Communication,0.952272727
Can Baró,Location,0.910454545
Can Baró,Value,0.917818182
Can Baró,Availability 365,0.00251457
Can Peguera,Instant Bookability,1
Can Peguera,Rating,0
Can Peguera,Accuracy,0
Can Peguera,Cleanliness,0
Can Peguera,Check In,0
Can Peguera,Communication,0
Can Peguera,Location,0
Can Peguera,Value,0
Can Peguera,Availability 365,0
Ciutat Meridiana,Instant Bookability,0.333333333
Ciutat Meridiana,Rating,0.721333333
Ciutat Meridiana,Accuracy,0.704666667
Ciutat Meridiana,Cleanliness,0.712666667
Ciutat Meridiana,Check In,0.712666667
Ciutat Meridiana,Communication,0.725333333
Ciutat Meridiana,Location,0.69
Ciutat Meridiana,Value,0.729333333
Ciutat Meridiana,Availability 365,0.001998174
Diagonal Mar i el Front Marítim del Poblenou,Instant Bookability,0.575471698
Diagonal Mar i el Front Marítim del Poblenou,Rating,0.9068
Diagonal Mar i el Front Marítim del Poblenou,Accuracy,0.933483146
Diagonal Mar i el Front Marítim del Poblenou,Cleanliness,0.911168539
Diagonal Mar i el Front Marítim del Poblenou,Check In,0.945707865
Diagonal Mar i el Front Marítim del Poblenou,Communication,0.934898876
Diagonal Mar i el Front Marítim del Poblenou,Location,0.937460674
Diagonal Mar i el Front Marítim del Poblenou,Value,0.891460674
Diagonal Mar i el Front Marítim del Poblenou,Availability 365,0.002442358
el Baix Guinardó,Instant Bookability,0.302752294
el Baix Guinardó,Rating,0.897445783
el Baix Guinardó,Accuracy,0.940716049
el Baix Guinardó,Cleanliness,0.927407407
el Baix Guinardó,Check In,0.954888889
el Baix Guinardó,Communication,0.948197531
el Baix Guinardó,Location,0.954049383
el Baix Guinardó,Value,0.911407407
el Baix Guinardó,Availability 365,0.002497007
el Barri Gòtic,Instant Bookability,0.514322917
el Barri Gòtic,Rating,0.895708054
el Barri Gòtic,Accuracy,0.922316865
el Barri Gòtic,Cleanliness,0.904391156
el Barri Gòtic,Check In,0.940863946
el Barri Gòtic,Communication,0.940336735
el Barri Gòtic,Location,0.96794898
el Barri Gòtic,Value,0.895585034
el Barri Gòtic,Availability 365,0.002453658
el Besòs i el Maresme,Instant Bookability,0.523148148
el Besòs i el Maresme,Rating,0.917068063
el Besòs i el Maresme,Accuracy,0.930209424
el Besòs i el Maresme,Cleanliness,0.912272251
el Besòs i el Maresme,Check In,0.953602094
el Besòs i el Maresme,Communication,0.953612565
el Besòs i el Maresme,Location,0.886848168
el Besòs i el Maresme,Value,0.900753927
el Besòs i el Maresme,Availability 365,0.002467819
el Bon Pastor,Instant Bookability,0.52688172
el Bon Pastor,Rating,0.871658537
el Bon Pastor,Accuracy,0.926948718
el Bon Pastor,Cleanliness,0.911974359
el Bon Pastor,Check In,0.949974359
el Bon Pastor,Communication,0.933230769
el Bon Pastor,Location,0.847846154
el Bon Pastor,Value,0.894051282
el Bon Pastor,Availability 365,0.002449456
el Camp de l'Arpa del Clot,Instant Bookability,0.559471366
el Camp de l'Arpa del Clot,Rating,0.890893855
el Camp de l'Arpa del Clot,Accuracy,0.92220339
el Camp de l'Arpa del Clot,Cleanliness,0.910723164
el Camp de l'Arpa del Clot,Check In,0.943977401
el Camp de l'Arpa del Clot,Communication,0.934180791
el Camp de l'Arpa del Clot,Location,0.926169492
el Camp de l'Arpa del Clot,Value,0.894327684
el Camp de l'Arpa del Clot,Availability 365,0.002450213
el Camp d'en Grassot i Gràcia Nova,Instant Bookability,0.484375
el Camp d'en Grassot i Gràcia Nova,Rating,0.898
el Camp d'en Grassot i Gràcia Nova,Accuracy,0.929678392
el Camp d'en Grassot i Gràcia Nova,Cleanliness,0.921427136
el Camp d'en Grassot i Gràcia Nova,Check In,0.947768844
el Camp d'en Grassot i Gràcia Nova,Communication,0.947165829
el Camp d'en Grassot i Gràcia Nova,Location,0.952361809
el Camp d'en Grassot i Gràcia Nova,Value,0.892592965
el Camp d'en Grassot i Gràcia Nova,Availability 365,0.00244546
el Carmel,Instant Bookability,0.525423729
el Carmel,Rating,0.899833333
el Carmel,Accuracy,0.928416667
el Carmel,Cleanliness,0.92025
el Carmel,Check In,0.926875
el Carmel,Communication,0.945791667
el Carmel,Location,0.86675
el Carmel,Value,0.892291667
el Carmel,Availability 365,0.002444635
el Clot,Instant Bookability,0.367088608
el Clot,Rating,0.894350877
el Clot,Accuracy,0.934436364
el Clot,Cleanliness,0.922327273
el Clot,Check In,0.951418182
el Clot,Communication,0.956690909
el Clot,Location,0.948181818
el Clot,Value,0.912327273
el Clot,Availability 365,0.002499527
el Coll,Instant Bookability,0.409090909
el Coll,Rating,0.917578947
el Coll,Accuracy,0.942947368
el Coll,Cleanliness,0.926526316
el Coll,Check In,0.967789474
el Coll,Communication,0.963578947
el Coll,Location,0.860736842
el Coll,Value,0.904421053
el Coll,Availability 365,0.002477866
el Congrés i els Indians,Instant Bookability,0.289473684
el Congrés i els Indians,Rating,0.927714286
el Congrés i els Indians,Accuracy,0.943333333
el Congrés i els Indians,Cleanliness,0.919714286
el Congrés i els Indians,Check In,0.974190476
el Congrés i els Indians,Communication,0.962666667
el Congrés i els Indians,Location,0.920190476
el Congrés i els Indians,Value,0.916
el Congrés i els Indians,Availability 365,0.002509589
el Fort Pienc,Instant Bookability,0.47592068
el Fort Pienc,Rating,0.892230769
el Fort Pienc,Accuracy,0.930947712
el Fort Pienc,Cleanliness,0.919647059
el Fort Pienc,Check In,0.939416393
el Fort Pienc,Communication,0.943
el Fort Pienc,Location,0.958
el Fort Pienc,Value,0.897940984
el Fort Pienc,Availability 365,0.002460112
el Guinardó,Instant Bookability,0.338582677
el Guinardó,Rating,0.89246
el Guinardó,Accuracy,0.920836735
el Guinardó,Cleanliness,0.904612245
el Guinardó,Check In,0.949387755
el Guinardó,Communication,0.946530612
el Guinardó,Location,0.911714286
el Guinardó,Value,0.903428571
el Guinardó,Availability 365,0.002475147
el Parc i la Llacuna del Poblenou,Instant Bookability,0.346153846
el Parc i la Llacuna del Poblenou,Rating,0.89688189
el Parc i la Llacuna del Poblenou,Accuracy,0.921741935
el Parc i la Llacuna del Poblenou,Cleanliness,0.929354839
el Parc i la Llacuna del Poblenou,Check In,0.951887097
el Parc i la Llacuna del Poblenou,Communication,0.957629032
el Parc i la Llacuna del Poblenou,Location,0.936419355
el Parc i la Llacuna del Poblenou,Value,0.9045
el Parc i la Llacuna del Poblenou,Availability 365,0.002478082
el Poble Sec,Instant Bookability,0.40257649
el Poble Sec,Rating,0.902110476
el Poble Sec,Accuracy,0.924832061
el Poble Sec,Cleanliness,0.915156489
el Poble Sec,Check In,0.942206501
el Poble Sec,Communication,0.938030534
el Poble Sec,Location,0.944780115
el Poble Sec,Value,0.89242065
el Poble Sec,Availability 365,0.002444988
el Poblenou,Instant Bookability,0.351351351
el Poblenou,Rating,0.913709677
el Poblenou,Accuracy,0.940987755
el Poblenou,Cleanliness,0.922677551
el Poblenou,Check In,0.949918367
el Poblenou,Communication,0.954612245
el Poblenou,Location,0.947828571
el Poblenou,Value,0.907387755
el Poblenou,Availability 365,0.002485994
el Putxet i el Farró,Instant Bookability,0.444444444
el Putxet i el Farró,Rating,0.899230769
el Putxet i el Farró,Accuracy,0.926948276
el Putxet i el Farró,Cleanliness,0.90862069
el Putxet i el Farró,Check In,0.94487931
el Putxet i el Farró,Communication,0.944482759
el Putxet i el Farró,Location,0.926844828
el Putxet i el Farró,Value,0.886448276
el Putxet i el Farró,Availability 365,0.002428625
el Raval,Instant Bookability,0.474437628
el Raval,Rating,0.89722
el Raval,Accuracy,0.91686398
el Raval,Cleanliness,0.897267003
el Raval,Check In,0.944519546
el Raval,Communication,0.944047859
el Raval,Location,0.938307692
el Raval,Value,0.887836066
el Raval,Availability 365,0.002432428
el Turó de la Peira,Instant Bookability,0.153846154
el Turó de la Peira,Rating,0.913826087
el Turó de la Peira,Accuracy,0.921217391
el Turó de la Peira,Cleanliness,0.946173913
el Turó de la Peira,Check In,0.951652174
el Turó de la Peira,Communication,0.931130435
el Turó de la Peira,Location,0.897391304
el Turó de la Peira,Value,0.929043478
el Turó de la Peira,Availability 365,0.002545325
Horta,Instant Bookability,0.411764706
Horta,Rating,0.929333333
Horta,Accuracy,0.945733333
Horta,Cleanliness,0.916666667
Horta,Check In,0.963733333
Horta,Communication,0.964266667
Horta,Location,0.905866667
Horta,Value,0.911733333
Horta,Availability 365,0.0024979
Hostafrancs,Instant Bookability,0.641025641
Hostafrancs,Rating,0.862566667
Hostafrancs,Accuracy,0.916512821
Hostafrancs,Cleanliness,0.900290598
Hostafrancs,Check In,0.926478632
Hostafrancs,Communication,0.933350427
Hostafrancs,Location,0.946
Hostafrancs,Value,0.870888889
Hostafrancs,Availability 365,0.002385997
la Barceloneta,Instant Bookability,0.42804428
la Barceloneta,Rating,0.916058537
la Barceloneta,Accuracy,0.931004878
la Barceloneta,Cleanliness,0.8992
la Barceloneta,Check In,0.946858537
la Barceloneta,Communication,0.941902439
la Barceloneta,Location,0.975921951
la Barceloneta,Value,0.885278049
la Barceloneta,Availability 365,0.002425419
la Bordeta,Instant Bookability,0.553719008
la Bordeta,Rating,0.914366972
la Bordeta,Accuracy,0.937779817
la Bordeta,Cleanliness,0.920275229
la Bordeta,Check In,0.950110092
la Bordeta,Communication,0.954917431
la Bordeta,Location,0.902990826
la Bordeta,Value,0.907027523
la Bordeta,Availability 365,0.002485007
la Clota,Instant Bookability,0
la Clota,Rating,0
la Clota,Accuracy,0
la Clota,Cleanliness,0
la Clota,Check In,0
la Clota,Communication,0
la Clota,Location,0
la Clota,Value,0
la Clota,Availability 365,0
la Dreta de l'Eixample,Instant Bookability,0.591277259
la Dreta de l'Eixample,Rating,0.92057037
la Dreta de l'Eixample,Accuracy,0.9369375
la Dreta de l'Eixample,Cleanliness,0.927254464
la Dreta de l'Eixample,Check In,0.951440476
la Dreta de l'Eixample,Communication,0.949952381
la Dreta de l'Eixample,Location,0.97427997
la Dreta de l'Eixample,Value,0.907810871
la Dreta de l'Eixample,Availability 365,0.002487153
la Font de la Guatlla,Instant Bookability,0.390625
la Font de la Guatlla,Rating,0.923849057
la Font de la Guatlla,Accuracy,0.941018868
la Font de la Guatlla,Cleanliness,0.927358491
la Font de la Guatlla,Check In,0.954981132
la Font de la Guatlla,Communication,0.956716981
la Font de la Guatlla,Location,0.947471698
la Font de la Guatlla,Value,0.914566038
la Font de la Guatlla,Availability 365,0.00250566
la Font d'en Fargues,Instant Bookability,0.285714286
la Font d'en Fargues,Rating,0.9416
la Font d'en Fargues,Accuracy,0.96
la Font d'en Fargues,Cleanliness,0.8368
la Font d'en Fargues,Check In,0.9188
la Font d'en Fargues,Communication,0.896
la Font d'en Fargues,Location,0.8736
la Font d'en Fargues,Value,0.9292
la Font d'en Fargues,Availability 365,0.002545753
la Guineueta,Instant Bookability,0.1
la Guineueta,Rating,0.921
la Guineueta,Accuracy,0.939666667
la Guineueta,Cleanliness,0.943333333
la Guineueta,Check In,0.962
la Guineueta,Communication,0.995333333
la Guineueta,Location,0.966666667
la Guineueta,Value,0.963333333
la Guineueta,Availability 365,0.002639269
la Marina de Port,Instant Bookability,0.587412587
la Marina de Port,Rating,0.913821429
la Marina de Port,Accuracy,0.925387387
la Marina de Port,Cleanliness,0.927891892
la Marina de Port,Check In,0.949675676
la Marina de Port,Communication,0.947981982
la Marina de Port,Location,0.905963964
la Marina de Port,Value,0.901693694
la Marina de Port,Availability 365,0.002470394
la Marina del Prat Vermell,Instant Bookability,0.59375
la Marina del Prat Vermell,Rating,0.907466667
la Marina del Prat Vermell,Accuracy,0.932066667
la Marina del Prat Vermell,Cleanliness,0.918666667
la Marina del Prat Vermell,Check In,0.953433333
la Marina del Prat Vermell,Communication,0.9475
la Marina del Prat Vermell,Location,0.901766667
la Marina del Prat Vermell,Value,0.9004
la Marina del Prat Vermell,Availability 365,0.002466849
la Maternitat i Sant Ramon,Instant Bookability,0.535433071
la Maternitat i Sant Ramon,Rating,0.893043988
la Maternitat i Sant Ramon,Accuracy,0.916441176
la Maternitat i Sant Ramon,Cleanliness,0.905052941
la Maternitat i Sant Ramon,Check In,0.938064706
la Maternitat i Sant Ramon,Communication,0.932447059
la Maternitat i Sant Ramon,Location,0.881435294
la Maternitat i Sant Ramon,Value,0.884652941
la Maternitat i Sant Ramon,Availability 365,0.002423707
la Nova Esquerra de l'Eixample,Instant Bookability,0.460743802
la Nova Esquerra de l'Eixample,Rating,0.883867347
la Nova Esquerra de l'Eixample,Accuracy,0.922359375
la Nova Esquerra de l'Eixample,Cleanliness,0.915619792
la Nova Esquerra de l'Eixample,Check In,0.946817708
la Nova Esquerra de l'Eixample,Communication,0.941151042
la Nova Esquerra de l'Eixample,Location,0.944489583
la Nova Esquerra de l'Eixample,Value,0.893260417
la Nova Esquerra de l'Eixample,Availability 365,0.002447289
la Prosperitat,Instant Bookability,0.470588235
la Prosperitat,Rating,0.909111111
la Prosperitat,Accuracy,0.929333333
la Prosperitat,Cleanliness,0.915555556
la Prosperitat,Check In,0.949333333
la Prosperitat,Communication,0.919333333
la Prosperitat,Location,0.883555556
la Prosperitat,Value,0.907111111
la Prosperitat,Availability 365,0.002485236
la Sagrada Família,Instant Bookability,0.51055409
la Sagrada Família,Rating,0.901716069
la Sagrada Família,Accuracy,0.927072327
la Sagrada Família,Cleanliness,0.923025157
la Sagrada Família,Check In,0.942399371
la Sagrada Família,Communication,0.941686028
la Sagrada Família,Location,0.96200314
la Sagrada Família,Value,0.900910518
la Sagrada Família,Availability 365,0.002468248
la Sagrera,Instant Bookability,0.390243902
la Sagrera,Rating,0.922933333
la Sagrera,Accuracy,0.931466667
la Sagrera,Cleanliness,0.923333333
la Sagrera,Check In,0.957466667
la Sagrera,Communication,0.940066667
la Sagrera,Location,0.9252
la Sagrera,Value,0.9132
la Sagrera,Availability 365,0.002501918
la Salut,Instant Bookability,0.322033898
la Salut,Rating,0.9252
la Salut,Accuracy,0.960888889
la Salut,Cleanliness,0.945074074
la Salut,Check In,0.96862963
la Salut,Communication,0.958074074
la Salut,Location,0.928148148
la Salut,Value,0.924296296
la Salut,Availability 365,0.002532319
la Teixonera,Instant Bookability,0.315789474
la Teixonera,Rating,0.910588235
la Teixonera,Accuracy,0.945529412
la Teixonera,Cleanliness,0.917294118
la Teixonera,Check In,0.956117647
la Teixonera,Communication,0.966588235
la Teixonera,Location,0.883411765
la Teixonera,Value,0.914
la Teixonera,Availability 365,0.00250411
la Trinitat Nova,Instant Bookability,0.625
la Trinitat Nova,Rating,0.9108
la Trinitat Nova,Accuracy,0.9312
la Trinitat Nova,Cleanliness,0.908
la Trinitat Nova,Check In,0.9324
la Trinitat Nova,Communication,0.9328
la Trinitat Nova,Location,0.8756
la Trinitat Nova,Value,0.9068
la Trinitat Nova,Availability 365,0.002484384
la Trinitat Vella,Instant Bookability,0.642857143
la Trinitat Vella,Rating,0.92075
la Trinitat Vella,Accuracy,0.91625
la Trinitat Vella,Cleanliness,0.9145
la Trinitat Vella,Check In,0.9235
la Trinitat Vella,Communication,0.91425
la Trinitat Vella,Location,0.8795
