Title ID;Genre importance;Genre
tt0035423;Primary genre;Comedy
tt0035423;Secondary genre;Fantasy
tt0035423;Tertiary genre;Romance
tt0069049;Primary genre;Drama
tt0088751;Primary genre;Comedy
tt0088751;Secondary genre;Horror
tt0088751;Tertiary genre;Sci-Fi
tt0096056;Primary genre;Drama
tt0100275;Primary genre;Comedy
tt0100275;Secondary genre;Drama
tt0100275;Tertiary genre;Fantasy
tt0102362;Primary genre;Drama
tt0102362;Secondary genre;Romance
tt0103902;Primary genre;Comedy
tt0108549;Primary genre;Comedy
tt0108549;Secondary genre;Mystery
tt0110476;Primary genre;Drama
tt0110476;Secondary genre;Fantasy
tt0111056;Primary genre;Action
tt0111056;Secondary genre;Adventure
tt0111056;Tertiary genre;Animation
tt0113026;Primary genre;Musical
tt0113026;Secondary genre;Romance
tt0113092;Primary genre;Action
tt0113092;Secondary genre;Adventure
tt0113092;Tertiary genre;Drama
tt0114447;Primary genre;Action
tt0114978;Primary genre;Drama
tt0115686;Primary genre;Comedy
tt0115686;Secondary genre;Fantasy
tt0115937;Primary genre;Drama
tt0116391;Primary genre;Action
tt0116391;Secondary genre;Crime
tt0116391;Tertiary genre;Drama
tt0116628;Primary genre;Action
tt0116628;Secondary genre;Thriller
tt0116991;Primary genre;Drama
tt0117743;Primary genre;Drama
tt0117743;Secondary genre;Romance
tt0118141;Primary genre;Drama
tt0118589;Primary genre;Drama
tt0118589;Secondary genre;Music
tt0118589;Tertiary genre;Romance
tt0118652;Primary genre;Comedy
tt0118652;Secondary genre;Horror
tt0118652;Tertiary genre;Mystery
tt0118694;Primary genre;Drama
tt0118694;Secondary genre;Romance
tt0118710;Primary genre;Drama
tt0118852;Primary genre;Drama
tt0118926;Primary genre;Crime
tt0118926;Secondary genre;Drama
tt0118926;Tertiary genre;Thriller
tt0119004;Primary genre;Comedy
tt0119004;Secondary genre;Drama
tt0119231;Primary genre;Comedy
tt0119273;Primary genre;Action
tt0119273;Secondary genre;Adventure
tt0119273;Tertiary genre;Animation
tt0119495;Primary genre;Comedy
tt0119495;Secondary genre;Drama
tt0119495;Tertiary genre;Romance
tt0119727;Primary genre;Drama
tt0119866;Primary genre;Drama
tt0119866;Secondary genre;Romance
tt0119970;Primary genre;Comedy
tt0119970;Secondary genre;Drama
tt0119970;Tertiary genre;Sci-Fi
tt0119980;Primary genre;Drama
tt0120166;Primary genre;Adventure
tt0120166;Secondary genre;Family
tt0120166;Tertiary genre;Fantasy
tt0120202;Primary genre;Comedy
tt0120202;Secondary genre;Drama
tt0120263;Primary genre;Comedy
tt0120263;Secondary genre;Drama
tt0120467;Primary genre;Crime
tt0120467;Secondary genre;Drama
tt0120467;Tertiary genre;Thriller
tt0120485;Primary genre;Drama
tt0120607;Primary genre;Comedy
tt0120626;Primary genre;Drama
tt0120626;Secondary genre;History
tt0120626;Tertiary genre;War
tt0120630;Primary genre;Adventure
tt0120630;Secondary genre;Animation
tt0120630;Tertiary genre;Comedy
tt0120667;Primary genre;Action
tt0120667;Secondary genre;Adventure
tt0120667;Tertiary genre;Fantasy
tt0120673;Primary genre;Action
tt0120673;Secondary genre;Drama
tt0120673;Tertiary genre;Sci-Fi
tt0120679;Primary genre;Biography
tt0120679;Secondary genre;Drama
tt0120679;Tertiary genre;Romance
tt0120681;Primary genre;Horror
tt0120681;Secondary genre;Mystery
tt0120681;Tertiary genre;Thriller
tt0120698;Primary genre;Comedy
tt0120698;Secondary genre;Drama
tt0120698;Tertiary genre;Thriller
tt0120737;Primary genre;Action
tt0120737;Secondary genre;Adventure
tt0120737;Tertiary genre;Drama
tt0120753;Primary genre;Drama
tt0120753;Secondary genre;Mystery
tt0120753;Tertiary genre;Thriller
tt0120755;Primary genre;Action
tt0120755;Secondary genre;Adventure
tt0120755;Tertiary genre;Thriller
tt0120804;Primary genre;Action
tt0120804;Secondary genre;Horror
tt0120804;Tertiary genre;Sci-Fi
tt0120807;Primary genre;Drama
tt0120824;Primary genre;Drama
tt0120903;Primary genre;Action
tt0120903;Secondary genre;Adventure
tt0120903;Tertiary genre;Sci-Fi
tt0120912;Primary genre;Action
tt0120912;Secondary genre;Adventure
tt0120912;Tertiary genre;Comedy
tt0120913;Primary genre;Action
tt0120913;Secondary genre;Adventure
tt0120913;Tertiary genre;Animation
tt0120917;Primary genre;Adventure
tt0120917;Secondary genre;Animation
tt0120917;Tertiary genre;Comedy
tt0121164;Primary genre;Animation
tt0121164;Secondary genre;Drama
tt0121164;Tertiary genre;Family
tt0121765;Primary genre;Action
tt0121765;Secondary genre;Adventure
tt0121765;Tertiary genre;Fantasy
tt0121766;Primary genre;Action
tt0121766;Secondary genre;Adventure
tt0121766;Tertiary genre;Fantasy
tt0122161;Primary genre;Drama
tt0122161;Secondary genre;Thriller
tt0122247;Primary genre;Comedy
tt0122247;Secondary genre;Horror
tt0122247;Tertiary genre;Mystery
tt0122459;Primary genre;Comedy
tt0122459;Secondary genre;Drama
tt0122459;Tertiary genre;Romance
tt0123003;Primary genre;Comedy
tt0123003;Secondary genre;Drama
tt0123581;Primary genre;Comedy
tt0124889;Primary genre;Comedy
tt0124889;Secondary genre;Crime
tt0125022;Primary genre;Comedy
tt0125022;Secondary genre;Crime
tt0125022;Tertiary genre;Romance
tt0126029;Primary genre;Adventure
tt0126029;Secondary genre;Animation
tt0126029;Tertiary genre;Comedy
tt0126899;Primary genre;Crime
tt0126899;Secondary genre;Thriller
tt0127349;Primary genre;Drama
tt0127349;Secondary genre;Mystery
tt0127349;Tertiary genre;Romance
tt0128154;Primary genre;Crime
tt0128154;Secondary genre;Mystery
tt0128154;Tertiary genre;Thriller
tt0128165;Primary genre;Action
tt0128165;Secondary genre;Crime
tt0128216;Primary genre;Comedy
tt0130623;Primary genre;Adventure
tt0130623;Secondary genre;Animation
tt0130623;Tertiary genre;Family
tt0131370;Primary genre;Documentary
tt0131597;Primary genre;Action
tt0131597;Secondary genre;Crime
tt0131597;Tertiary genre;Sci-Fi
tt0131704;Primary genre;Adventure
tt0131704;Secondary genre;Animation
tt0131704;Tertiary genre;Comedy
tt0132078;Primary genre;Comedy
tt0132245;Primary genre;Action
tt0132245;Secondary genre;Drama
tt0132245;Tertiary genre;Sport
tt0132885;Primary genre;Thriller
tt0132910;Primary genre;Action
tt0132910;Secondary genre;Crime
tt0132910;Tertiary genre;Fantasy
tt0133063;Primary genre;Fantasy
