Name ID;Person name;Birth Year (Film person);Death Year (Film person);Profession (Film person);# Film people
nm0000035;James Horner;1953;2015;music_department;1
nm0000049;Henry Mancini;1924;1994;music_department;1
nm0000056;Paul Newman;1925;2008;actor;1
nm0000084;Gong Li;1965;;actress;1
nm0000090;Armin Mueller-Stahl;1930;;actor;1
nm0000091;Gérard Pirès;1942;;director;1
nm0000093;Brad Pitt;1963;;actor;1
nm0000096;Gillian Anderson;1968;;actress;1
nm0000097;Pamela Anderson;1967;;actress;1
nm0000098;Jennifer Aniston;1969;;actress;1
nm0000099;Patricia Arquette;1968;;actress;1
nm0000100;Rowan Atkinson;1955;;actor;1
nm0000102;Kevin Bacon;1958;;actor;1
nm0000103;Fairuza Balk;1974;;actress;1
nm0000106;Drew Barrymore;1975;;producer;1
nm0000107;Kim Basinger;1953;;actress;1
nm0000109;Yasmine Bleeth;1968;;actress;1
nm0000111;Matthew Broderick;1962;;actor;1
nm0000112;Pierce Brosnan;1953;;actor;1
nm0000113;Sandra Bullock;1964;;producer;1
nm0000114;Steve Buscemi;1957;;actor;1
nm0000115;Nicolas Cage;1964;;actor;1
nm0000116;James Cameron;1954;;writer;1
nm0000117;Neve Campbell;1973;;actress;1
nm0000119;Tia Carrere;1967;;actress;1
nm0000120;Jim Carrey;1962;;actor;1
nm0000123;George Clooney;1961;;actor;1
nm0000124;Jennifer Connelly;1970;;actress;1
nm0000128;Russell Crowe;1964;;actor;1
nm0000129;Tom Cruise;1962;;actor;1
nm0000130;Jamie Lee Curtis;1958;;actress;1
nm0000131;John Cusack;1966;;actor;1
nm0000132;Claire Danes;1979;;actress;1
nm0000136;Johnny Depp;1963;;actor;1
nm0000138;Leonardo DiCaprio;1974;;actor;1
nm0000139;Cameron Diaz;1972;;actress;1
nm0000140;Michael Douglas;1944;;actor;1
nm0000141;David Duchovny;1960;;actor;1
nm0000142;Clint Eastwood;1930;;actor;1
nm0000144;Cary Elwes;1962;;actor;1
nm0000146;Ralph Fiennes;1962;;actor;1
nm0000147;Colin Firth;1960;;actor;1
nm0000149;Jodie Foster;1962;;actress;1
nm0000151;Morgan Freeman;1937;;actor;1
nm0000152;Richard Gere;1949;;actor;1
nm0000158;Tom Hanks;1956;;producer;1
nm0000159;Teri Hatcher;1964;;actress;1
nm0000160;Ethan Hawke;1970;;actor;1
nm0000161;Salma Hayek;1966;;actress;1
nm0000164;Anthony Hopkins;1937;;actor;1
nm0000165;Ron Howard;1954;;actor;1
nm0000166;Helen Hunt;1963;;actress;1
nm0000167;Elizabeth Hurley;1965;;actress;1
nm0000168;Samuel L. Jackson;1948;;actor;1
nm0000169;Tommy Lee Jones;1946;;actor;1
nm0000170;Milla Jovovich;1975;;actress;1
nm0000171;Ashley Judd;1968;;actress;1
nm0000173;Nicole Kidman;1967;;actress;1
nm0000174;Val Kilmer;1959;;actor;1
nm0000175;Stephen King;1947;;writer;1
nm0000178;Diane Lane;1965;;actress;1
nm0000179;Jude Law;1972;;actor;1
nm0000181;Heather Locklear;1961;;actress;1
nm0000182;Jennifer Lopez;1969;;actress;1
nm0000183;Traci Lords;1968;;actress;1
nm0000186;David Lynch;1946;;writer;1
nm0000187;Madonna;1958;;soundtrack;1
nm0000189;Jenny McCarthy;1972;;actress;1
nm0000190;Matthew McConaughey;1969;;actor;1
nm0000191;Ewan McGregor;1971;;actor;1
nm0000193;Demi Moore;1962;;actress;1
nm0000194;Julianne Moore;1960;;actress;1
nm0000195;Bill Murray;1950;;actor;1
nm0000196;Mike Myers;1963;;actor;1
nm0000197;Jack Nicholson;1937;;actor;1
nm0000198;Gary Oldman;1958;;actor;1
nm0000200;Bill Paxton;1955;2017;actor;1
nm0000201;Michelle Pfeiffer;1958;;actress;1
nm0000202;Ryan Phillippe;1974;;actor;1
nm0000204;Natalie Portman;1981;;actress;1
nm0000205;Parker Posey;1968;;actress;1
nm0000206;Keanu Reeves;1964;;actor;1
nm0000207;Christina Ricci;1980;;actress;1
nm0000209;Tim Robbins;1958;;actor;1
nm0000210;Julia Roberts;1967;;actress;1
nm0000211;Mimi Rogers;1956;;actress;1
nm0000214;Mia Sara;1967;;actress;1
nm0000216;Arnold Schwarzenegger;1947;;actor;1
