Title ID;Average Rating;Number of Votes
tt0035423;6,4;79396
tt0069049;6,8;6423
tt0088751;5,3;286
tt0096056;5,8;649
tt0100275;6,6;265
tt0102362;5,2;9
tt0103902;7,8;28
tt0108549;7,7;23
tt0110476;6,6;575
tt0111056;7,5;198
tt0113026;5,6;1113
tt0113092;3,5;751
tt0114447;4,4;127
tt0114978;6,7;54
tt0115686;6,5;25
tt0115937;7,7;12
tt0116391;6,3;219
tt0116628;6,3;53
tt0116991;7,6;44
tt0117743;6,8;51
tt0118141;5,6;852
tt0118589;2,3;21536
tt0118652;5;1661
tt0118694;8,1;127165
tt0118710;6,2;123
tt0118852;7,1;3921
tt0118926;6,9;6310
tt0119004;5,8;4052
tt0119231;4,4;137
tt0119273;5,5;7742
tt0119495;4,7;129
tt0119727;5,1;91
tt0119866;5,5;70
tt0119970;3,8;101
tt0119980;6,5;70
tt0120166;4,5;509
tt0120202;6,7;20466
tt0120263;7,6;17807
tt0120467;5,3;3931
tt0120485;6,3;45
tt0120607;4,9;61
tt0120626;7,1;2977
tt0120630;7;178252
tt0120667;5,7;313171
tt0120673;6,1;28
tt0120679;7,4;82054
tt0120681;6,8;147811
tt0120698;4,5;296
tt0120737;8,8;1678782
tt0120753;5,9;20863
tt0120755;6,1;317066
tt0120804;6,7;249317
tt0120807;4,8;273
tt0120824;6,7;31962
tt0120903;7,4;574853
tt0120912;6,2;345777
tt0120913;6,6;58942
tt0120917;7,4;182583
tt0121164;7,3;247366
tt0121765;6,5;648729
tt0121766;7,5;719012
tt0122161;4,8;301
tt0122247;5,3;719
tt0122459;6,9;19729
tt0123003;6,1;1380
tt0123581;4,9;55
tt0124889;5,4;86
tt0125022;6,2;51919
tt0126029;7,8;618492
tt0126899;2,8;82
tt0127349;6,5;6794
tt0128154;7,9;17
tt0128165;3,9;53
tt0128216;2;215
tt0130623;6,5;54139
tt0131370;9,2;8
tt0131597;5,1;14
tt0131704;4,2;19445
tt0132078;5,6;225
tt0132245;4,6;39488
tt0132885;4,7;349
tt0132910;4,9;10901
tt0133063;7;132
tt0133152;5,7;211215
tt0133240;7,2;104348
tt0133752;6,6;86
tt0134084;5,6;124736
tt0134630;6,1;9171
tt0134847;7,1;226365
tt0134983;4,9;17159
tt0135707;6,4;345
tt0136461;7,1;284
tt0136517;4,4;101
tt0137204;8,6;277
tt0138288;6,4;67
tt0138353;6,3;409
tt0138524;6,2;92292
tt0138631;5,6;264
tt0138681;5,6;1126
tt0138749;6,9;85500
tt0138927;6,5;366
tt0138946;6,4;20088
tt0139159;7,7;7
tt0139388;5,7;1714
tt0139500;7,2;1381
tt0139654;7,7;396084
tt0140806;6,7;89
tt0141120;3,8;326
tt0141399;5,5;2280
tt0141907;4,5;4673
tt0141926;6,6;78189
tt0142032;7,1;18512
tt0142634;3,3;539
tt0143344;3,7;165
tt0144084;7,6;499526
tt0144142;5,1;3632
tt0144528;4,4;48698
tt0144574;6,5;78
tt0144964;4,7;19471
tt0145487;7,3;693516
tt0145937;6,6;5523
tt0146063;6,3;279
tt0146309;7,3;54387
tt0146316;5,8;198930
tt0146592;6,7;480
tt0146803;7,6;1462
tt0146882;7,5;169667
tt0146984;6,7;53891
tt0148403;4,9;55
tt0148415;4;52
tt0148421;6,5;295
tt0149253;6,2;194
tt0149367;6,2;5743
tt0149624;5,8;12977
tt0150021;4,7;1661
tt0151150;6,1;9512
tt0151299;5,2;14
tt0151309;5,5;142
tt0151372;7;318
tt0152083;5,9;75
tt0153012;3,9;82
tt0153464;6;2576
tt0154039;4,6;69
tt0154187;6,9;120
tt0154352;7,1;61
tt0155723;6,8;313
tt0155754;6,3;611
tt0156020;6;609
tt0156100;3,5;124
tt0156376;6,6;93
tt0156741;5;566
tt0156757;6;1894
tt0156807;4,3;1036
tt0156812;7;19391
tt0156841;4,7;10779
tt0156942;5,6;171
tt0156976;5,5;248
tt0156984;4,8;714
tt0157007;4,3;319
tt0157122;7,4;3288
tt0157191;5,5;1413
tt0157202;5;39
tt0157262;3,6;11472
tt0157472;5,2;13506
tt0157583;6,3;20170
tt0157836;2,8;825
tt0158033;6;1621
tt0158466;6,9;4351
tt0158581;5,3;700
tt0158607;3,8;65
tt0158622;3,7;21898
tt0158871;5,4;181
tt0159273;6,4;99124
tt0159290;7,3;545
tt0159291;4,7;249
tt0159365;7,2;140691
tt0159369;7,3;65
tt0159371;7,8;61
tt0159396;3,7;136
tt0159784;6,3;6611
tt0160009;5,7;28813
tt0160127;5,5;177170
tt0160182;4,2;334
tt0160184;5,4;25004
tt0160239;5,2;96
tt0160256;5,8;147
tt0160261;6;69
tt0160270;5,6;10
tt0160275;6,7;151
tt0160289;5,6;1270
tt0160399;6,2;22652
tt0160403;5,9;1098
tt0160405;3,1;87
tt0160447;5;171
tt0160480;7;10
tt0160484;4,9;10409
tt0160495;4,7;909
tt0160547;4,9;380
tt0160550;6,4;333
tt0160611;6,4;13416
tt0160616;5,7;254
tt0160644;5,5;3167
tt0160652;4,6;294
tt0160663;5,7;236
tt0160706;5,5;873
tt0160710;7,2;235
tt0160751;7,8;16
tt0160759;6,8;149
tt0160797;6,4;44629
tt0160859;3,4;99
tt0160904;8,2;14643
tt0160905;5,2;464
tt0161081;6,6;118586
tt0161083;5,5;15156
tt0161216;6,5;2209
tt0161539;4,2;164
tt0161860;7,5;12588
tt0162030;3,4;266
tt0162203;4,9;32
tt0162222;7,8;529904
tt0162346;7,3;113719
tt0162650;5,9;73886
tt0162711;5,1;1490
tt0162838;5,5;247
tt0162862;7,3;54
tt0162901;5,7;159
tt0162942;6,8;131
tt0162983;4,9;11897
tt0163025;5,9;297902
tt0163080;5,9;427
tt0163125;5,5;328
tt0163141;6;327
tt0163246;3,5;161
tt0163596;5,3;194
tt0163676;4,7;4286
tt0163745;6,5;613
tt0163764;6,1;224
tt0163887;6;2392
tt0163944;5,9;26
tt0163978;6,7;225042
tt0163983;5,1;13944
tt0164003;6;5038
tt0164052;5,8;124290
tt0164182;8,3;11
tt0164184;6,4;105452
tt0164192;4,7;564
tt0164212;6,5;22889
tt0164318;5,4;253
tt0164334;6,4;78108
tt0164545;3,7;398
tt0164810;5,9;966
tt0164953;7;27
tt0164961;6,5;21223
tt0164962;5,9;588
tt0165361;6,2;6139
tt0165642;3,3;139
tt0165713;6,9;9
tt0165800;4;535
tt0165832;7,7;30214
tt0165929;6,1;67092
tt0165982;6,7;49881
tt0166013;6,3;700
tt0166110;4,2;6751
tt0166158;5,7;2195
tt0166192;3,1;194
tt0166276;4,8;16856
tt0166339;7,8;9
tt0166370;5;1669
tt0166649;7,1;37
tt0166709;6,8;739
tt0166813;7,2;66477
tt0166871;6,5;106
tt0166924;7,9;325657
tt0167116;6;3102
tt0167183;4,5;188
tt0167190;6,8;307838
tt0167203;5,7;4375
tt0167260;8,9;1659011
tt0167261;8,7;1500231
tt0167367;4,8;495
tt0167380;6,5;324
tt0167456;4,3;13169
tt0167701;6,6;595
tt0167936;6,5;28
tt0168446;7,1;3073
tt0168504;5,7;1497
tt0168509;6,2;20
tt0168578;5,2;100
tt0168612;5,6;147
tt0168629;8;103141
tt0168631;4,7;547
tt0168714;2,9;17
tt0168786;7,3;33420
tt0168847;6,9;47
tt0168856;6;5996
tt0169102;8,1;105833
tt0169324;5,8;658
tt0169514;5,6;2115
tt0169543;5,7;694
tt0169579;6,6;36
tt0170008;5,7;112
tt0170016;6,2;217116
tt0170260;5,6;450
tt0170452;5,2;552
tt0170508;6,4;181
tt0170517;6,1;555
tt0170549;6,2;124
tt0170691;6,9;38212
tt0171356;5,7;6961
tt0171359;5,9;9106
tt0171433;6,3;49989
tt0171580;6,1;32982
tt0171827;7,9;71
tt0171928;6,7;1084
tt0172109;1,8;768
tt0172156;6,6;233432
tt0172160;4,6;46
tt0172495;8,5;1354762
tt0172543;7,1;3446
tt0172632;6,4;1483
tt0172699;5,1;212
tt0172949;3,7;67
tt0172995;5,5;185
tt0173498;5;230
tt0173716;6,3;13662
tt0173840;6,4;80131
tt0173999;6,8;304
tt0174336;4,5;3946
tt0174480;5,7;25202
tt0174646;6,3;30
tt0174732;6,1;139
tt0175142;6,2;233783
tt0175203;5,9;583
tt0175526;5,2;12385
tt0175557;6,5;330
tt0176185;4,8;256
tt0176244;3,5;365
tt0176578;6,9;10
tt0176579;2,1;411
tt0176650;2,6;379
tt0176694;7,9;725
tt0176783;5,9;14482
tt0176883;5,2;265
tt0177068;5,3;662
tt0177185;3,7;365
tt0177195;4,3;358
tt0177513;5,3;31
tt0177636;5,8;258
tt0177650;5,4;1973
tt0177845;6,4;1198
tt0177858;7,7;21131
tt0177882;6,6;4903
tt0177885;4,7;434
tt0177971;6,4;157292
tt0177997;4,7;303
tt0178043;6,3;1222
tt0178050;5,7;1472
tt0178132;5,9;1064
tt0178140;6,3;190
tt0178642;5,6;2917
tt0178655;4,7;266
tt0178866;5,2;64
tt0179051;6,2;128
tt0179098;6,6;13533
tt0179137;6,8;456
tt0179144;6;50
tt0179183;4,6;6534
tt0179344;2,9;176
tt0179400;6;54
tt0179435;5,4;659
tt0179443;3,6;1029
tt0179473;4,2;1383
tt0179626;6,1;48624
tt0179653;7,1;66
tt0179677;5;64
tt0179735;5,5;50
tt0179803;5;120
tt0179861;3,7;1029
tt0179987;6,3;48
tt0180052;3,8;24727
tt0180073;7,3;51863
tt0180093;8,3;774337
tt0180273;6,7;248
tt0180683;6;116
tt0180734;6,4;28488
tt0180837;6,2;1729
tt0180894;7,1;123
tt0181151;5,6;9077
tt0181199;7,5;4965
tt0181212;6,1;1582
tt0181248;5,4;108
tt0181311;5,7;762
tt0181317;5,3;142
tt0181536;7,3;83428
tt0181594;7,8;43
tt0181689;7,6;511887
tt0181739;6,3;32570
tt0181819;5,5;249
tt0181836;5,8;2179
tt0181852;6,3;379291
tt0181865;7,6;196986
tt0181875;7,9;254838
tt0181912;6,5;2685
tt0181945;5,9;119
tt0181984;7;49777
tt0182000;5,8;6344
tt0182027;5,8;69
tt0182295;6;4385
tt0182508;6,8;2917
tt0183056;6,6;888
tt0183113;5,3;73
tt0183142;2,1;216
tt0183280;3,4;336
tt0183423;3,9;98
tt0183488;6,6;43
tt0183505;6,6;223616
tt0183523;5,7;70639
tt0183550;6,3;534
tt0183595;7,1;180
tt0183620;3,6;63
tt0183649;7;252191
tt0183659;7;27040
tt0183790;6,9;173256
tt0183869;6,5;51534
tt0183946;6,1;108
tt0184009;5,8;30
tt0184384;6,7;102
tt0184387;7,1;15
tt0184457;4,5;135
tt0184596;6,9;498
tt0184791;6,1;19238
tt0184849;2,6;8
tt0184858;5,8;37759
tt0184894;6,6;120065
tt0184907;5,1;11695
tt0185007;5;308
tt0185014;7,2;61622
tt0185170;6,5;35
tt0185183;2,5;76303
tt0185215;6,2;66
tt0185431;5,3;99628
tt0185651;7,2;636
tt0185906;9,4;380933
tt0186045;5,7;13537
tt0186151;7,3;101928
tt0186183;6,2;3239
tt0186202;5,6;794
tt0186221;7,8;16
tt0186454;3,8;375
tt0186549;5,4;363
tt0186566;6,4;74005
tt0186589;5,7;13575
tt0186785;7,8;25
tt0186894;5,7;20075
tt0186895;5,7;1087
tt0186975;5;14435
tt0187078;6,5;262065
tt0187279;3,9;668
tt0187387;5;114
tt0187393;7,2;256244
tt0187474;5,9;635
tt0187512;5,1;5414
tt0187559;5,9;786
tt0187621;8,1;71
tt0187622;4,7;51
tt0187696;6,1;11768
tt0187738;6,7;201442
