Title ID;Type;Title;Production year;Duration;# Titles
tt0035423;Film;Kate & Leopold;2001;118;1
tt0069049;Film;The Other Side of the Wind;2018;122;1
tt0088751;Film;The Naked Monster;2005;100;1
tt0096056;Film;Crime and Punishment;2002;126;1
tt0100275;Film;The Wandering Soap Opera;2017;80;1
tt0102362;Film;Istota;2000;80;1
tt0103902;TV Movie;Bye Bye Baby;2001;100;1
tt0108549;Film;West from North Goes South;2004;96;1
tt0110476;Film;Master i Margarita;2006;125;1
tt0111056;TV Series;Gensomaden Saiyuki;2000;23;1
tt0113026;Film;The Fantasticks;2000;86;1
tt0113092;Film;For the Cause;2000;100;1
tt0114447;Film;The Silent Force;2001;90;1
tt0114978;Film;Derevyannaya komnata;2017;65;1
tt0115686;Film;Biriken;2008;100;1
tt0115937;Film;Consequence;2000;91;1
tt0116391;Film;Gang;2000;152;1
tt0116628;Film;The Incorporated;2000;86;1
tt0116991;Film;Mariette in Ecstasy;2019;101;1
tt0117743;Film;Still Waters Burn;2008;83;1
tt0118141;Film;What Is It?;2005;72;1
tt0118589;Film;Glitter;2001;104;1
tt0118652;Film;The Attic Expeditions;2001;100;1
tt0118694;Film;In the Mood for Love;2000;98;1
tt0118710;Film;Beyond the Pale;2000;96;1
tt0118852;Film;Chinese Coffee;2000;99;1
tt0118926;Film;The Dancer Upstairs;2002;132;1
tt0119004;Film;Don's Plum;2001;89;1
tt0119231;Film;The Junior Defenders;2007;83;1
tt0119273;Film;Heavy Metal 2000;2000;88;1
tt0119495;Film;Love 101;2000;86;1
tt0119727;Film;The Policewoman;2003;90;1
tt0119866;Film;Passionnément;2000;104;1
tt0119970;Film;My Apocalypse;2008;82;1
tt0119980;Film;Random Shooting in L.A.;2002;91;1
tt0120166;Film;The Sorcerer's Apprentice;2001;86;1
tt0120202;Film;State and Main;2000;105;1
tt0120263;Film;Songs from the Second Floor;2000;98;1
tt0120467;Film;Vulgar;2000;87;1
tt0120485;Film;Way Past Cool;2000;96;1
tt0120607;Film;Between the Sheets;2003;102;1
tt0120626;Film;April Captains;2000;123;1
tt0120630;Film;Chicken Run;2000;84;1
tt0120667;Film;Fantastic Four;2005;106;1
tt0120673;Film;Foiled;2000;78;1
tt0120679;Film;Frida;2002;123;1
tt0120681;Film;From Hell;2001;122;1
tt0120698;Film;The Highwayman;2000;94;1
tt0120737;Film;The Lord of the Rings: The Fellowship of the Ring;2001;178;1
tt0120753;Film;The Million Dollar Hotel;2000;122;1
tt0120755;Film;Mission: Impossible II;2000;123;1
tt0120804;Film;Resident Evil;2002;100;1
tt0120807;Film;Ricochet River;2001;112;1
tt0120824;Film;The Shipping News;2001;111;1
tt0120903;Film;X-Men;2000;104;1
tt0120912;Film;Men in Black II;2002;88;1
tt0120913;Film;Titan A.E.;2000;94;1
tt0120917;Film;The Emperor's New Groove;2000;78;1
tt0121164;Film;Corpse Bride;2005;77;1
tt0121765;Film;Star Wars: Episode II - Attack of the Clones;2002;142;1
tt0121766;Film;Star Wars: Episode III - Revenge of the Sith;2005;140;1
tt0122161;Film;Lured Innocence;2000;99;1
tt0122247;Film;Serial Killing 4 Dummys;2004;89;1
tt0122459;Film;Return to Me;2000;115;1
tt0123003;Film;Bruno;2000;108;1
tt0123581;Film;Burning Down the House;2001;84;1
tt0124889;Film;Sticks;2001;92;1
tt0125022;Film;Heartbreakers;2001;123;1
tt0126029;Film;Shrek;2001;90;1
tt0126899;Film;Eyes Are Upon You;2001;92;1
tt0127349;Film;Waking the Dead;2000;105;1
tt0128154;Film;Daybreak;2002;87;1
tt0128165;Film;Blazin';2001;100;1
tt0128216;Film;Flophouse;2002;75;1
tt0130623;Film;Dinosaur;2000;82;1
tt0131370;Film;Elektra, avagy bevezetés a kapitalizmus politikai gazdaságtanába;2003;83;1
tt0131597;Film;Split;2004;700;1
tt0131704;Film;The Adventures of Rocky & Bullwinkle;2000;92;1
tt0132078;Film;Dead by Monday;2001;94;1
tt0132245;Film;Driven;2001;116;1
tt0132885;Film;BlackMale;2000;90;1
tt0132910;Film;The Crow: Salvation;2000;102;1
tt0133063;Film;Lightmaker;2001;89;1
tt0133152;Film;Planet of the Apes;2001;119;1
tt0133240;Film;Treasure Planet;2002;95;1
tt0133752;Film;Fallen Arches;2000;100;1
tt0134084;Film;Scream 3;2000;116;1
tt0134630;Film;Duets;2000;112;1
tt0134847;Film;Pitch Black;2000;109;1
tt0134983;Film;Supernova;2000;90;1
tt0135707;Film;Wind River;2000;97;1
tt0136461;TV Movie;Das Phantom;2000;95;1
tt0136517;Film;Seven Days of Grace;2006;88;1
tt0137204;Film;Joe Finds Grace;2017;83;1
tt0138288;Film;All Saints Day;2000;82;1
tt0138353;Film;Cement;2000;97;1
tt0138524;Film;Intolerable Cruelty;2003;100;1
tt0138631;Film;Muggers;2000;97;1
tt0138681;Film;The Opportunists;2000;90;1
tt0138749;Film;The Road to El Dorado;2000;89;1
tt0138927;Film;Waterproof;2000;95;1
tt0138946;Film;The Yards;2000;115;1
tt0139159;Film;Dog Story;2000;81;1
tt0139388;Film;It Had to Be You;2000;96;1
tt0139500;Film;In Vanda's Room;2000;171;1
tt0139654;Film;Training Day;2001;122;1
tt0140806;Film;American Reel;2003;100;1
tt0141120;Film;The Ghost;2001;86;1
tt0141399;Film;Isn't She Great;2000;95;1
tt0141907;Film;Town & Country;2001;104;1
tt0141926;Film;U-571;2000;116;1
tt0142032;TV Miniseries;Dune;2000;265;1
tt0142634;Film;Nobody Knows Anything!;2003;90;1
tt0143344;Film;Knockout;2000;99;1
tt0144084;Film;American Psycho;2000;101;1
tt0144142;Film;Committed;2000;98;1
tt0144528;Film;Nutty Professor II: The Klumps;2000;106;1
tt0144574;Film;Red Lipstick;2000;90;1
tt0144964;Film;Highlander: Endgame;2000;87;1
tt0145487;Film;Spider-Man;2002;121;1
tt0145937;Film;Naqoyqatsi;2002;89;1
tt0146063;Film;The Princess and the Pea;2002;75;1
tt0146309;Film;Thirteen Days;2000;145;1
tt0146316;Film;Lara Croft: Tomb Raider;2001;100;1
tt0146592;Film;Pál Adrienn;2010;136;1
tt0146803;Film;Goodnight, Joseph Parker;2004;81;1
tt0146882;Film;High Fidelity;2000;113;1
tt0146984;Film;The Legend of Bagger Vance;2000;126;1
tt0148403;Film;Life, Love & Celluloid;2005;90;1
tt0148415;Film;Little Shop of Erotica;2001;87;1
tt0148421;Film;Looking for an Echo;2000;97;1
tt0149253;Film;The Good War;2002;96;1
tt0149367;Film;Where the Money Is;2000;89;1
tt0149624;Film;All the Pretty Horses;2000;116;1
tt0150021;Film;Camouflage;2001;98;1
tt0151150;Film;Josh;2000;162;1
tt0151299;Film;Last Fair Deal;2002;101;1
tt0151309;Film;Laughing Boy;2000;82;1
tt0151372;Film;Ljuset håller mig sällskap;2000;78;1
tt0152083;Film;Probably Love;2001;107;1
tt0153012;Film;The Thief & the Stripper;2000;84;1
tt0153464;Film;Up at the Villa;2000;115;1
tt0154039;Film;So Much for Justice!;2010;100;1
tt0154187;Film;The Bacchae;2002;90;1
tt0154352;Film;Condo Painting;2000;86;1
tt0155723;Film;A Good Baby;2000;87;1
tt0155754;Film;I'll Remember April;2000;90;1
tt0156020;Film;Ricky 6;2000;111;1
tt0156100;Film;St. Andrew's Girls;2003;76;1
tt0156376;Film;Book of Love: The Definitive Reason Why Men Are Dogs;2002;91;1
tt0156741;Film;Apartment 12;2000;89;1
tt0156757;Film;Mad About Mambo;2000;92;1
tt0156807;Film;Mr. Accident;2000;89;1
tt0156812;Film;My Dog Skip;2000;95;1
tt0156841;Film;The Next Best Thing;2000;108;1
tt0156942;Film;Rave;2000;85;1
tt0156976;TV Movie;Chasing Destiny;2001;94;1
tt0156984;TV Movie;Sacrifice;2000;90;1
tt0157007;Film;After Image;2001;92;1
tt0157122;Film;Faithless;2000;154;1
tt0157191;Film;One Last Dance;2003;101;1
tt0157202;Film;Yup Yup Man;2000;89;1
tt0157262;Film;2001: A Space Travesty;2000;99;1
tt0157472;Film;Clockstoppers;2002;94;1
tt0157583;Film;Enigma;2001;119;1
tt0157836;Film;Island of the Dead;2000;91;1
tt0158033;Film;Nora;2000;106;1
