Location;Hour of the day;Avg hourly visitors
Main Entrance;8;471
Main Entrance;9;1057
Main Entrance;10;2278
Main Entrance;11;2915
Main Entrance;12;2661
Main Entrance;13;3980
Main Entrance;14;3278
Main Entrance;15;2520
Main Entrance;16;1854
Main Entrance;17;1079
Main Entrance;18;1663
Main Entrance;19;512
Main Entrance;20;578
Main Entrance arcades;8;1296
Main Entrance arcades;9;1634
Main Entrance arcades;10;1256
Main Entrance arcades;11;2280
Main Entrance arcades;12;2926
Main Entrance arcades;13;2002
Main Entrance arcades;14;4350
Main Entrance arcades;15;3541
Main Entrance arcades;16;2956
Main Entrance arcades;17;2992
Main Entrance arcades;18;1233
Main Entrance arcades;19;2116
Main Entrance arcades;20;1347
Museum Café;8;1039
Museum Café;9;964
Museum Café;10;4204
Museum Café;11;5650
Museum Café;12;3343
Museum Café;13;5412
Museum Café;14;3038
Museum Café;15;1920
Museum Café;16;3825
Museum Café;17;3560
Museum Café;18;3129
Museum Café;19;1618
Museum Café;20;788
Museum Shop;8;1181
Museum Shop;9;844
Museum Shop;10;4689
Museum Shop;11;3657
Museum Shop;12;5980
Museum Shop;13;7940
Museum Shop;14;8457
Museum Shop;15;7482
Museum Shop;16;7842
Museum Shop;17;2048
Museum Shop;18;3866
Museum Shop;19;2903
Museum Shop;20;1718
Temp. unavailable;8;0
Temp. unavailable;9;0
Temp. unavailable;10;0
Temp. unavailable;11;0
Temp. unavailable;12;0
Temp. unavailable;13;0
Temp. unavailable;14;0
Temp. unavailable;15;0
Temp. unavailable;16;0
Temp. unavailable;17;0
Temp. unavailable;18;0
Temp. unavailable;19;0
Temp. unavailable;20;0
Contemporary Art (movie room);8;453
Contemporary Art (movie room);9;1395
Contemporary Art (movie room);10;2053
Contemporary Art (movie room);11;2467
Contemporary Art (movie room);12;1786
Contemporary Art (movie room);13;3606
Contemporary Art (movie room);14;4792
Contemporary Art (movie room);15;905
Contemporary Art (movie room);16;2421
Contemporary Art (movie room);17;2480
Contemporary Art (movie room);18;1106
Contemporary Art (movie room);19;532
Contemporary Art (movie room);20;897
Main Staircase;8;1366
Main Staircase;9;1965
Main Staircase;10;2758
Main Staircase;11;3421
