Path;Order;Location;Hour;Avg hourly visitors per path
Path B;6;Andy Pearson paintings;8;511
Path B;6;Andy Pearson paintings;9;857
Path B;6;Andy Pearson paintings;10;1042
Path B;6;Andy Pearson paintings;11;2274
Path B;6;Andy Pearson paintings;12;1472
Path B;6;Andy Pearson paintings;13;1931
Path B;6;Andy Pearson paintings;14;3662
Path B;6;Andy Pearson paintings;15;1204
Path B;6;Andy Pearson paintings;16;2680
Path B;6;Andy Pearson paintings;17;2033
Path B;6;Andy Pearson paintings;18;788
Path B;6;Andy Pearson paintings;19;1206
Path B;6;Andy Pearson paintings;20;444
Path A;5;Ann Fielding expo;8;621
Path C;8;Ann Fielding expo;8;519
Path A;5;Ann Fielding expo;9;773
Path C;8;Ann Fielding expo;9;879
Path A;5;Ann Fielding expo;10;1604
Path C;8;Ann Fielding expo;10;1650
Path A;5;Ann Fielding expo;11;1730
Path C;8;Ann Fielding expo;11;1315
Path A;5;Ann Fielding expo;12;1822
Path C;8;Ann Fielding expo;12;2174
Path A;5;Ann Fielding expo;13;3908
Path C;8;Ann Fielding expo;13;3059
Path A;5;Ann Fielding expo;14;2998
Path C;8;Ann Fielding expo;14;4256
Path A;5;Ann Fielding expo;15;692
Path C;8;Ann Fielding expo;15;804
Path A;5;Ann Fielding expo;16;2918
Path C;8;Ann Fielding expo;16;2466
Path A;5;Ann Fielding expo;17;1418
Path C;8;Ann Fielding expo;17;1651
Path A;5;Ann Fielding expo;18;511
Path C;8;Ann Fielding expo;18;519
Path A;5;Ann Fielding expo;19;292
Path C;8;Ann Fielding expo;19;359
Path A;5;Ann Fielding expo;20;414
Path C;8;Ann Fielding expo;20;367
Path A;7;Annie Smith expo;8;256
Path C;10;Annie Smith expo;8;179
Path A;7;Annie Smith expo;9;662
Path C;10;Annie Smith expo;9;684
Path A;7;Annie Smith expo;10;1007
Path C;10;Annie Smith expo;10;1398
Path A;7;Annie Smith expo;11;1357
Path C;10;Annie Smith expo;11;1248
Path A;7;Annie Smith expo;12;1294
Path C;10;Annie Smith expo;12;1635
Path A;7;Annie Smith expo;13;1764
Path C;10;Annie Smith expo;13;1796
Path A;7;Annie Smith expo;14;2393
Path C;10;Annie Smith expo;14;2093
Path A;7;Annie Smith expo;15;789
Path C;10;Annie Smith expo;15;971
Path A;7;Annie Smith expo;16;646
Path C;10;Annie Smith expo;16;796
