Location;Avg daily visitors
Main Entrance;1912
Main Entrance arcades;2303
Museum Café;2961
Museum Shop;4509
Temp. unavailable;0
Contemporary Art (movie room);1915
Main Staircase;3130
Cloakroom;1715
Modern Art (movie room);2581
Contemporary Art for kids;1921
Contemporary paintings;2426
Pre-hall;2246
Modern Art Gallery;1723
Modern Art for kids;1868
Peter Dawson paintings;2557
Ann Fielding expo;2409
Main Hallway;2689
Marc Lennox expo;2038
Gina Rogers installation;2702
Annie Smith expo;1774
Toilets left;1229
Toilets right;1567
Andy Pearson paintings;2392
Cathy Brooks installation;2477
Patio left;1316
Evacuation stairs left;2
Lecture room;688
Patio right;1396
Evacuation stairs right;3
Tessa Van Hoof expo;1632
Library area;719
Library hallway;3464
Study corner;613
Corner bathroom left;1743
Library terrace;1323
Corner bathroom right;1075
