Location;X;Y
Main Entrance;276;547
Main Entrance arcades;209;547
Museum Café;301;776
Museum Shop;301;313
Temp. unavailable;437;800
Contemporary Art (movie room);437;702
Main Staircase;437;547
Cloakroom;437;381
Modern Art (movie room);437;282
Contemporary Art for kids;585;800
Contemporary paintings;585;669
Pre-hall;585;547
Modern Art Gallery;585;400
Modern Art for kids;585;282
Peter Dawson paintings;760;800
Ann Fielding expo;760;669
Main Hallway;795;547
Marc Lennox expo;760;400
Gina Rogers installation;760;282
Annie Smith expo;900;800
Toilets left;900;669
Toilets right;900;400
Andy Pearson paintings;900;282
Cathy Brooks installation;1060;800
Patio left;1012;669
Evacuation stairs left;1100;669
Lecture room;1090;547
Patio right;1012;400
Evacuation stairs right;1100;400
Tessa Van Hoof expo;1060;282
Library area;1206;669
Library hallway;1206;547
Study corner;1206;400
Corner bathroom left;1293;800
Library terrace;1322;547
Corner bathroom right;1293;282
