Location;Area grouping;Admission required?
Main Entrance;Functional space;No
Main Entrance arcades;Functional space;No
Museum Café;Functional space;No
Museum Shop;Functional space;No
Temp. unavailable;Staff only;N/a
Contemporary Art (movie room);Art area;Yes
Main Staircase;Functional space;No
Cloakroom;Functional space;No
Modern Art (movie room);Art area;Yes
Contemporary Art for kids;Art area;Yes
Contemporary paintings;Art area;Yes
Pre-hall;Functional space;Yes
Modern Art Gallery;Art area;Yes
Modern Art for kids;Art area;Yes
Peter Dawson paintings;Art area;Yes
Ann Fielding expo;Art area;Yes
Main Hallway;Functional space;Yes
Marc Lennox expo;Art area;Yes
Gina Rogers installation;Art area;Yes
Annie Smith expo;Art area;Yes
Toilets left;Functional space;Yes
Toilets right;Functional space;Yes
Andy Pearson paintings;Art area;Yes
Cathy Brooks installation;Art area;Yes
Patio left;Functional space;Yes
Evacuation stairs left;Staff only;N/a
Lecture room;Functional space;Yes
Patio right;Functional space;Yes
Evacuation stairs right;Staff only;N/a
Tessa Van Hoof expo;Art area;Yes
Library area;Functional space;No
Library hallway;Functional space;No
Study corner;Functional space;No
Corner bathroom left;Functional space;No
Library terrace;Functional space;No
Corner bathroom right;Functional space;No
