customer_unique_id;customer_zip_code_prefix;customer_city;customer_state
Customer 1;14409;franca;SP
Customer 2;9790;sao bernardo do campo;SP
Customer 3;1151;sao paulo;SP
Customer 4;8775;mogi das cruzes;SP
Customer 5;13056;campinas;SP
Customer 6;89254;jaragua do sul;SC
Customer 7;4534;sao paulo;SP
Customer 8;35182;timoteo;MG
Customer 9;81560;curitiba;PR
Customer 10;30575;belo horizonte;MG
Customer 11;39400;montes claros;MG
Customer 12;20231;rio de janeiro;RJ
Customer 13;18682;lencois paulista;SP
Customer 14;5704;sao paulo;SP
Customer 15;95110;caxias do sul;RS
Customer 16;13412;piracicaba;SP
Customer 17;22750;rio de janeiro;RJ
Customer 18;7124;guarulhos;SP
Customer 19;5416;sao paulo;SP
Customer 20;68485;pacaja;PA
Customer 21;88034;florianopolis;SC
Customer 22;74914;aparecida de goiania;GO
Customer 23;5713;sao paulo;SP
Customer 24;82820;curitiba;PR
Customer 25;8225;sao paulo;SP
Customer 26;9121;santo andre;SP
Customer 27;74310;goiania;GO
Customer 28;4571;sao paulo;SP
Customer 29;29311;cachoeiro de itapemirim;ES
Customer 30;5528;sao paulo;SP
Customer 31;12235;sao jose dos campos;SP
Customer 32;18130;sao roque;SP
Customer 33;42800;camacari;BA
Customer 34;27525;resende;RJ
Customer 35;81750;curitiba;PR
Customer 36;13175;sumare;SP
Customer 37;7170;guarulhos;SP
Customer 38;93415;novo hamburgo;RS
Customer 39;65075;sao luis;MA
Customer 40;88104;sao jose;SC
Customer 41;7176;guarulhos;SP
Customer 42;35960;santa barbara;MG
Customer 43;5727;sao paulo;SP
Customer 44;7053;guarulhos;SP
Customer 45;14026;ribeirao preto;SP
Customer 46;30320;belo horizonte;MG
Customer 47;38300;ituiutaba;MG
Customer 48;18740;taquarituba;SP
Customer 49;83085;sao jose dos pinhais;PR
Customer 50;89254;jaragua do sul;SC
Customer 51;5351;sao paulo;SP
Customer 52;39406;montes claros;MG
Customer 53;14860;barrinha;SP
Customer 54;21310;rio de janeiro;RJ
Customer 55;23970;parati;RJ
Customer 56;79804;dourados;MS
Customer 57;5017;sao paulo;SP
Customer 58;75388;trindade;GO
Customer 59;85808;cascavel;PR
Customer 60;60140;fortaleza;CE
Customer 61;72270;brasilia;DF
Customer 62;2075;sao paulo;SP
Customer 63;96015;pelotas;RS
Customer 64;90010;porto alegre;RS
Customer 65;22440;rio de janeiro;RJ
Customer 66;13323;salto;SP
Customer 67;30190;belo horizonte;MG
Customer 68;13212;jundiai;SP
Customer 69;29307;cachoeiro de itapemirim;ES
Customer 70;12280;cacapava;SP
Customer 71;60336;fortaleza;CE
Customer 72;11310;sao vicente;SP
Customer 73;38408;uberlandia;MG
Customer 74;37720;botelhos;MG
Customer 75;24431;sao goncalo;RJ
Customer 76;5890;sao paulo;SP
Customer 77;3733;sao paulo;SP
Customer 78;83709;araucaria;PR
Customer 79;11347;sao vicente;SP
Customer 80;26272;nova iguacu;RJ
Customer 81;5415;sao paulo;SP
Customer 82;59655;areia branca;RN
Customer 83;4548;sao paulo;SP
Customer 84;28010;campos dos goytacazes;RJ
Customer 85;13573;sao carlos;SP
Customer 86;2175;sao paulo;SP
Customer 87;37500;itajuba;MG
Customer 88;90670;porto alegre;RS
Customer 89;9890;sao bernardo do campo;SP
Customer 90;13321;salto;SP
Customer 91;44380;cruz das almas;BA
Customer 92;27700;vassouras;RJ
Customer 93;44033;feira de santana;BA
Customer 94;4537;sao paulo;SP
Customer 95;71540;brasilia;DF
Customer 96;13569;sao carlos;SP
Customer 97;5565;sao paulo;SP
Customer 98;3636;sao paulo;SP
Customer 99;24120;niteroi;RJ
Customer 100;65058;sao luis;MA
Customer 101;2983;sao paulo;SP
Customer 102;4105;sao paulo;SP
Customer 103;89260;jaragua do sul;SC
Customer 104;62016;sobral;CE
Customer 105;35500;divinopolis;MG
Customer 106;8743;mogi das cruzes;SP
Customer 107;71928;brasilia;DF
Customer 108;4938;sao paulo;SP
Customer 109;2209;sao paulo;SP
Customer 110;25850;paraiba do sul;RJ
Customer 111;53437;paulista;PE
Customer 112;4710;sao paulo;SP
Customer 113;6382;carapicuiba;SP
Customer 114;2632;sao paulo;SP
Customer 115;95765;bom principio;RS
Customer 116;2631;sao paulo;SP
Customer 117;36780;astolfo dutra;MG
Customer 118;80050;curitiba;PR
Customer 119;30664;belo horizonte;MG
Customer 120;86990;marialva;PR
Customer 121;8490;sao paulo;SP
Customer 122;15015;sao jose do rio preto;SP
Customer 123;28909;cabo frio;RJ
Customer 124;32140;contagem;MG
Customer 125;38410;uberlandia;MG
Customer 126;86640;cafeara;PR
Customer 127;91340;porto alegre;RS
Customer 128;14600;sao joaquim da barra;SP
Customer 129;85854;foz do iguacu;PR
Customer 130;30421;belo horizonte;MG
Customer 131;9862;sao bernardo do campo;SP
Customer 132;24431;sao goncalo;RJ
Customer 133;8686;suzano;SP
Customer 134;7243;guarulhos;SP
Customer 135;89120;timbo;SC
Customer 136;88348;camboriu;SC
Customer 137;95340;nova bassano;RS
Customer 138;96215;rio grande;RS
Customer 139;71665;brasilia;DF
Customer 140;12929;braganca paulista;SP
Customer 141;78600;barra do garcas;MT
Customer 142;4960;sao paulo;SP
Customer 143;6835;embu;SP
Customer 144;9784;sao bernardo do campo;SP
Customer 145;73020;brasilia;DF
Customer 146;88840;urussanga;SC
Customer 147;37589;silvianopolis;MG
Customer 148;5874;sao paulo;SP
Customer 149;39505;gameleiras;MG
Customer 150;66050;belem;PA
Customer 151;37701;pocos de caldas;MG
Customer 152;32070;contagem;MG
Customer 153;11065;santos;SP
Customer 154;12970;piracaia;SP
Customer 155;22251;rio de janeiro;RJ
Customer 156;11035;santos;SP
Customer 157;78557;sinop;MT
Customer 158;11440;guaruja;SP
Customer 159;6401;barueri;SP
Customer 160;5590;sao paulo;SP
Customer 161;95770;feliz;RS
Customer 162;4679;sao paulo;SP
Customer 163;30330;belo horizonte;MG
Customer 164;12270;jambeiro;SP
Customer 165;15050;sao jose do rio preto;SP
Customer 166;35160;ipatinga;MG
Customer 167;17602;tupa;SP
Customer 168;4427;sao paulo;SP
Customer 169;70750;brasilia;DF
Customer 170;89031;blumenau;SC
Customer 171;15275;moncoes;SP
Customer 172;22290;rio de janeiro;RJ
Customer 173;3563;sao paulo;SP
Customer 174;88330;balneario camboriu;SC
Customer 175;20030;rio de janeiro;RJ
Customer 176;4723;sao paulo;SP
Customer 177;65430;vargem grande;MA
Customer 178;79130;rio brilhante;MS
Customer 179;36855;eugenopolis;MG
Customer 180;66055;belem;PA
Customer 181;15054;sao jose do rio preto;SP
Customer 182;13142;paulinia;SP
Customer 183;3951;sao paulo;SP
Customer 184;13214;jundiai;SP
Customer 185;3127;sao paulo;SP
Customer 186;9030;santo andre;SP
Customer 187;12240;sao jose dos campos;SP
Customer 188;22251;rio de janeiro;RJ
Customer 189;13045;campinas;SP
Customer 190;30830;belo horizonte;MG
Customer 191;86806;apucarana;PR
Customer 192;52070;recife;PE
Customer 193;6290;osasco;SP
Customer 194;13270;valinhos;SP
Customer 195;9040;santo andre;SP
Customer 196;69049;manaus;AM
Customer 197;95595;cidreira;RS
Customer 198;20561;rio de janeiro;RJ
Customer 199;97700;santiago;RS
Customer 200;8340;sao paulo;SP
Customer 201;97340;sao sepe;RS
Customer 202;78580;alta floresta;MT
Customer 203;7191;guarulhos;SP
