product_id;product_category;product_name_lenght;product_description_lenght;product_photos_qty;product_weight_g;product_length_cm;product_height_cm;product_width_cm
Product 16336;PERFUMERY;40;287;1;225;16;10;14
Product 3015;ART;44;276;1;1000;30;18;20
Product 19258;SPORTS_LEISURE;46;250;1;154;18;9;15
Product 26135;BABY;27;261;1;371;26;4;26
Product 22974;HOUSEWARES;37;402;4;625;20;17;13
Product 28119;MUSICAL_INSTRUMENTS;60;745;1;200;38;5;11
Product 23659;COOL_STUFF;56;1272;4;18350;70;24;44
Product 24517;FURNITURE_DECOR;56;184;2;900;40;8;40
Product 21686;HOME_APPLIANCES;57;163;1;400;27;13;17
Product 18366;TOYS;36;1156;1;600;17;10;12
Product 17688;BED_BATH_TABLE;54;630;1;1100;16;10;16
Product 13791;BABY;49;728;4;7150;50;19;45
Product 30453;MUSICAL_INSTRUMENTS;43;1827;3;250;17;7;17
Product 4167;FURNITURE_DECOR;51;2083;2;600;68;11;13
Product 13198;CONSTRUCTION_TOOLS_SAFETY;59;1602;4;200;17;7;17
Product 12511;SPORTS_LEISURE;22;3021;1;800;16;2;11
Product 8900;PERFUMERY;39;346;2;400;27;5;20
Product 25952;COMPUTERS_ACCESSORIES;59;636;1;900;40;15;20
Product 13983;FURNITURE_DECOR;56;296;2;1700;100;7;15
Product 30615;BED_BATH_TABLE;52;206;1;500;16;10;16
Product 12863;FURNITURE_DECOR;27;158;4;2550;29;24;45
Product 30705;BED_BATH_TABLE;27;329;2;800;36;8;16
Product 796;HEALTH_BEAUTY;58;1987;3;75;21;7;13
Product 3734;BABY;55;1627;1;500;20;13;13
Product 10300;FURNITURE_DECOR;56;209;1;1800;40;10;30
Product 10324;HOUSEWARES;52;968;1;900;50;5;50
Product 13967;LUGGAGE_ACCESSORIES;52;573;5;3600;35;25;50
Product 4341;COMPUTERS_ACCESSORIES;35;1101;2;300;42;2;30
Product 28530;COMPUTERS_ACCESSORIES;59;1890;2;740;23;13;13
Product 27571;SPORTS_LEISURE;50;529;2;3600;62;23;23
Product 17463;BED_BATH_TABLE;45;206;1;650;16;10;16
Product 4204;GARDEN_TOOLS;49;1163;9;2150;70;8;34
Product 28881;FURNITURE_DECOR;60;208;1;800;40;10;34
Product 1981;OFFICE_FURNITURE;57;476;1;8950;52;51;17
Product 1405;SPORTS_LEISURE;50;699;4;1388;34;9;31
Product 4630;BABY;52;708;9;7950;33;30;44
Product 9204;AUTO;43;1062;2;6000;87;3;42
Product 19638;ELECTRONICS;31;806;1;263;18;12;16
Product 27243;HOUSEWARES;37;352;1;3900;19;20;15
Product 12831;FURNITURE_DECOR;47;502;1;600;25;25;25
Product 24381;FURNITURE_DECOR;63;254;2;2050;49;13;41
Product 15564;TOYS;33;471;2;725;22;17;15
Product 9567;BED_BATH_TABLE;56;509;4;6350;45;15;35
Product 10888;COOL_STUFF;38;1701;2;11750;18;40;79
Product 29180;TOYS;20;866;3;2550;22;32;38
Product 1507;COOL_STUFF;38;1176;3;15350;47;40;47
Product 25945;FURNITURE_DECOR;42;303;2;1300;25;16;25
Product 3136;HEALTH_BEAUTY;60;330;1;1300;19;28;17
Product 26093;SPORTS_LEISURE;53;3218;5;4800;60;30;15
Product 30648;COOL_STUFF;55;410;2;1300;36;16;24
Product 28186;AUTO;57;311;1;220;18;14;17
Product 25079;BABY;50;509;4;5700;41;17;49
Product 28840;LUGGAGE_ACCESSORIES;53;1291;2;450;20;40;30
Product 16472;FASHION_SHOES;60;402;2;2000;32;12;37
Product 26231;TELEPHONY;51;427;2;100;19;3;11
Product 9888;COOL_STUFF;58;1252;1;1100;30;20;23
Product 11788;STATIONERY;49;488;3;1400;38;40;39
Product 12414;TOYS;50;423;4;250;20;14;12
Product 30031;SPORTS_LEISURE;47;956;1;1050;25;20;14
Product 29386;STATIONERY;59;144;1;500;24;7;16
Product 21049;HEALTH_BEAUTY;51;1069;1;1467;23;16;20
Product 28156;FASHION_BAGS_ACCESSORIES;50;554;3;100;16;5;11
Product 14236;STATIONERY;41;92;1;100;16;5;16
Product 10484;STATIONERY;43;198;2;300;23;7;15
Product 3956;SPORTS_LEISURE;50;255;2;950;60;15;15
Product 28391;GARDEN_TOOLS;33;200;1;250;17;3;11
Product 7364;COMPUTERS;55;1067;1;12000;27;50;53
Product 12999;AUTO;60;1543;6;921;17;9;16
Product 8469;HOME_CONSTRUCTION;55;1441;1;10000;60;25;25
Product 15921;WATCHES_GIFTS;56;489;2;250;16;11;11
Product 9274;COOL_STUFF;57;992;3;1200;44;20;20
Product 23521;CONSTRUCTION_TOOLS_CONSTRUCTION;54;339;1;4800;25;8;25
Product 25494;PET_SHOP;54;463;1;700;40;20;20
Product 13113;HEALTH_BEAUTY;40;1469;3;1050;18;21;27
Product 56;SMALL_APPLIANCES;58;587;3;350;20;20;20
Product 10302;PERFUMERY;52;150;1;422;21;16;18
Product 22121;WATCHES_GIFTS;51;484;1;317;19;13;16
Product 9872;AGRO_INDUSTRY_AND_COMMERCE;39;430;1;16400;63;66;56
Product 6134;HEALTH_BEAUTY;22;1313;1;938;29;22;23
Product 30628;HEALTH_BEAUTY;37;1168;1;2700;21;16;31
Product 8454;BED_BATH_TABLE;39;1146;1;1750;30;18;30
Product 13069;GARDEN_TOOLS;42;671;1;3850;29;12;24
Product 11264;PERFUMERY;49;460;2;267;17;13;17
Product 19204;MUSICAL_INSTRUMENTS;59;2367;3;16200;55;40;40
Product 15394;BED_BATH_TABLE;54;381;2;1400;38;9;27
Product 29036;BED_BATH_TABLE;50;607;1;6450;100;10;11
Product 17046;FURNITURE_DECOR;59;1750;3;2300;105;3;70
Product 21248;COMPUTERS_ACCESSORIES;55;163;2;300;25;8;18
Product 28038;SPORTS_LEISURE;43;101;1;600;50;10;12
Product 26197;HEALTH_BEAUTY;60;2497;1;3600;20;20;20
Product 9876;HEALTH_BEAUTY;60;1146;6;150;20;24;33
Product 16463;SPORTS_LEISURE;57;900;4;400;16;4;11
Product 2937;TELEPHONY;49;319;1;100;18;6;11
Product 31715;FURNITURE_DECOR;55;1186;2;800;53;8;20
Product 20292;AUTO;58;703;6;5250;47;19;23
Product 27385;AUTO;50;361;1;200;35;4;26
