seller_id;seller_zip_code_prefix;seller_city;seller_state
Seller 2516;13023;campinas;SP
Seller 602;13844;mogi guacu;SP
Seller 2277;20031;rio de janeiro;RJ
Seller 2027;4195;sao paulo;SP
Seller 2245;12914;braganca paulista;SP
Seller 638;55325;brejao;PE
Seller 350;16304;penapolis;SP
Seller 588;1529;sao paulo;SP
Seller 494;80310;curitiba;PR
Seller 1409;75110;anapolis;GO
Seller 2605;13530;itirapina;SP
Seller 404;1222;sao paulo;SP
Seller 2649;5372;sao paulo;SP
Seller 1977;88705;tubarao;SC
Seller 1693;42738;lauro de freitas;BA
Seller 2776;88780;imbituba;SC
Seller 1010;70740;brasilia;DF
Seller 414;45810;porto seguro;BA
Seller 1609;5138;sao paulo;SP
Seller 2366;11440;guaruja;SP
Seller 1474;14910;tabatinga;SP
Seller 1445;4156;sao paulo;SP
Seller 700;13320;salto;SP
Seller 1207;98910;tres de maio;RS
Seller 566;30494;belo horizonte;MG
Seller 2959;86707;arapongas;PR
Seller 199;9850;sao bernardo do campo;SP
Seller 796;4857;sao paulo;SP
Seller 665;18500;tatui;SP
Seller 1728;80210;curitiba;PR
Seller 357;2261;sao paulo;SP
Seller 2479;88495;garopaba;SC
Seller 327;3562;sao paulo;SP
Seller 930;37650;camanducaia;MG
Seller 195;17602;tupa;SP
Seller 1983;7241;guarulhos;SP
Seller 2589;83050;sao jose dos pinhais;PR
Seller 1676;3445;sao paulo;SP
Seller 1585;4133;sao paulo;SP
Seller 698;72233;brasilia;DF
Seller 1546;70645;brasilia;DF
Seller 2607;88730;sao ludgero;SC
Seller 1913;88075;sao jose;SC
Seller 2488;13416;piracicaba;SP
Seller 2239;90850;porto alegre;RS
Seller 739;37584;congonhal;MG
Seller 1062;31950;belo horizonte;MG
Seller 366;31555;belo horizonte;MG
Seller 2094;9251;santo andre;SP
Seller 1703;4705;sao paulo;SP
Seller 1303;6144;osasco;SP
Seller 928;13270;valinhos;SP
Seller 875;89214;joinville;SC
Seller 2578;11446;guaruja;SP
Seller 1103;28990;saquarema;RJ
Seller 694;88390;barra velha;SC
Seller 1205;25730;petropolis;RJ
Seller 2563;84010;ponta grossa;PR
Seller 1482;6544;santana de parnaiba;SP
Seller 959;9121;santo andre;SP
Seller 415;13568;sao carlos;SP
Seller 937;6056;osasco;SP
Seller 395;14940;ibitinga;SP
Seller 1146;5741;sao paulo;SP
Seller 1608;83010;sao jose dos pinhais;PR
Seller 144;3702;sao paulo;SP
Seller 92;6429;barueri;SP
Seller 2284;95076;caxias do sul;SP
Seller 116;3569;sao paulo;SP
Seller 401;89207;joinville;SC
Seller 176;38440;araguari;MG
Seller 1013;32180;contagem;MG
Seller 2423;89258;jaragua do sul;SC
Seller 279;14940;ibitinga;SP
Seller 555;9715;sao bernardo do campo;SP
Seller 2689;88501;lages - sc;SC
Seller 2828;95711;bento goncalves;RS
Seller 2931;15805;catanduva;SP
Seller 1814;9400;ribeirao pires;SP
Seller 1357;4726;sao paulo;SP
Seller 965;14882;jaboticabal;SP
Seller 654;19830;echapora;SP
Seller 476;6713;cotia;SP
Seller 47;89160;rio do sul;SC
Seller 1105;4275;sao paulo;SP
Seller 2528;18040;sorocaba;SP
Seller 405;21235;rio de janeiro;RJ
Seller 1072;14850;pradopolis;SP
Seller 2714;22420;rio de janeiro;RJ
Seller 2582;1125;sao paulo;SP
Seller 824;24813;itaborai;RJ
Seller 1760;5786;sao paulo;SP
Seller 664;15137;mirassol;SP
Seller 547;9190;santo andre;SP
Seller 313;16200;birigui;SP
Seller 2318;3569;sao paulo;SP
Seller 606;31730;belo horizonte;MG
Seller 1240;20785;rio de janeiro;RJ
Seller 885;20060;rio de janeiro;RJ
Seller 2837;14940;ibitinga;SP
Seller 2217;12401;sao paulo;SP
Seller 2920;1425;sao paulo;SP
Seller 902;19803;assis;SP
Seller 532;13820;jaguariuna;SP
Seller 1525;14801;araraquara;SP
Seller 2322;27963;macae;RJ
Seller 922;13320;salto;SP
Seller 1455;13504;rio claro;SP
Seller 1594;86039;londrina;PR
Seller 963;5101;sao paulo;SP
Seller 1798;14010;ribeirao preto;SP
Seller 2323;21210;rio de janeiro;RN
Seller 788;37410;tres coracoes;MG
Seller 141;4248;sao paulo;SP
Seller 2497;15190;nhandeara;SP
Seller 1829;14940;ibitinga;SP
Seller 1595;3514;sao paulo;SP
Seller 921;71070;brasilia;DF
Seller 2562;6465;barueri;SP
Seller 493;1044;sao paulo;SP
Seller 2896;88870;orleans;SC
Seller 911;70384;brasilia;DF
Seller 1621;2310;sao paulo;SP
Seller 250;2016;sao paulo;SP
Seller 853;78095;cuiaba;MT
Seller 2224;13575;sao carlos;SP
Seller 774;1040;sao paulo;SP
Seller 1402;3322;sao paulo;SP
Seller 1079;20261;rio de janeiro;RJ
Seller 1483;85830;formosa do oeste;PR
Seller 624;23550;rio de janeiro;RJ
Seller 1623;11085;santos;SP
Seller 436;3417;sao paulo;SP
Seller 2437;76500;santa terezinha de goias;GO
Seller 2964;81210;curitiba;PR
Seller 511;8260;sao paulo;SP
Seller 1390;95995;arvorezinha;RS
Seller 1280;4674;sao paulo;SP
Seller 1838;14020;ribeirao preto;SP
Seller 2477;36525;guiricema;MG
Seller 1792;95072;caxias do sul;RS
Seller 1634;55004;caruaru;PE
Seller 2871;80045;curitiba;PR
Seller 2162;14401;franca;SP
Seller 2702;81030;curitiba;PR
Seller 2066;40243;salvador;BA
Seller 835;9951;diadema;SP
Seller 2029;8573;itaquaquecetuba;SP
Seller 3042;18682;lencois paulista;SP
Seller 1242;7091;guarulhos;SP
Seller 454;6341;carapicuiba;SP
Seller 2039;76400;uruacu;GO
Seller 1562;88301;itajai;SC
Seller 2389;3280;sao paulo;SP
Seller 2260;1545;sao paulo;SP
Seller 2818;1026;sao paulo;SP
Seller 1866;80620;curitiba;PR
Seller 2203;87900;loanda;PR
Seller 676;3186;sao paulo;SP
Seller 1563;19400;sao paulo;SP
Seller 1858;2839;sao paulo;SP
Seller 693;87014;maringa;PR
Seller 2879;1207;sao paulo;SP
Seller 1843;1411;sao paulo;SP
Seller 495;30190;belo horizonte;MG
Seller 2417;8502;ferraz de vasconcelos;SP
Seller 2485;1541;sao paulo;SP
Seller 240;13481;limeira;SP
Seller 115;11040;santos;SP
Seller 1356;6436;barueri;SP
Seller 200;2310;sao paulo;SP
Seller 2518;35530;claudio;MG
Seller 1904;14080;ribeirao preto;SP
Seller 1966;24355;niteroi;RJ
Seller 2192;17700;osvaldo cruz;SP
Seller 1334;6380;carapicuiba;SP
Seller 1181;6016;osasco;SP
Seller 795;24451;sao goncalo;RJ
Seller 2906;78820;jaciara;MT
Seller 2645;88330;balenario camboriu;SC
Seller 1771;4009;sao paulo;SP
Seller 944;89120;timbo;SC
Seller 453;14075;ribeirao preto;SP
Seller 2286;5424;sao paulo;SP
Seller 943;99730;jacutinga;RS
Seller 2899;60440;fortaleza;CE
Seller 1956;7242;guarulhos;SP
Seller 2763;7051;guarulhos;SP
Seller 905;8517;ferraz de  vasconcelos;SP
Seller 368;16800;mirandopolis;SP
Seller 305;89228;joinville;SC
Seller 2287;30421;belo horizonte;MG
Seller 63;17056;bauru;SP
Seller 803;12308;jacarei;SP
Seller 721;13304;itu;SP
Seller 2671;85301;laranjeiras do sul;SP
Seller 1848;3554;sao paulo;SP
Seller 245;89560;videira;SC
Seller 2892;88058;florianopolis;SC
Seller 482;6853;itapecerica da serra;SP
Seller 484;58280;mamanguape;PB
Seller 1840;8490;sao paulo;SP
Seller 738;35430;ponte nova;MG
Seller 2090;87360;goioere;SP
Seller 1147;17280;pederneiras;SP
Seller 1236;6653;itapevi;SP
Seller 1340;74563;goiania;GO
Seller 2730;4821;sao paulo;SP
Seller 1504;21820;rio de janeiro;RJ
Seller 714;1026;sao paulo;SP
Seller 2379;3308;sao paulo;SP
Seller 2299;95070;caxias do sul;RS
Seller 2433;9640;sao bernardo do campo;SP
Seller 910;58400;campina grande;PB
Seller 2661;93608;estancia velha;RS
Seller 1278;27525;resende;RJ
Seller 1395;89251;jaragua do sul;SC
Seller 1945;2215;sao paulo;SP
Seller 2244;5524;sao paulo;SP
Seller 372;22790;rio de janeiro;RJ
Seller 776;8041;sao paulo;SP
Seller 2982;5715;sao paulo;SP
Seller 2847;88032;florianopolis;SC
Seller 419;18055;sorocaba;SP
Seller 1868;2112;sao paulo;SP
Seller 383;14075;ribeirao preto;SP
Seller 1169;18048;sorocaba;SP
Seller 2147;9336;maua;SP
Seller 2387;17030;bauru;SP
Seller 2187;17052;bauru;SP
Seller 869;30620;belo horizonte;MG
Seller 359;13327;salto;SP
Seller 2936;74343;goiania;GO
Seller 2361;35300;caratinga;MG
Seller 1479;15350;auriflama/sp;SP
Seller 2336;21240;rio de janeiro;RJ
Seller 524;14407;franca;SP
Seller 1642;16500;cafelandia;SP
Seller 2752;2518;sao paulo;SP
Seller 29;14050;ribeirao preto;SP
Seller 706;88730;sao ludgero;SC
Seller 294;36502;uba;MG
Seller 1118;9751;sao bernardo do campo;SP
Seller 2331;3407;sao paulo / sao paulo;SP
Seller 1551;14940;ibitinga;SP
Seller 2515;87035;maringa;PR
Seller 3009;15062;sao jose do rio preto;SP
Seller 2787;13064;campinas;SP
Seller 2067;21020;rio de janeiro;RJ
Seller 1424;13660;porto ferreira;SP
Seller 2262;95660;tres coroas;RS
Seller 1785;9080;santo andre;SP
Seller 619;89031;blumenau;SC
Seller 2734;9110;santo andre;SP
Seller 1938;9230;santo andre;SP
Seller 2851;3951;sao paulo;SP
Seller 2760;3172;sao paulo;SP
Seller 2350;3334;sao paulo;SP
Seller 2308;89070;blumenau;SC
Seller 1138;8773;mogi das cruzes;SP
Seller 789;11013;santos;SP
Seller 1819;6286;osasco;SP
Seller 2728;15155;jaci;SP
Seller 386;35530;claudio;MG
Seller 2303;74045;goiania;GO
Seller 272;18500;laranjal paulista;SP
Seller 413;18048;sorocaba;SP
Seller 2181;1126;sao paulo;SP
Seller 1928;13478;americana;SP
Seller 2968;1303;sao paulo;SP
Seller 1252;2739;sao paulo;SP
Seller 1498;20921;rio de janeiro;RJ
Seller 1415;86170;sertanopolis;SP
Seller 339;14940;ibitinga;SP
Seller 2451;86808;apucarana;PR
Seller 1582;15046;sao jose do rio preto;SP
Seller 539;22230;rio de janeiro;RJ
Seller 2786;87035;maringa;PR
