User_ID;ActivityDate;Steps;Distance;Fast KM;Slow KM;Active Min;Inactive Min;Rest Min; Calories 
1503960366;22/04/2016;12.764;8;5;3;66;27;130;1.827
1503960366;23/04/2016;14.371;9;3;6;41;21;262;1.949
1503960366;24/04/2016;10.039;6;3;3;39;5;238;1.788
1503960366;25/04/2016;15.355;10;5;5;73;14;216;2.013
1503960366;26/04/2016;13.755;9;2;7;31;23;279;1.970
1503960366;27/04/2016;18.134;12;6;5;78;11;243;2.159
1503960366;28/04/2016;13.154;9;4;5;48;28;189;1.898
1503960366;29/04/2016;11.181;7;1;7;16;12;243;1.837
1503960366;30/04/2016;14.673;9;4;5;52;34;217;1.947
1503960366;01/05/2016;10.602;7;2;5;33;35;246;1.820
1503960366;02/05/2016;14.727;10;3;7;41;15;277;2.004
1503960366;03/05/2016;15.103;10;4;6;50;24;254;1.990
1503960366;04/05/2016;11.100;7;2;5;36;22;203;1.819
1503960366;05/05/2016;14.070;9;3;6;45;24;250;1.959
1503960366;06/05/2016;12.159;8;2;6;24;6;289;1.896
1503960366;07/05/2016;11.992;8;2;5;37;46;175;1.821
1503960366;08/05/2016;10.060;7;4;3;44;8;203;1.740
1503960366;09/05/2016;12.022;8;3;5;46;11;206;1.819
1503960366;10/05/2016;12.207;8;3;4;46;31;214;1.859
1503960366;11/05/2016;12.770;8;3;6;36;23;251;1.783
1503960366;12/05/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;  -  
1624580081;25/04/2016;6.497;4;  -  ;4;  -  ;  -  ;202;1.492
1624580081;26/04/2016;2.826;2;  -  ;2;  -  ;  -  ;140;1.402
1624580081;27/04/2016;8.367;5;1;4;17;36;154;1.670
1624580081;28/04/2016;2.759;2;  -  ;2;  -  ;5;115;1.401
1624580081;29/04/2016;2.390;2;  -  ;2;  -  ;  -  ;150;1.404
1624580081;30/04/2016;6.474;4;1;3;11;23;224;1.655
1624580081;01/05/2016;36.019;28;22;6;186;63;171;2.690
1624580081;02/05/2016;7.155;5;1;4;7;6;166;1.497
1624580081;03/05/2016;2.100;1;  -  ;1;  -  ;  -  ;96;1.334
1624580081;04/05/2016;2.193;1;  -  ;1;  -  ;  -  ;118;1.368
1624580081;05/05/2016;2.470;2;  -  ;2;  -  ;  -  ;117;1.370
1624580081;06/05/2016;1.727;1;  -  ;1;  -  ;  -  ;102;1.341
1624580081;07/05/2016;2.104;1;  -  ;1;  -  ;  -  ;182;1.474
1624580081;08/05/2016;3.427;2;  -  ;2;  -  ;  -  ;152;1.427
1624580081;09/05/2016;1.732;1;  -  ;1;  -  ;  -  ;91;1.328
1624580081;10/05/2016;2.969;2;  -  ;2;  -  ;  -  ;139;1.393
1624580081;11/05/2016;3.134;2;  -  ;2;  -  ;  -  ;112;1.359
1624580081;12/05/2016;2.971;2;  -  ;2;  -  ;  -  ;107;1.002
1644430081;19/04/2016;11.256;8;0;8;5;58;278;3.300
1644430081;20/04/2016;2.436;2;  -  ;2;  -  ;  -  ;125;2.430
1644430081;21/04/2016;1.223;1;  -  ;1;  -  ;  -  ;38;2.140
1644430081;22/04/2016;3.673;3;  -  ;3;  -  ;  -  ;86;2.344
1644430081;23/04/2016;6.637;5;  -  ;5;  -  ;15;160;2.677
1644430081;24/04/2016;3.321;2;  -  ;2;  -  ;  -  ;89;2.413
1644430081;25/04/2016;3.580;3;1;2;8;1;94;2.497
1644430081;26/04/2016;9.919;7;1;7;11;41;223;3.123
1644430081;27/04/2016;3.032;2;  -  ;2;  -  ;  -  ;118;2.489
1644430081;28/04/2016;9.405;7;0;6;3;53;227;3.108
1644430081;29/04/2016;3.176;2;  -  ;2;  -  ;  -  ;120;2.498
1644430081;30/04/2016;18.213;13;1;12;9;71;402;3.846
1644430081;01/05/2016;6.132;4;0;4;3;24;146;2.696
1644430081;02/05/2016;3.758;3;0;2;1;7;148;2.580
1644430081;03/05/2016;12.850;9;1;9;10;94;221;3.324
1644430081;04/05/2016;2.309;2;  -  ;2;  -  ;  -  ;52;2.222
1644430081;05/05/2016;4.363;3;1;3;6;12;81;2.463
1644430081;06/05/2016;9.787;7;1;6;11;6;369;3.328
1644430081;07/05/2016;13.372;10;3;7;41;17;243;3.404
1644430081;08/05/2016;6.724;5;  -  ;5;  -  ;  -  ;295;2.987
1644430081;09/05/2016;6.643;5;2;2;32;6;303;3.008
1644430081;10/05/2016;9.167;7;1;6;12;19;155;2.799
1644430081;11/05/2016;1.329;1;  -  ;1;  -  ;  -  ;49;1.276
1844505072;12/04/2016;6.697;4;  -  ;4;  -  ;  -  ;339;2.030
1844505072;13/04/2016;4.929;3;  -  ;3;  -  ;  -  ;248;1.860
1844505072;14/04/2016;7.937;5;  -  ;5;  -  ;  -  ;373;2.130
1844505072;15/04/2016;3.844;3;  -  ;3;  -  ;  -  ;176;1.725
1844505072;16/04/2016;3.414;2;  -  ;2;  -  ;  -  ;147;1.657
1844505072;17/04/2016;4.525;3;0;3;2;8;199;1.793
1844505072;18/04/2016;4.597;3;  -  ;3;  -  ;12;217;1.814
1844505072;19/04/2016;197;0;  -  ;0;  -  ;  -  ;10;1.366
1844505072;20/04/2016;8;0;  -  ;0;  -  ;  -  ;1;1.349
1844505072;21/04/2016;8.054;5;0;6;2;13;308;2.062
1844505072;22/04/2016;5.372;4;  -  ;4;  -  ;  -  ;220;1.827
1844505072;23/04/2016;3.570;2;  -  ;2;  -  ;  -  ;139;1.645
1844505072;24/04/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;1.347
1844505072;25/04/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;1.347
1844505072;26/04/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;1.347
1844505072;27/04/2016;4;  -  ;  -  ;0;  -  ;  -  ;1;1.348
1844505072;28/04/2016;6.907;5;  -  ;5;  -  ;  -  ;302;1.992
1844505072;29/04/2016;4.920;3;  -  ;3;  -  ;  -  ;247;1.856
1844505072;30/04/2016;4.014;3;  -  ;3;  -  ;  -  ;184;1.763
1844505072;01/05/2016;2.573;2;  -  ;1;  -  ;7;75;1.541
1844505072;02/05/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;1.348
1844505072;03/05/2016;4.059;3;  -  ;3;  -  ;  -  ;184;1.742
1844505072;04/05/2016;2.080;1;  -  ;1;  -  ;  -  ;87;1.549
1844505072;05/05/2016;2.237;1;  -  ;1;  -  ;  -  ;120;1.589
1844505072;06/05/2016;44;0;  -  ;0;  -  ;  -  ;2;1.351
1844505072;07/05/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;1.347
1844505072;08/05/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;1.347
1844505072;09/05/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;1.347
1844505072;10/05/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;1.347
1844505072;11/05/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;1.347
1844505072;12/05/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;665
1927972279;01/05/2016;2.704;2;1;1;14;1;70;2.411
1927972279;02/05/2016;3.790;3;1;1;16;8;94;2.505
1927972279;03/05/2016;1.326;1;1;0;10;  -  ;17;2.195
1927972279;04/05/2016;1.786;1;  -  ;1;  -  ;  -  ;87;2.338
1927972279;05/05/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;2.063
1927972279;06/05/2016;2.091;1;  -  ;1;  -  ;  -  ;108;2.383
1927972279;07/05/2016;1.510;1;  -  ;1;  -  ;  -  ;48;2.229
1927972279;08/05/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;2.063
1927972279;09/05/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;2.063
1927972279;10/05/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;2.063
1927972279;11/05/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;2.063
1927972279;12/05/2016;  -  ;  -  ;  -  ;0;  -  ;  -  ;  -  ;1.383
2022484408;14/04/2016;10.690;8;2;5;32;3;257;2.312
2022484408;15/04/2016;11.034;8;2;6;27;9;282;2.525
2022484408;16/04/2016;10.100;7;3;4;41;11;151;2.177
2022484408;17/04/2016;15.112;11;4;8;28;29;331;2.782
2022484408;18/04/2016;14.131;10;4;6;48;3;311;2.770
2022484408;19/04/2016;11.548;9;3;5;31;7;250;2.489
2022484408;20/04/2016;15.112;11;3;7;48;63;276;2.897
2022484408;21/04/2016;12.453;9;3;5;104;53;255;3.158
2022484408;22/04/2016;12.954;9;4;4;52;10;273;2.638
2022484408;23/04/2016;6.001;4;  -  ;4;  -  ;  -  ;249;2.069
2022484408;24/04/2016;13.481;10;5;6;37;26;216;2.529
2022484408;25/04/2016;11.369;8;3;4;44;8;217;2.470
2022484408;26/04/2016;10.119;7;1;6;55;24;275;2.793
2022484408;27/04/2016;10.159;7;1;6;19;20;282;2.463
2022484408;28/04/2016;10.140;7;0;6;6;20;291;2.296
2022484408;29/04/2016;10.245;7;0;7;21;40;281;2.611
2022484408;30/04/2016;18.387;13;1;12;13;23;361;2.732
2022484408;01/05/2016;10.538;7;2;6;25;28;245;2.380
2022484408;02/05/2016;10.379;7;3;4;36;8;277;2.473
2022484408;03/05/2016;12.183;9;4;4;72;14;250;2.752
2022484408;04/05/2016;11.768;8;3;6;36;27;272;2.649
2022484408;05/05/2016;11.895;8;3;6;55;20;253;2.609
2022484408;06/05/2016;10.227;7;2;6;24;17;295;2.498
2022484408;07/05/2016;6.708;5;2;3;20;2;149;1.995
2022484408;08/05/2016;3.292;2;  -  ;2;  -  ;  -  ;135;1.848
2022484408;09/05/2016;13.379;9;2;8;35;47;297;2.709
2022484408;10/05/2016;12.798;9;2;7;57;28;271;2.797
2022484408;11/05/2016;13.272;9;4;5;58;25;224;2.544
2022484408;12/05/2016;9.117;6;1;5;16;16;236;1.853
2026352035;30/04/2016;4.729;3;  -  ;3;  -  ;  -  ;233;1.506
2026352035;01/05/2016;3.609;2;  -  ;2;  -  ;  -  ;191;1.447
2026352035;02/05/2016;7.018;4;  -  ;4;  -  ;  -  ;355;1.690
2026352035;03/05/2016;5.992;4;  -  ;4;  -  ;  -  ;304;1.604
2026352035;04/05/2016;6.564;4;  -  ;4;  -  ;  -  ;345;1.658
2026352035;05/05/2016;12.167;8;  -  ;8;  -  ;  -  ;475;1.926
2026352035;06/05/2016;8.198;5;  -  ;5;  -  ;  -  ;383;1.736
2026352035;07/05/2016;4.193;3;  -  ;3;  -  ;  -  ;229;1.491
2026352035;08/05/2016;5.528;3;  -  ;3;  -  ;  -  ;258;1.555
2026352035;09/05/2016;10.685;7;  -  ;7;  -  ;  -  ;401;1.869
2026352035;10/05/2016;254;0;  -  ;0;  -  ;  -  ;17;1.141
2026352035;11/05/2016;8.580;5;  -  ;5;  -  ;  -  ;330;1.698
2026352035;12/05/2016;8.891;6;  -  ;6;  -  ;  -  ;343;1.364
2320127002;21/04/2016;3.404;2;0;2;1;10;127;1.610
2320127002;22/04/2016;5.583;4;  -  ;4;  -  ;  -  ;266;1.851
2320127002;23/04/2016;5.079;3;  -  ;3;  -  ;  -  ;242;1.804
2320127002;24/04/2016;4.165;3;  -  ;3;  -  ;  -  ;204;1.725
2320127002;25/04/2016;3.588;2;0;2;3;5;152;1.654
2320127002;26/04/2016;3.409;2;  -  ;2;  -  ;  -  ;147;1.632
2320127002;27/04/2016;1.715;1;  -  ;1;  -  ;  -  ;82;1.481
2320127002;28/04/2016;1.532;1;  -  ;1;  -  ;  -  ;76;1.473
2320127002;29/04/2016;924;1;  -  ;1;  -  ;  -  ;45;1.410
2320127002;30/04/2016;4.571;3;  -  ;3;  -  ;  -  ;234;1.779
2320127002;01/05/2016;772;1;  -  ;1;  -  ;  -  ;40;1.403
2320127002;02/05/2016;3.634;2;0;2;5;6;123;1.613
2320127002;03/05/2016;7.443;5;1;3;20;10;206;1.878
2320127002;04/05/2016;1.201;1;  -  ;1;  -  ;  -  ;52;1.426
2320127002;05/05/2016;5.202;4;  -  ;3;  -  ;11;223;1.780
