Id;SleepDay; TotalSleepRecords ; TotalMinutesAsleep ; TotalTimeInBed ;;;;
1503960366;12/04/2016; 1 ; 327 ; 346 ;;;;
1503960366;13/04/2016; 2 ; 384 ; 407 ;;;;
1503960366;15/04/2016; 1 ; 412 ; 442 ;;;;
1503960366;16/04/2016; 2 ; 340 ; 367 ;;;;
1503960366;17/04/2016; 1 ; 700 ; 712 ;;;;
1503960366;19/04/2016; 1 ; 304 ; 320 ;;;;
1503960366;20/04/2016; 1 ; 360 ; 377 ;;;;
1503960366;21/04/2016; 1 ; 325 ; 364 ;;;;
1503960366;23/04/2016; 1 ; 361 ; 384 ;;;;
1503960366;24/04/2016; 1 ; 430 ; 449 ;;;;
1503960366;25/04/2016; 1 ; 277 ; 323 ;;;;
1503960366;26/04/2016; 1 ; 245 ; 274 ;;;;
1503960366;28/04/2016; 1 ; 366 ; 393 ;;;;
1503960366;29/04/2016; 1 ; 341 ; 354 ;;;;
1503960366;30/04/2016; 1 ; 404 ; 425 ;;;;
1503960366;01/05/2016; 1 ; 369 ; 396 ;;;;
1503960366;02/05/2016; 1 ; 277 ; 309 ;;;;
1503960366;03/05/2016; 1 ; 273 ; 296 ;;;;
1503960366;05/05/2016; 1 ; 247 ; 264 ;;;;
1503960366;06/05/2016; 1 ; 334 ; 367 ;;;;
1503960366;07/05/2016; 1 ; 331 ; 349 ;;;;
1503960366;08/05/2016; 1 ; 594 ; 611 ;;;;
1503960366;09/05/2016; 1 ; 338 ; 342 ;;;;
1503960366;10/05/2016; 1 ; 383 ; 403 ;;;;
1503960366;11/05/2016; 1 ; 285 ; 306 ;;;;
1644430081;29/04/2016; 1 ; 119 ; 127 ;;;;
1644430081;30/04/2016; 1 ; 124 ; 142 ;;;;
1644430081;02/05/2016; 1 ; 796 ; 961 ;;;;
1644430081;08/05/2016; 1 ; 137 ; 154 ;;;;
1844505072;15/04/2016; 1 ; 644 ; 961 ;;;;
1844505072;30/04/2016; 1 ; 722 ; 961 ;;;;
1844505072;01/05/2016; 1 ; 590 ; 961 ;;;;
1927972279;12/04/2016; 3 ; 750 ; 775 ;;;;
1927972279;13/04/2016; 1 ; 398 ; 422 ;;;;
1927972279;15/04/2016; 2 ; 475 ; 499 ;;;;
1927972279;26/04/2016; 1 ; 296 ; 315 ;;;;
1927972279;28/04/2016; 1 ; 166 ; 178 ;;;;
2026352035;12/04/2016; 1 ; 503 ; 546 ;;;;
2026352035;13/04/2016; 1 ; 531 ; 565 ;;;;
2026352035;14/04/2016; 1 ; 545 ; 568 ;;;;
2026352035;15/04/2016; 1 ; 523 ; 573 ;;;;
2026352035;16/04/2016; 1 ; 524 ; 567 ;;;;
2026352035;17/04/2016; 1 ; 437 ; 498 ;;;;
2026352035;19/04/2016; 1 ; 498 ; 540 ;;;;
2026352035;20/04/2016; 1 ; 461 ; 510 ;;;;
2026352035;21/04/2016; 1 ; 477 ; 514 ;;;;
2026352035;22/04/2016; 1 ; 520 ; 545 ;;;;
2026352035;23/04/2016; 1 ; 522 ; 554 ;;;;
2026352035;24/04/2016; 1 ; 555 ; 591 ;;;;
2026352035;25/04/2016; 1 ; 506 ; 531 ;;;;
2026352035;27/04/2016; 1 ; 508 ; 545 ;;;;
2026352035;28/04/2016; 1 ; 513 ; 545 ;;;;
2026352035;29/04/2016; 1 ; 490 ; 510 ;;;;
2026352035;30/04/2016; 1 ; 573 ; 607 ;;;;
2026352035;01/05/2016; 1 ; 527 ; 546 ;;;;
2026352035;02/05/2016; 1 ; 511 ; 543 ;;;;
2026352035;04/05/2016; 1 ; 538 ; 560 ;;;;
2026352035;05/05/2016; 1 ; 468 ; 485 ;;;;
2026352035;06/05/2016; 1 ; 524 ; 548 ;;;;
2026352035;07/05/2016; 1 ; 511 ; 521 ;;;;
2026352035;08/05/2016; 1 ; 541 ; 568 ;;;;
