Id;Steps Day;Steps Hour;No of Steps
1503960366;12/04/2016;  -  ; 373 
1503960366;12/04/2016; 1 ; 160 
1503960366;12/04/2016; 2 ; 151 
1503960366;12/04/2016; 3 ;  -  
1503960366;12/04/2016; 4 ;  -  
1503960366;12/04/2016; 5 ;  -  
1503960366;12/04/2016; 6 ;  -  
1503960366;12/04/2016; 7 ;  -  
1503960366;12/04/2016; 8 ; 250 
1503960366;12/04/2016; 9 ; 1.864 
1503960366;12/04/2016; 10 ; 676 
1503960366;12/04/2016; 11 ; 360 
1503960366;12/04/2016; 12 ; 253 
1503960366;12/04/2016; 13 ; 221 
1503960366;12/04/2016; 14 ; 1.166 
1503960366;12/04/2016; 15 ; 2.063 
1503960366;12/04/2016; 16 ; 344 
1503960366;12/04/2016; 17 ; 489 
1503960366;12/04/2016; 18 ; 1.386 
1503960366;12/04/2016; 19 ; 558 
1503960366;12/04/2016; 20 ; 1.733 
1503960366;12/04/2016; 21 ; 684 
1503960366;12/04/2016; 22 ; 89 
1503960366;12/04/2016; 23 ; 338 
1503960366;13/04/2016;  -  ; 144 
1503960366;13/04/2016; 1 ;  -  
1503960366;13/04/2016; 2 ;  -  
1503960366;13/04/2016; 3 ; 36 
1503960366;13/04/2016; 4 ;  -  
1503960366;13/04/2016; 5 ;  -  
1503960366;13/04/2016; 6 ;  -  
1503960366;13/04/2016; 7 ; 126 
1503960366;13/04/2016; 8 ; 275 
1503960366;13/04/2016; 9 ; 1.679 
1503960366;13/04/2016; 10 ; 295 
1503960366;13/04/2016; 11 ; 524 
1503960366;13/04/2016; 12 ; 486 
1503960366;13/04/2016; 13 ; 302 
1503960366;13/04/2016; 14 ; 1.577 
1503960366;13/04/2016; 15 ; 493 
1503960366;13/04/2016; 16 ; 299 
1503960366;13/04/2016; 17 ; 695 
1503960366;13/04/2016; 18 ; 1.343 
1503960366;13/04/2016; 19 ; 258 
1503960366;13/04/2016; 20 ;  -  
1503960366;13/04/2016; 21 ;  -  
1503960366;13/04/2016; 22 ; 437 
1503960366;13/04/2016; 23 ; 1.766 
1503960366;14/04/2016;  -  ; 81 
1503960366;14/04/2016; 1 ; 58 
1503960366;14/04/2016; 2 ;  -  
1503960366;14/04/2016; 3 ;  -  
1503960366;14/04/2016; 4 ;  -  
1503960366;14/04/2016; 5 ;  -  
1503960366;14/04/2016; 6 ;  -  
1503960366;14/04/2016; 7 ;  -  
1503960366;14/04/2016; 8 ;  -  
1503960366;14/04/2016; 9 ; 902 
1503960366;14/04/2016; 10 ; 1.106 
1503960366;14/04/2016; 11 ; 50 
1503960366;14/04/2016; 12 ; 501 
1503960366;14/04/2016; 13 ; 1.779 
1503960366;14/04/2016; 14 ; 1.228 
1503960366;14/04/2016; 15 ; 139 
1503960366;14/04/2016; 16 ; 408 
1503960366;14/04/2016; 17 ; 37 
1503960366;14/04/2016; 18 ; 322 
1503960366;14/04/2016; 19 ; 11 
1503960366;14/04/2016; 20 ; 806 
1503960366;14/04/2016; 21 ; 2.670 
1503960366;14/04/2016; 22 ; 362 
1503960366;14/04/2016; 23 ;  -  
1503960366;15/04/2016;  -  ; 83 
1503960366;15/04/2016; 1 ; 75 
1503960366;15/04/2016; 2 ; 124 
1503960366;15/04/2016; 3 ;  -  
1503960366;15/04/2016; 4 ;  -  
1503960366;15/04/2016; 5 ; 26 
