Order Date;Order ID; Price ; Cost of sales ; Discount ; Order Quantity ; Sales 
30/12/2017;28774;34;576,6;0,1;32;1088
30/12/2017;13729;37;109,9;0,1;9;333
31/12/2017;37537;41;41;  -  ;4;164
31/12/2017;37537;30;470,4;0,1;32;960
31/12/2017;44069;25;104;0,1;16;400
31/12/2017;44069;39;419,3;0,1;43;1677
31/12/2017;9285;22;25,7;0,1;3;66
31/12/2017;37537;31;733,2;0,1;43;1333
01/01/2018;7909;38;639,2;0;29;1102
01/01/2018;40354;33;248,8;0;29;957
01/01/2018;9637;36;289,4;0,1;12;432
01/01/2018;30016;37;142,1;0;8;296
01/01/2018;11972;37;57,7;  -  ;4;148
01/01/2018;40354;43;46,4;0,1;4;172
01/01/2018;9637;27;84,2;0;12;324
01/01/2018;30016;26;167,7;0;15;390
01/01/2018;9762;20;72;0,1;12;240
01/01/2018;9637;36;776,2;0,1;49;1764
02/01/2018;8710;39;868,1;0,1;42;1638
02/01/2018;8710;43;453,2;0;17;731
02/01/2018;49730;36;28,1;0,1;3;108
03/01/2018;59232;44;516,1;  -  ;23;1012
03/01/2018;1028;38;209;0;11;418
03/01/2018;57253;36;432;0;25;900
03/01/2018;57253;25;326,3;0,1;29;725
03/01/2018;52386;27;108,5;0,1;6;162
03/01/2018;57253;39;737,9;0,1;43;1677
03/01/2018;28451;40;378;0;21;840
03/01/2018;32418;44;114,4;0,1;5;220
03/01/2018;25601;26;693,2;0,1;43;1118
03/01/2018;57253;38;893,8;0,1;48;1824
03/01/2018;1028;23;60,7;0;6;138
03/01/2018;290;36;509,8;0,1;24;864
03/01/2018;57253;42;1.173,10;0,1;49;2058
03/01/2018;28451;37;910,2;0;41;1517
03/01/2018;28451;35;485,1;  -  ;33;1155
04/01/2018;14274;28;31,4;0;2;56
04/01/2018;14274;45;569,3;0;23;1035
04/01/2018;23488;24;216;0;30;720
04/01/2018;6854;34;21,8;0,1;1;34
04/01/2018;41094;30;717,6;0,1;46;1380
04/01/2018;6854;45;572,9;0,1;19;855
04/01/2018;16961;39;848,6;0;34;1326
04/01/2018;23488;37;665,3;0;29;1073
04/01/2018;16770;34;213,9;0;17;578
04/01/2018;16961;35;264,6;0,1;27;945
04/01/2018;14274;40;552;0;46;1840
04/01/2018;48226;22;141,7;0;23;506
04/01/2018;41094;38;120,8;0,1;6;228
05/01/2018;18405;20;216;0,1;30;600
05/01/2018;43909;22;334;0,1;46;1012
05/01/2018;33923;40;734,4;0,1;34;1360
05/01/2018;3073;41;143,5;0,1;7;287
05/01/2018;40704;39;135,7;0;6;234
05/01/2018;32295;42;184,8;0,1;11;462
05/01/2018;3073;31;62,3;0,1;3;93
05/01/2018;18405;35;43,4;0;2;70
05/01/2018;3073;45;79,7;0,1;3;135
06/01/2018;7203;23;281,8;0;25;575
06/01/2018;4193;24;20,9;0;3;72
06/01/2018;4193;43;399;0,1;16;688
06/01/2018;30083;32;309,1;0,1;23;736
07/01/2018;47138;26;7,3;0;1;26
07/01/2018;31715;43;588,2;0,1;24;1032
07/01/2018;8576;31;853,1;  -  ;43;1333
07/01/2018;58343;33;759,3;0,1;39;1287
07/01/2018;31715;28;172,5;0;11;308
07/01/2018;18561;22;49,5;0;9;198
07/01/2018;40097;21;513,2;0,1;47;987
07/01/2018;31715;35;739,2;0,1;44;1540
08/01/2018;33988;20;210;  -  ;30;600
08/01/2018;28999;42;357;0;34;1428
08/01/2018;31553;39;361,9;0,1;32;1248
08/01/2018;28290;27;43,7;0;3;81
08/01/2018;44391;34;331,8;0;16;544
08/01/2018;55367;28;260,4;0,1;31;868
08/01/2018;55367;33;934,6;0,1;48;1584
08/01/2018;20037;21;485,1;0;35;735
08/01/2018;14596;26;399,4;0;24;624
08/01/2018;28290;22;397,3;0,1;43;946
08/01/2018;14596;25;304;0,1;19;475
08/01/2018;20037;25;490;0;49;1225
09/01/2018;33797;39;252,7;0;18;702
09/01/2018;33797;28;319,2;0,1;20;560
09/01/2018;19655;27;502,2;0,1;31;837
09/01/2018;21830;28;276,6;0,1;19;532
09/01/2018;33797;38;716,3;0,1;29;1102
09/01/2018;33797;38;551,8;0;44;1672
09/01/2018;33797;26;280,8;0,1;18;468
10/01/2018;20549;43;808,4;0,1;40;1720
10/01/2018;7461;25;583;0;44;1100
10/01/2018;43362;21;298;0;33;693
10/01/2018;27813;42;273;0,1;10;420
10/01/2018;7461;23;132,5;0,1;12;276
10/01/2018;37862;43;406,4;0;27;1161
10/01/2018;43362;25;483,8;0;45;1125
10/01/2018;7461;44;665,3;  -  ;28;1232
11/01/2018;25541;44;1.078,00;0,1;50;2200
11/01/2018;13602;40;32,4;0;3;120
11/01/2018;13602;25;208;0;13;325
11/01/2018;51623;39;338,1;0,1;17;663
12/01/2018;43911;27;192,5;0,1;23;621
12/01/2018;8325;38;319,2;0,1;21;798
12/01/2018;30567;42;70,6;0;3;126
12/01/2018;43911;24;361,9;0,1;29;696
12/01/2018;30567;32;120,3;0,1;8;256
12/01/2018;34691;33;402,3;0;23;759
12/01/2018;43911;33;487,1;  -  ;36;1188
12/01/2018;30567;42;282,2;0;14;588
12/01/2018;34691;27;291,6;0,1;27;729
12/01/2018;8325;38;554;0,1;27;1026
12/01/2018;30567;21;179,3;0,1;14;294
12/01/2018;34691;37;312,7;0,1;13;481
13/01/2018;22243;24;73,4;0,1;9;216
13/01/2018;6884;35;574;0;41;1435
13/01/2018;6884;32;721,9;0;47;1504
13/01/2018;48773;35;102,9;0,1;7;245
13/01/2018;37729;20;508,8;  -  ;48;960
13/01/2018;12676;45;438,8;0,1;25;1125
14/01/2018;30915;30;277,5;0;25;750
14/01/2018;2370;37;91;0;6;222
