Product SKU;Department;Product Category (gender);Product Sub category;Product name
MH01;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie
MH01-L-Black;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-L-Black
MH01-L-Gray;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-L-Gray
MH01-L-Orange;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-L-Orange
MH01-M-Black;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-M-Black
MH01-M-Gray;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-M-Gray
MH01-M-Orange;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-M-Orange
MH01-S-Black;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-S-Black
MH01-S-Gray;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-S-Gray
MH01-S-Orange;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-S-Orange
MH01-XL-Black;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-XL-Black
MH01-XL-Gray;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-XL-Gray
MH01-XL-Orange;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-XL-Orange
MH01-XS-Black;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-XS-Black
MH01-XS-Gray;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-XS-Gray
MH01-XS-Orange;Clothing;Men;Hoodies & Sweatshirts;Chaz Kangeroo Hoodie-XS-Orange
MH02;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie
MH02-L-Black;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-L-Black
MH02-L-Purple;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-L-Purple
MH02-L-Red;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-L-Red
MH02-M-Black;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-M-Black
MH02-M-Purple;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-M-Purple
MH02-M-Red;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-M-Red
MH02-S-Black;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-S-Black
MH02-S-Purple;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-S-Purple
MH02-S-Red;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-S-Red
MH02-XL-Black;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-XL-Black
MH02-XL-Purple;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-XL-Purple
MH02-XL-Red;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-XL-Red
MH02-XS-Black;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-XS-Black
MH02-XS-Purple;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-XS-Purple
MH02-XS-Red;Clothing;Men;Hoodies & Sweatshirts;Teton Pullover Hoodie-XS-Red
MH03;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie
MH03-L-Black;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-L-Black
MH03-L-Blue;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-L-Blue
MH03-L-Green;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-L-Green
MH03-M-Black;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-M-Black
MH03-M-Blue;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-M-Blue
MH03-M-Green;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-M-Green
MH03-S-Black;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-S-Black
MH03-S-Blue;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-S-Blue
MH03-S-Green;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-S-Green
MH03-XL-Black;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-XL-Black
MH03-XL-Blue;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-XL-Blue
MH03-XL-Green;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-XL-Green
MH03-XS-Black;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-XS-Black
MH03-XS-Blue;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-XS-Blue
MH03-XS-Green;Clothing;Men;Hoodies & Sweatshirts;Bruno Compete Hoodie-XS-Green
MH04;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt
MH04-L-Green;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-L-Green
MH04-L-White;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-L-White
MH04-L-Yellow;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-L-Yellow
MH04-M-Green;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-M-Green
MH04-M-White;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-M-White
MH04-M-Yellow;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-M-Yellow
MH04-S-Green;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-S-Green
MH04-S-White;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-S-White
MH04-S-Yellow;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-S-Yellow
MH04-XL-Green;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-XL-Green
MH04-XL-White;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-XL-White
MH04-XL-Yellow;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-XL-Yellow
MH04-XS-Green;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-XS-Green
MH04-XS-White;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-XS-White
MH04-XS-Yellow;Clothing;Men;Hoodies & Sweatshirts;Frankie  Sweatshirt-XS-Yellow
MH05;Clothing;Men;Hoodies & Sweatshirts;Hollister Backyard Sweatshirt
MH05-L-Green;Clothing;Men;Hoodies & Sweatshirts;Hollister Backyard Sweatshirt-L-Green
MH05-L-Red;Clothing;Men;Hoodies & Sweatshirts;Hollister Backyard Sweatshirt-L-Red
MH05-L-White;Clothing;Men;Hoodies & Sweatshirts;Hollister Backyard Sweatshirt-L-White
MH05-M-Green;Clothing;Men;Hoodies & Sweatshirts;Hollister Backyard Sweatshirt-M-Green
MH05-M-Red;Clothing;Men;Hoodies & Sweatshirts;Hollister Backyard Sweatshirt-M-Red
MH05-M-White;Clothing;Men;Hoodies & Sweatshirts;Hollister Backyard Sweatshirt-M-White
MH05-S-Green;Clothing;Men;Hoodies & Sweatshirts;Hollister Backyard Sweatshirt-S-Green
MH05-S-Red;Clothing;Men;Hoodies & Sweatshirts;Hollister Backyard Sweatshirt-S-Red
MH05-S-White;Clothing;Men;Hoodies & Sweatshirts;Hollister Backyard Sweatshirt-S-White
