Channel;City;Region;Customer name;Distance from the warehouse 
Small chain store;St. Stephens Ward;Kent;Alan D Rosenburg Cpa Pc;40
Supermarket;Abbey Ward;Buckinghamshire;Cap Gemini America;35
Local store;East Southbourne and Tuckton W;Bournemouth;Elliott, John W Esq;20
Local store;Hawerby cum Beesby;Lincolnshire;Mcmahan, Ben L;20
Franchise;Greets Green and Lyng Ward;West Midlands;Champagne Room;40
Franchise;Desborough;Northamptonshire;Thompson, Michael C Esq;50
Franchise;Bargate Ward;Southampton;Wrangle Hill Auto Auct & Slvg;35
Franchise;Chirton Ward;Tyne & Wear;In Communications Inc;90
Local store;Staple Hill Ward;South Gloucestershire;Bizerba Usa Inc;60
Franchise;Abbey Ward;Buckinghamshire;Max Video;160
Franchise;Abbey Ward;Buckinghamshire;K & R Associates Inc;160
Franchise;Abbey Ward;Buckinghamshire;Cain, John M Esq;160
Franchise;Abbey Ward;Buckinghamshire;Sound Vision Corp;155
Franchise;Parwich;Derbyshire;Rowley/hansell Petetin;35
Franchise;Wilmington;Kent;Industrial Engineering Assocs;45
Small chain store;Loundsley Green Ward;Derbyshire;Weiss Spirt & Guyer;55
Supermarket;East Southbourne and Tuckton W;Bournemouth;Crowan, Kenneth W Esq;20
Supermarket;Dee Ward;Dumfries and Galloway;Rittenhouse Motor Co;35
Local store;Broxburn, Uphall and Winchburg;West Lothian;Modern Plastics Corp;55
Supermarket;Abbey Ward;Buckinghamshire;Galloway Electric Co Inc;160
Supermarket;Weston-Super-Mare;North Somerset;Niagara Custombuilt Mfg Co;45
Local store;Carbrooke;Norfolk;Practical Periphrals;40
Local store;Carbrooke;Norfolk;Curtin, Patricia M Esq;155
Local store;Broxburn, Uphall and Winchburg;West Lothian;Wilhelm, James E Jr;35
Local store;New Milton;Hampshire;Smart Signs;35
Local store;Parkham;Devon;Arctic Star Distributing Inc;90
Franchise;Darnall Ward;Yorkshire, South;Lensbower, Gregory L Esq;85
Small chain store;Abbey Ward;Buckinghamshire;Portal Metal Products;25
Small chain store;Loundsley Green Ward;Derbyshire;Lynema, Cliff Cpa;55
Small chain store;Loundsley Green Ward;Derbyshire;J C S Machinery;55
Small chain store;Marldon;Devon;Berick, Joseph G Esq;45
Small chain store;Darnall Ward;Yorkshire, South;Jackson & Heit Machine Co Inc;40
Supermarket;Prestatyn Community;Denbighshire;Bridgeway Plan For Health;45
Supermarket;Abbey Ward;Buckinghamshire;Wa Inst For Plcy Studies;160
Supermarket;Loundsley Green Ward;Derbyshire;Wmgl 101.7 Fm;55
Supermarket;Lye and Stourbridge North Ward;West Midlands;Hughlett, Henry T Jr;25
Local store;Carbrooke;Norfolk;Penrose Place Pharmacy Inc;5
Local store;Carbrooke;Norfolk;Novak, Alan Paul Esq;20
Local store;Carbrooke;Norfolk;B & S Tool And Cutter Svc Inc;40
Franchise;Warlingham;Surrey;Berry, John M Esq;50
Franchise;Lye and Stourbridge North Ward;West Midlands;Alden, Michael H Esq;25
Franchise;Newport;Isle of Wight;Ernest E Heuer & Company Pc;80
Franchise;Chichester;West Sussex;Frankel, Stephen;20
Franchise;Loundsley Green Ward;Derbyshire;Guynes Design Inc;45
Small chain store;Steornabhagh a Deas Ward;Western Isles;General Appraisal Co;50
Small chain store;Parwich;Derbyshire;Sheraton Inn Ocean Front;40
Small chain store;South Ward;North Eart Lincolnshire;Cooper Myers Y Co;60
Small chain store;Abbey Ward;Buckinghamshire;Cash 4 Checks;40
